Time (seconds),x0,x1,x2,x3,x4,x5
1.438,1177,1183,0,1194,1201,0
1.448,1173,1183,0,1197,1201,0
1.458,1183,1183,0,1198,1201,0
1.469,1180,1183,0,1197,1201,0
1.48,1181,1183,0,1204,1201,0
1.489,1177,1183,0,1200,1201,0
1.502,1180,1183,0,1201,1201,0
1.511,1175,1183,0,1203,1201,0
1.523,1179,1183,0,1208,1201,0
1.535,1178,1183,0,1200,1201,0
1.547,1180,1183,0,1208,1201,0
1.556,1178,1183,0,1208,1201,0
1.563,1177,1183,0,1206,1201,0
1.575,1178,1183,0,1214,1201,0
1.583,1180,1183,0,1206,1201,0
1.592,1178,1183,0,1209,1201,0
1.602,1180,1183,0,1207,1201,0
1.613,1179,1183,0,1209,1201,0
1.622,1181,1183,0,1218,1201,0
1.633,1177,1183,0,1208,1202,0
1.642,1184,1183,0,1214,1202,0
1.649,1179,1183,0,1211,1202,0
1.659,1182,1183,0,1216,1202,0
1.666,1180,1183,0,1219,1202,0
1.675,1178,1183,0,1218,1202,0
1.684,1182,1183,0,1227,1202,0
1.692,1176,1183,0,1239,1202,0
1.701,1178,1183,0,1244,1202,42
1.71,1181,1183,0,1260,1202,58
1.72,1179,1183,0,1332,1202,130
1.729,1183,1183,0,1416,1202,214
1.739,1179,1182,0,1418,1202,216
1.749,1178,1182,0,1431,1202,229
1.761,1177,1182,0,1437,1202,235
1.773,1177,1182,0,1462,1202,260
1.785,1177,1182,0,1455,1202,253
1.795,1179,1182,0,1461,1202,259
1.805,1180,1182,0,1462,1202,260
1.815,1180,1182,0,1468,1202,266
1.825,1177,1182,0,1466,1202,264
1.836,1177,1182,0,1482,1202,280
1.848,1180,1182,0,1467,1202,265
1.858,1181,1182,0,1473,1202,271
1.869,1179,1182,0,1464,1202,262
1.881,1177,1182,0,1469,1202,267
1.892,1176,1182,0,1473,1202,271
1.903,1176,1182,0,1464,1202,262
1.914,1185,1182,0,1465,1202,263
1.924,1179,1182,0,1473,1202,271
1.934,1176,1182,0,1470,1202,268
1.945,1177,1182,0,1454,1202,252
1.954,1176,1182,0,1459,1202,257
1.964,1183,1182,0,1461,1202,259
1.972,1181,1182,0,1449,1202,247
1.979,1186,1182,0,1419,1202,217
1.987,1178,1182,0,1409,1202,207
1.994,1177,1182,0,1381,1202,179
2.001,1183,1182,0,1314,1202,112
2.008,1181,1182,0,1274,1202,72
2.016,1183,1182,0,1245,1202,43
2.024,1177,1182,0,1242,1202,0
2.031,1179,1182,0,1221,1202,0
2.039,1178,1182,0,1213,1202,0
2.047,1183,1182,0,1215,1202,0
2.055,1179,1182,0,1216,1202,0
2.063,1186,1182,0,1212,1202,0
2.072,1177,1182,0,1210,1202,0
2.08,1179,1182,0,1203,1202,0
2.088,1174,1182,0,1206,1202,0
2.094,1180,1182,0,1206,1202,0
2.101,1181,1182,0,1200,1202,0
2.109,1179,1182,0,1202,1202,0
2.115,1178,1182,0,1198,1202,0
2.123,1180,1182,0,1202,1202,0
2.13,1179,1182,0,1209,1202,0
2.138,1180,1182,0,1204,1202,0
2.146,1179,1182,0,1208,1202,0
2.155,1178,1182,0,1204,1202,0
2.163,1174,1182,0,1205,1202,0
2.174,1177,1182,0,1205,1202,0
2.186,1178,1182,0,1203,1202,0
2.197,1178,1182,0,1203,1202,0
2.207,1174,1182,0,1202,1202,0
2.216,1177,1182,0,1201,1202,0
2.228,1179,1182,0,1213,1203,0
2.238,1178,1182,0,1204,1203,0
2.246,1186,1182,0,1204,1203,0
2.257,1181,1182,0,1204,1203,0
2.268,1179,1182,0,1209,1203,0
2.277,1186,1182,0,1208,1203,0
2.285,1180,1182,0,1202,1203,0
2.297,1182,1182,0,1200,1203,0
2.309,1179,1182,0,1207,1203,0
2.318,1178,1182,0,1205,1203,0
2.327,1177,1182,0,1203,1203,0
2.335,1175,1182,0,1201,1203,0
2.344,1177,1181,0,1199,1202,0
2.353,1177,1181,0,1205,1203,0
2.363,1179,1181,0,1200,1202,0
2.373,1175,1181,0,1206,1203,0
2.382,1179,1181,0,1202,1202,0
2.391,1178,1181,0,1199,1202,0
2.401,1181,1181,0,1200,1202,0
2.409,1179,1181,0,1202,1202,0
2.419,1181,1181,0,1203,1202,0
2.43,1175,1181,0,1205,1202,0
2.44,1180,1181,0,1204,1202,0
2.451,1186,1181,0,1206,1202,0
2.461,1178,1181,0,1203,1202,0
2.47,1191,1181,0,1202,1202,0
2.482,1183,1181,0,1201,1202,0
2.493,1176,1181,0,1207,1202,0
2.504,1179,1181,0,1208,1203,0
2.515,1179,1181,0,1203,1203,0
2.526,1176,1181,0,1206,1203,0
2.538,1179,1181,0,1206,1203,0
2.549,1175,1181,0,1208,1203,0
2.559,1181,1181,0,1204,1203,0
2.569,1186,1181,0,1212,1203,0
2.578,1175,1181,0,1210,1203,0
2.587,1183,1181,0,1219,1203,0
2.599,1176,1181,0,1217,1203,0
2.61,1180,1181,0,1210,1203,0
2.622,1177,1181,0,1216,1203,0
2.63,1175,1181,0,1223,1203,0
2.639,1174,1181,0,1241,1203,0
2.646,1178,1181,0,1285,1203,82
2.655,1177,1181,0,1424,1203,221
2.664,1178,1181,0,1456,1203,253
2.674,1178,1181,0,1466,1203,263
2.682,1186,1181,0,1462,1203,259
2.692,1173,1181,0,1475,1203,272
2.701,1182,1181,0,1464,1203,261
2.712,1179,1181,0,1473,1203,270
2.723,1180,1181,0,1476,1203,273
2.733,1180,1181,0,1474,1203,271
2.744,1183,1181,0,1478,1203,275
2.755,1176,1181,0,1480,1203,277
2.767,1179,1181,0,1471,1203,268
2.779,1182,1181,0,1475,1203,272
2.79,1180,1181,0,1476,1203,273
2.799,1176,1181,0,1479,1203,276
2.811,1180,1181,0,1483,1203,280
2.822,1183,1181,0,1472,1203,269
2.833,1180,1181,0,1466,1203,263
2.844,1177,1181,0,1469,1203,266
2.855,1177,1181,0,1453,1203,250
2.868,1178,1181,0,1446,1203,243
2.88,1182,1181,0,1392,1203,189
2.892,1179,1181,0,1293,1203,90
2.901,1175,1181,0,1245,1203,42
2.91,1182,1181,0,1222,1203,0
2.92,1182,1181,0,1212,1203,0
2.932,1178,1181,0,1206,1203,0
2.943,1175,1181,0,1200,1203,0
2.954,1178,1181,0,1201,1203,0
2.965,1180,1181,0,1207,1203,0
2.977,1179,1181,0,1201,1203,0
2.989,1178,1181,0,1202,1203,0
2.998,1181,1181,0,1195,1203,0
3.007,1179,1181,0,1194,1203,0
3.015,1176,1181,0,1204,1203,0
3.025,1177,1181,0,1204,1203,0
3.035,1177,1181,0,1200,1203,0
3.045,1176,1181,0,1203,1203,0
3.055,1178,1181,0,1199,1203,0
3.064,1179,1181,0,1201,1203,0
3.075,1175,1181,0,1210,1203,0
3.084,1176,1181,0,1199,1203,0
3.094,1178,1181,0,1202,1203,0
3.104,1179,1181,0,1202,1203,0
3.114,1177,1181,0,1210,1203,0
3.123,1181,1181,0,1206,1203,0
3.133,1176,1181,0,1203,1203,0
3.144,1178,1181,0,1201,1203,0
3.152,1179,1180,0,1202,1203,0
3.162,1176,1180,0,1197,1203,0
3.17,1178,1180,0,1207,1203,0
3.179,1181,1180,0,1202,1203,0
3.187,1177,1180,0,1201,1203,0
3.196,1184,1180,0,1200,1203,0
3.205,1185,1180,0,1198,1203,0
3.214,1180,1180,0,1199,1203,0
3.223,1186,1180,0,1198,1203,0
3.231,1181,1180,0,1207,1203,0
3.241,1179,1180,0,1203,1203,0
3.25,1180,1180,0,1197,1203,0
3.26,1179,1180,0,1199,1203,0
3.271,1178,1180,0,1200,1203,0
3.282,1176,1180,0,1197,1203,0
3.293,1180,1180,0,1200,1203,0
3.304,1181,1180,0,1193,1203,0
3.316,1177,1180,0,1201,1203,0
3.323,1180,1180,0,1203,1203,0
3.333,1186,1180,0,1203,1203,0
3.341,1177,1180,0,1207,1203,0
3.349,1179,1180,0,1207,1203,0
3.359,1176,1180,0,1200,1203,0
3.368,1177,1180,0,1201,1203,0
3.376,1178,1180,0,1207,1203,0
3.388,1185,1180,0,1196,1203,0
3.398,1179,1180,0,1208,1203,0
3.407,1183,1180,0,1204,1203,0
3.418,1180,1180,0,1197,1203,0
3.428,1180,1180,0,1200,1203,0
3.439,1181,1180,0,1198,1203,0
3.447,1174,1180,0,1206,1203,0
3.456,1178,1180,0,1203,1203,0
3.466,1177,1180,0,1207,1203,0
3.477,1174,1180,0,1197,1203,0
3.488,1181,1180,0,1205,1203,0
3.5,1176,1180,0,1201,1203,0
3.511,1177,1180,0,1200,1203,0
3.523,1174,1180,0,1203,1203,0
3.534,1175,1180,0,1199,1203,0
3.546,1176,1180,0,1207,1203,0
3.555,1183,1180,0,1197,1203,0
3.565,1179,1180,0,1203,1203,0
3.577,1181,1180,0,1200,1202,0
3.587,1184,1180,0,1200,1202,0
3.599,1180,1180,0,1205,1202,0
3.61,1177,1180,0,1207,1203,0
3.624,1181,1180,0,1203,1203,0
3.635,1182,1180,0,1199,1202,0
3.645,1180,1180,0,1209,1203,0
3.657,1176,1180,0,1198,1202,0
3.665,1175,1180,0,1201,1202,0
3.672,1183,1180,0,1199,1202,0
3.681,1177,1180,0,1197,1202,0
3.69,1177,1180,0,1202,1202,0
3.699,1175,1180,0,1197,1202,0
3.709,1178,1180,0,1200,1202,0
3.718,1174,1180,0,1199,1202,0
3.729,1177,1180,0,1198,1202,0
3.738,1180,1180,0,1203,1202,0
3.749,1179,1180,0,1200,1202,0
3.761,1181,1180,0,1200,1202,0
3.771,1184,1180,0,1204,1202,0
3.78,1175,1180,0,1203,1202,0
3.792,1177,1180,0,1201,1202,0
3.803,1181,1180,0,1199,1202,0
3.814,1178,1180,0,1203,1202,0
3.826,1179,1180,0,1199,1202,0
3.839,1180,1180,0,1195,1202,0
3.85,1179,1180,0,1200,1202,0
3.862,1179,1180,0,1210,1202,0
3.872,1178,1180,0,1200,1202,0
3.881,1179,1180,0,1207,1202,0
3.89,1177,1180,0,1199,1202,0
3.9,1176,1180,0,1212,1202,0
3.91,1175,1180,0,1204,1202,0
3.92,1177,1180,0,1247,1202,45
3.93,1186,1180,0,1456,1202,254
3.94,1176,1180,0,1459,1202,257
3.951,1178,1180,0,1473,1202,271
3.961,1177,1180,0,1471,1202,269
3.973,1179,1180,0,1481,1202,279
3.984,1177,1180,0,1479,1202,277
3.995,1179,1180,0,1469,1202,267
4.005,1179,1180,0,1478,1202,276
4.013,1176,1180,0,1483,1202,281
4.02,1174,1180,0,1472,1202,270
4.028,1177,1180,0,1477,1202,275
4.04,1180,1180,0,1476,1202,274
4.05,1183,1180,0,1490,1202,288
4.06,1180,1180,0,1481,1202,279
4.069,1176,1180,0,1478,1202,276
4.081,1178,1180,0,1488,1202,286
4.093,1177,1180,0,1474,1202,272
4.101,1178,1180,0,1467,1202,265
4.111,1177,1180,0,1477,1202,275
4.119,1177,1180,0,1469,1202,267
4.126,1171,1180,0,1461,1202,259
4.134,1181,1180,0,1448,1202,246
4.141,1178,1180,0,1416,1202,214
4.149,1178,1180,0,1354,1202,152
4.156,1177,1180,0,1291,1202,89
4.164,1176,1180,0,1256,1202,54
4.172,1175,1180,0,1228,1202,0
4.179,1186,1180,0,1220,1202,0
4.187,1175,1180,0,1214,1203,0
4.195,1185,1180,0,1212,1203,0
4.202,1173,1180,0,1203,1203,0
4.211,1175,1179,0,1204,1203,0
4.219,1179,1179,0,1210,1203,0
4.226,1179,1179,0,1204,1203,0
4.234,1180,1179,0,1204,1203,0
4.241,1176,1179,0,1203,1203,0
4.249,1179,1179,0,1193,1203,0
4.257,1179,1179,0,1199,1203,0
4.265,1179,1179,0,1198,1202,0
4.272,1181,1179,0,1200,1202,0
4.28,1185,1179,0,1206,1202,0
4.289,1178,1179,0,1203,1202,0
4.297,1183,1179,0,1200,1202,0
4.305,1175,1179,0,1202,1202,0
4.314,1181,1179,0,1209,1202,0
4.322,1181,1179,0,1206,1203,0
4.329,1184,1179,0,1209,1203,0
4.338,1177,1179,0,1200,1203,0
4.347,1183,1179,0,1206,1203,0
4.357,1178,1179,0,1207,1203,0
4.366,1181,1179,0,1210,1203,0
4.376,1179,1179,0,1208,1203,0
4.384,1183,1179,0,1206,1203,0
4.395,1180,1179,0,1207,1203,0
4.406,1180,1179,0,1220,1203,0
4.416,1178,1179,0,1213,1203,0
4.426,1180,1179,0,1209,1203,0
4.435,1182,1179,0,1212,1203,0
4.444,1180,1179,0,1209,1203,0
4.455,1181,1179,0,1208,1203,0
4.467,1181,1179,0,1206,1203,0
4.479,1184,1180,0,1207,1203,0
4.49,1180,1180,0,1208,1203,0
4.5,1179,1179,0,1202,1203,0
4.511,1182,1180,0,1204,1203,0
4.522,1179,1179,0,1205,1203,0
4.533,1178,1179,0,1204,1203,0
4.541,1178,1179,0,1203,1203,0
4.554,1183,1179,0,1205,1203,0
4.564,1180,1179,0,1211,1203,0
4.575,1180,1179,0,1206,1203,0
4.586,1178,1179,0,1208,1203,0
4.597,1181,1179,0,1201,1203,0
4.608,1178,1179,0,1203,1203,0
4.618,1179,1179,0,1208,1203,0
4.628,1177,1179,0,1203,1203,0
4.638,1181,1179,0,1201,1203,0
4.647,1173,1179,0,1202,1203,0
4.655,1179,1179,0,1205,1203,0
4.664,1177,1179,0,1206,1203,0
4.675,1181,1179,0,1204,1203,0
4.687,1182,1179,0,1204,1203,0
4.697,1184,1179,0,1209,1203,0
4.707,1180,1179,0,1209,1203,0
4.717,1179,1179,0,1208,1203,0
4.726,1179,1179,0,1197,1203,0
4.736,1182,1179,0,1202,1203,0
4.748,1179,1179,0,1201,1203,0
4.755,1183,1179,0,1203,1203,0
4.765,1175,1179,0,1209,1203,0
4.776,1177,1179,0,1211,1203,0
4.787,1182,1179,0,1200,1203,0
4.799,1179,1179,0,1203,1203,0
4.811,1179,1179,0,1202,1203,0
4.822,1178,1179,0,1201,1203,0
4.833,1182,1179,0,1209,1203,0
4.845,1182,1179,0,1200,1203,0
4.857,1182,1179,0,1209,1203,0
4.866,1176,1179,0,1201,1203,0
4.875,1178,1179,0,1203,1203,0
4.888,1176,1179,0,1206,1203,0
4.9,1181,1179,0,1205,1203,0
4.911,1175,1179,0,1200,1203,0
4.923,1179,1179,0,1202,1203,0
4.934,1176,1179,0,1205,1203,0
4.944,1183,1179,0,1204,1203,0
4.956,1179,1179,0,1202,1203,0
4.968,1180,1179,0,1206,1203,0
4.976,1174,1179,0,1202,1203,0
4.987,1174,1179,0,1202,1203,0
4.998,1181,1179,0,1204,1203,0
5.009,1179,1179,0,1209,1203,0
5.02,1175,1179,0,1206,1203,0
5.03,1184,1179,0,1208,1203,0
5.039,1181,1179,0,1205,1203,0
5.047,1177,1179,0,1203,1203,0
5.054,1182,1179,0,1203,1203,0
5.064,1179,1179,0,1209,1203,0
5.075,1179,1179,0,1204,1203,0
5.083,1179,1179,0,1204,1203,0
5.093,1179,1179,0,1209,1203,0
5.105,1176,1179,0,1208,1203,0
5.117,1174,1179,0,1204,1203,0
5.129,1177,1179,0,1199,1203,0
5.141,1176,1179,0,1200,1203,0
5.152,1178,1179,0,1202,1203,0
5.162,1184,1179,0,1211,1203,0
5.172,1181,1179,0,1203,1203,0
5.181,1184,1179,0,1202,1203,0
5.189,1177,1179,0,1207,1203,0
5.197,1175,1179,0,1204,1203,0
5.207,1185,1179,0,1205,1203,0
5.217,1184,1179,0,1206,1203,0
5.225,1179,1179,0,1202,1203,0
5.233,1179,1179,0,1205,1203,0
5.24,1179,1179,0,1199,1203,0
5.25,1179,1179,0,1204,1203,0
5.263,1183,1179,0,1200,1203,0
5.274,1179,1179,0,1210,1203,0
5.286,1183,1179,0,1202,1203,0
5.297,1178,1179,0,1208,1203,0
5.307,1176,1179,0,1200,1203,0
5.316,1179,1179,0,1204,1203,0
5.329,1178,1179,0,1223,1203,0
5.34,1176,1179,0,1267,1203,64
5.352,1178,1179,0,1465,1203,262
5.364,1177,1179,0,1466,1203,263
5.374,1185,1179,0,1467,1203,264
5.384,1175,1179,0,1463,1203,260
5.394,1183,1179,0,1476,1203,273
5.404,1179,1179,0,1469,1203,266
5.414,1179,1179,0,1472,1203,269
5.423,1173,1179,0,1480,1203,277
5.432,1187,1179,0,1488,1203,285
5.441,1180,1179,0,1474,1203,271
5.453,1183,1179,0,1470,1203,267
5.463,1177,1179,0,1473,1203,270
5.473,1177,1179,0,1475,1203,272
5.485,1185,1179,0,1464,1203,261
5.495,1177,1179,0,1474,1203,271
5.506,1180,1179,0,1450,1203,247
5.517,1180,1179,0,1364,1203,161
5.526,1182,1179,0,1266,1203,63
5.537,1178,1179,0,1233,1203,0
5.546,1177,1179,0,1214,1203,0
5.556,1180,1179,0,1208,1203,0
5.565,1183,1179,0,1200,1203,0
5.575,1181,1179,0,1203,1203,0
5.585,1178,1179,0,1200,1203,0
5.595,1180,1179,0,1201,1203,0
5.607,1180,1179,0,1196,1203,0
5.617,1179,1179,0,1201,1203,0
5.627,1179,1179,0,1199,1203,0
5.637,1180,1179,0,1201,1203,0
5.648,1179,1179,0,1196,1203,0
5.66,1179,1179,0,1206,1203,0
5.672,1179,1179,0,1200,1203,0
5.682,1180,1179,0,1202,1203,0
5.692,1176,1179,0,1203,1203,0
5.701,1180,1179,0,1200,1203,0
5.71,1179,1179,0,1202,1203,0
5.718,1185,1179,0,1202,1203,0
5.726,1179,1179,0,1206,1203,0
5.735,1179,1179,0,1204,1203,0
5.744,1180,1179,0,1204,1203,0
5.751,1180,1179,0,1200,1203,0
5.761,1185,1179,0,1204,1203,0
5.771,1178,1179,0,1204,1203,0
5.782,1177,1179,0,1206,1203,0
5.792,1181,1179,0,1204,1203,0
5.804,1181,1179,0,1203,1203,0
5.816,1180,1179,0,1207,1203,0
5.828,1176,1179,0,1200,1203,0
5.839,1175,1179,0,1198,1203,0
5.848,1176,1179,0,1200,1203,0
5.858,1178,1179,0,1197,1203,0
5.869,1177,1179,0,1203,1203,0
5.88,1175,1179,0,1199,1203,0
5.891,1175,1179,0,1202,1203,0
5.901,1177,1179,0,1204,1203,0
5.911,1177,1179,0,1204,1203,0
5.922,1177,1179,0,1197,1203,0
