# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -4.95589, -1.06175, -2.24563, -2.69768, -0.933725, -1.09118, -3.65082, -2.46047, -3.80714, -2.46519, -3.17808, -2.5555, -2.52164, -3.05854, -3.3429, -2.02661, -1.40526, -1.25616, -1.00275, -2.39742
0.24, 0.0319375, -4.82525, -1.13151, -2.14163, -2.33269, -0.993812, -1.11712, -3.76933, -2.71529, -3.72294, -2.68313, -3.4883, -2.7656, -2.79875, -3.03146, -2.8966, -2.06791, -1.49617, -1.49008, -1.12164, -2.53784
0.25, 0.0319375, -5.18133, -1.18624, -2.10062, -2.09073, -1.20784, -1.16105, -3.70865, -3.08779, -3.70012, -2.78357, -3.55904, -2.97237, -3.1505, -3.04624, -2.66664, -2.20189, -1.49213, -1.61673, -0.956483, -2.23546
0.26, 0.0319375, -4.98932, -1.26313, -2.04624, -2.62559, -1.47287, -1.27884, -4.43977, -3.12233, -3.7497, -2.93483, -3.72024, -2.92903, -3.14257, -3.04683, -2.59559, -1.97762, -1.42275, -1.17775, -0.624762, -2.01716
0.27, 0.0319375, -4.99373, -1.15281, -1.86453, -2.57291, -1.55037, -1.30869, -4.60659, -3.01514, -3.64885, -3.10275, -3.73859, -2.8746, -3.06437, -3.04565, -2.58439, -2.04532, -1.47335, -1.28044, -0.755519, -2.267
0.28, 0.0319375, -5.00826, -0.994634, -1.68196, -2.85489, -1.60094, -1.36092, -4.39983, -3.17398, -3.70758, -3.19003, -3.79585, -2.85958, -2.93105, -2.99204, -2.60055, -2.22042, -1.7918, -1.39652, -0.957361, -2.39562
0.29, 0.0319375, -5.08168, -1.03189, -1.74468, -2.62455, -1.91218, -1.62784, -4.60733, -3.36396, -3.87366, -3.38425, -4.02264, -2.89616, -3.13773, -3.03419, -2.86767, -2.49385, -1.98539, -1.82153, -1.05733, -2.33223
0.3, 0.0319375, -5.00317, -1.14069, -1.86278, -2.69935, -1.88178, -1.58929, -4.1589, -3.24952, -3.69727, -3.41553, -4.00849, -3.11656, -3.10351, -3.17432, -3.02643, -2.42319, -1.95582, -1.56702, -0.980318, -2.52509
0.31, 0.0319375, -5.07856, -1.17047, -1.85862, -2.38329, -1.83454, -1.62869, -4.37676, -3.53813, -3.78555, -3.37183, -3.98783, -2.96752, -3.08647, -3.3334, -3.29697, -2.38223, -1.69199, -1.83737, -1.15948, -2.76699
0.32, 0.0319375, -5.06962, -1.14023, -1.79391, -2.78185, -2.07728, -1.62629, -4.84999, -3.45397, -3.93643, -3.63597, -4.12429, -3.06106, -3.09326, -3.30728, -3.44369, -2.47294, -1.76136, -1.75562, -1.07103, -2.76466
0.33, 0.0319375, -5.14707, -1.12211, -1.75586, -2.4794, -1.7413, -1.43228, -4.59044, -3.66799, -3.93709, -3.51284, -4.00379, -2.8372, -2.83977, -3.27282, -3.52731, -2.63095, -1.89533, -1.79022, -1.28953, -2.91326
0.34, 0.0319375, -5.20116, -1.10888, -1.72097, -2.2513, -1.72329, -1.32886, -4.41157, -3.59892, -3.8791, -3.59908, -3.86415, -2.74147, -2.90795, -3.42973, -3.67137, -2.62779, -1.98005, -1.94654, -1.33662, -2.90652
0.35, 0.0319375, -5.16158, -1.14875, -1.77506, -2.67694, -1.67697, -1.26374, -4.69374, -3.53774, -4.01461, -3.56064, -3.92076, -2.67708, -3.17673, -3.62492, -3.49775, -2.36088, -1.88397, -2.06823, -1.51269, -2.95737
0.36, 0.0319375, -5.20195, -1.19733, -1.90216, -3.16502, -1.73154, -1.31834, -4.86349, -3.43407, -3.83722, -3.38593, -4.09467, -2.57548, -3.44276, -3.55827, -3.12153, -2.22243, -1.81269, -2.32182, -1.56007, -2.78303
0.37, 0.0319375, -4.58005, -1.18601, -1.9817, -2.19234, -1.65095, -1.301, -4.32733, -3.38682, -3.70882, -3.19321, -3.81814, -2.53901, -3.28661, -3.61943, -3.13896, -2.51301, -1.77782, -2.48886, -1.89372, -2.93452
