# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, 0.180788, -0.206251, -0.0777958, 0.37583, 0.821017, 0.531361, 0.318388, 0.121106, 0.289928, -0.253068, -0.502679, -0.728988, -0.920758, -1.10973, -1.35008, -1.00574, -1.24899, -1.53127, -1.55401, -1.60471
0.24, 0.0319375, 0.275173, 0.431289, 0.587753, 0.110561, 0.561043, 0.674215, 0.620328, 0.117393, 0.33045, 0.000552144, -0.433116, -0.386749, -0.607885, -1.05417, -1.29066, -1.03519, -1.06545, -1.40617, -1.58391, -1.66825
0.25, 0.0319375, 0.670556, 0.754984, 0.480384, 0.196909, 0.839792, 0.591513, 0.552021, 0.218286, 0.00352951, 0.0216486, -0.37545, -0.39313, -0.435997, -1.22621, -1.02581, -1.04259, -1.11697, -1.30903, -1.2969, -1.69289
0.26, 0.0319375, 0.654437, 0.502693, 0.136583, 0.376576, 0.735307, 0.318553, 0.243933, 0.107997, 0.00339967, 0.0946132, -0.210663, -0.248906, -0.579434, -1.02097, -1.1656, -1.19321, -1.34689, -1.51565, -1.26577, -1.77899
0.27, 0.0319375, 0.262531, 0.241163, 0.350922, 0.494859, 0.641323, 0.57601, 0.0361472, 0.446883, -0.0526908, -0.25429, -0.42105, -0.184452, -0.57884, -1.08598, -1.22546, -1.14934, -1.48082, -1.40365, -1.36582, -1.62177
0.28, 0.0319375, -0.13566, 0.669059, 0.436184, 0.374246, 0.767275, 0.417353, -0.00600043, 0.317392, 0.195208, -0.118101, -0.303548, -0.379545, -0.492897, -0.88115, -1.01469, -1.14002, -1.26339, -1.22997, -1.30194, -1.46071
0.29, 0.0319375, 0.317585, 0.54042, 0.308873, 0.481935, 0.824158, 0.506308, 0.0248093, 0.237706, 0.190369, 0.000195603, -0.227398, -0.419868, -0.474152, -0.820908, -0.90182, -1.13338, -1.25032, -1.26958, -1.43223, -1.37313
0.3, 0.0319375, 0.583398, 0.226663, 0.18817, 0.231253, 0.712338, 0.515884, -0.132193, 0.212809, -0.213928, -0.124449, -0.183294, -0.377786, -0.531588, -0.717105, -0.869296, -1.10735, -1.30543, -1.30515, -1.02558, -1.18908
0.31, 0.0319375, 0.229313, 0.257942, 0.240214, 0.597696, 0.746678, 0.722551, 0.0698471, 0.347989, 0.0782441, -0.459211, -0.505989, -0.274236, -0.336949, -0.629901, -1.1875, -1.14595, -1.22819, -1.39419, -1.10061, -1.26441
0.32, 0.0319375, 0.0258664, 0.369786, 0.0506989, 0.336666, 0.623624, 0.158725, 0.111435, 0.165395, 0.22398, -0.208856, -0.436203, -0.51552, -0.327368, -0.672498, -1.10407, -1.02502, -1.52148, -1.39784, -1.45159, -1.65619
