Time (seconds),X,Y,Z
0,-0.3909177,-0.9395227,-0.05109556
0.02,-0.38798398,-0.94074506,-0.055985086
0.04,-0.38993979,-0.9429453,-0.058185373
0.06,-0.39336246,-0.9434343,-0.058185373
0.08,-0.39238456,-0.9419674,-0.05769642
0.1,-0.39238456,-0.9392782,-0.055496134
0.12,-0.39042875,-0.9392782,-0.05451823
0.14,-0.39018428,-0.9395227,-0.053540323
0.16,-0.38993979,-0.94245636,-0.05231794
0.18,-0.3887174,-0.94270086,-0.05109556
0.2,-0.3887174,-0.94270086,-0.05256242
0.22,-0.38896188,-0.9431898,-0.057940897
0.24,-0.39140666,-0.9434343,-0.05622956
0.26,-0.39165112,-0.9419674,-0.05769642
0.28,-0.39287353,-0.941234,-0.057451945
0.3,-0.39140666,-0.94050056,-0.05622956
0.32,-0.39189562,-0.93878925,-0.055007182
0.34,-0.38945085,-0.93878925,-0.05574061
0.36,-0.3921401,-0.9395227,-0.05622956
0.38,-0.39434037,-0.9409895,-0.05622956
0.4,-0.39238456,-0.94416773,-0.05769642
0.42,-0.3911622,-0.941234,-0.055007182
0.44,-0.38969532,-0.9395227,-0.056962993
0.45,-0.38847294,-0.9390337,-0.055985086
0.46,-0.38847294,-0.9395227,-0.055985086
0.48,-0.39067322,-0.94074506,-0.055985086
0.5,-0.39385143,-0.9429453,-0.058674328
0.52,-0.39556277,-0.9419674,-0.059896708
0.54,-0.39336246,-0.9422119,-0.05965223
0.56,-0.39067322,-0.9400116,-0.060385663
0.58,-0.39165112,-0.9375669,-0.058674328
0.6,-0.39654067,-0.9351221,-0.058185373
0.62,-0.3960517,-0.9361,-0.05769642
0.64,-0.39262903,-0.93854475,-0.055007182
0.66,-0.38822848,-0.9414785,-0.054762706
0.68,-0.39165112,-0.9414785,-0.055496134
0.7,-0.3921401,-0.9395227,-0.053295847
0.72,-0.38993979,-0.9409895,-0.056962993
0.74,-0.39018428,-0.941234,-0.061363567
0.76,-0.3921401,-0.9392782,-0.058918804
0.78,-0.39556277,-0.93854475,-0.061608043
0.8,-0.39751858,-0.9370779,-0.061363567
0.82,-0.3980075,-0.93830025,-0.06258595
0.84,-0.39654067,-0.93854475,-0.057940897
0.86,-0.3911622,-0.94074506,-0.054762706
0.88,-0.3877395,-0.9419674,-0.053540323
0.89,-0.38798398,-0.9409895,-0.052073464
0.91,-0.38456133,-0.941234,-0.054029275
0.93,-0.38651714,-0.9414785,-0.052073464
0.95,-0.3877395,-0.9409895,-0.055985086
0.97,-0.3921401,-0.9380558,-0.05574061
0.99,-0.39458483,-0.93830025,-0.058429852
1.01,-0.39556277,-0.9395227,-0.057451945
1.03,-0.39580724,-0.9390337,-0.057451945
1.05,-0.39482933,-0.93830025,-0.058429852
1.07,-0.39262903,-0.9392782,-0.058429852
1.09,-0.39140666,-0.9402561,-0.058674328
1.11,-0.39018428,-0.9400116,-0.056962993
1.13,-0.39042875,-0.9390337,-0.05451823
1.15,-0.3909177,-0.93683344,-0.055251658
1.17,-0.3911622,-0.93683344,-0.052806895
1.19,-0.39018428,-0.9380558,-0.055251658
1.21,-0.3921401,-0.9380558,-0.05574061
1.23,-0.39434037,-0.93854475,-0.05622956
1.25,-0.39458483,-0.9395227,-0.057451945
1.27,-0.39238456,-0.941234,-0.058918804
1.29,-0.39238456,-0.9390337,-0.05574061
1.31,-0.39434037,-0.93830025,-0.055007182
1.33,-0.3970296,-0.9361,-0.055251658
1.34,-0.39825198,-0.9351221,-0.055251658
1.36,-0.39042875,-0.93658894,-0.055496134
1.38,-0.38920638,-0.94074506,-0.05574061
1.4,-0.39042875,-0.9422119,-0.055251658
1.42,-0.39287353,-0.9397671,-0.05060661
1.44,-0.39262903,-0.94050056,-0.05427375
1.46,-0.39434037,-0.9417229,-0.05451823
1.48,-0.3960517,-0.9414785,-0.059407756
1.5,-0.39434037,-0.9431898,-0.061608043
1.52,-0.39458483,-0.9414785,-0.061608043
1.54,-0.39531827,-0.9409895,-0.06063014
1.56,-0.39629617,-0.93878925,-0.05769642
1.58,-0.3940959,-0.9378113,-0.052806895
1.6,-0.393118,-0.9400116,-0.05036213
1.62,-0.3909177,-0.9400116,-0.05256242
1.64,-0.38969532,-0.9417229,-0.049384225
1.66,-0.38920638,-0.9400116,-0.0537848
1.68,-0.39067322,-0.9402561,-0.05451823
1.7,-0.39238456,-0.9417229,-0.059896708
1.72,-0.39360693,-0.9414785,-0.057940897
1.74,-0.39531827,-0.9375669,-0.059896708
1.76,-0.39434037,-0.93634444,-0.058674328
1.78,-0.3940959,-0.93854475,-0.05305137
1.79,-0.3940959,-0.9390337,-0.051340036
1.8,-0.39458483,-0.9370779,-0.052806895
1.82,-0.393118,-0.93634444,-0.055251658
1.84,-0.39067322,-0.9395227,-0.055251658
1.86,-0.39067322,-0.9402561,-0.057940897
1.88,-0.3940959,-0.9392782,-0.05720747
1.9,-0.39580724,-0.9395227,-0.056962993
1.92,-0.39531827,-0.9370779,-0.058429852
1.94,-0.39898542,-0.9380558,-0.058674328
1.96,-0.39776304,-0.9375669,-0.058674328
1.98,-0.3950738,-0.9390337,-0.05916328
2,-0.39385143,-0.9380558,-0.055985086
2.02,-0.3940959,-0.9370779,-0.05647404
2.04,-0.39629617,-0.9375669,-0.058185373
2.06,-0.3940959,-0.93487763,-0.060385663
2.08,-0.39262903,-0.93658894,-0.058185373
2.1,-0.39385143,-0.9378113,-0.05720747
2.12,-0.39751858,-0.9402561,-0.05965223
2.14,-0.3992299,-0.9395227,-0.057451945
2.16,-0.39580724,-0.93854475,-0.058429852
2.18,-0.393118,-0.93878925,-0.05965223
2.2,-0.3940959,-0.93854475,-0.061363567
2.22,-0.39482933,-0.94074506,-0.06429728
2.24,-0.39556277,-0.93878925,-0.06527519
2.26,-0.39482933,-0.93878925,-0.06356385
2.28,-0.3950738,-0.9380558,-0.059407756
2.3,-0.393118,-0.9402561,-0.055496134
2.32,-0.3909177,-0.9414785,-0.05109556
2.34,-0.38969532,-0.9402561,-0.05060661
2.36,-0.3857837,-0.9402561,-0.053295847
2.38,-0.3848058,-0.9409895,-0.05451823
2.4,-0.38896188,-0.941234,-0.05769642
2.42,-0.39385143,-0.9419674,-0.059407756
2.44,-0.39580724,-0.9390337,-0.060385663
2.46,-0.39458483,-0.9370779,-0.05965223
2.48,-0.3940959,-0.935611,-0.058918804
2.5,-0.39385143,-0.935611,-0.060385663
2.52,-0.3921401,-0.93878925,-0.06185252
2.54,-0.39434037,-0.94367874,-0.05769642
2.56,-0.39434037,-0.94392323,-0.052073464
2.58,-0.39165112,-0.94050056,-0.052073464
2.6,-0.3887174,-0.93658894,-0.05256242
2.62,-0.38700607,-0.9338997,-0.053295847
2.64,-0.38969532,-0.93683344,-0.06063014
2.66,-0.39360693,-0.9392782,-0.06063014
2.68,-0.3970296,-0.9370779,-0.061608043
2.69,-0.39825198,-0.9370779,-0.06258595
2.7,-0.39947438,-0.93683344,-0.059407756
2.72,-0.39898542,-0.9400116,-0.062830426
2.74,-0.39751858,-0.93830025,-0.062096994
2.76,-0.39654067,-0.9378113,-0.06111909
2.78,-0.39727408,-0.9375669,-0.058429852
2.8,-0.39776304,-0.93341076,-0.05769642
2.82,-0.39067322,-0.93463314,-0.057451945
2.84,-0.38822848,-0.9370779,-0.052806895
2.86,-0.39189562,-0.93830025,-0.058185373
2.88,-0.3960517,-0.94270086,-0.05622956
2.9,-0.39629617,-0.9422119,-0.057940897
2.92,-0.39629617,-0.9409895,-0.061363567
2.94,-0.3960517,-0.94050056,-0.06111909
2.96,-0.3960517,-0.9397671,-0.06111909
2.98,-0.3970296,-0.9370779,-0.06331938
3,-0.39580724,-0.9390337,-0.062341474
3.02,-0.39556277,-0.9378113,-0.058674328
3.04,-0.393118,-0.9397671,-0.055007182
3.06,-0.39018428,-0.9397671,-0.048895273
3.08,-0.39042875,-0.9395227,-0.053295847
3.1,-0.38847294,-0.94074506,-0.052806895
3.12,-0.38993979,-0.9414785,-0.05622956
3.13,-0.39067322,-0.93854475,-0.05916328
3.14,-0.39385143,-0.93854475,-0.06380833
3.16,-0.39654067,-0.9402561,-0.061363567
3.18,-0.40020782,-0.9390337,-0.06331938
3.2,-0.39849648,-0.9378113,-0.06111909
3.22,-0.39482933,-0.93830025,-0.06111909
3.24,-0.39336246,-0.9419674,-0.058918804
3.26,-0.39238456,-0.9431898,-0.057451945
3.28,-0.3909177,-0.9380558,-0.056718517
3.3,-0.3887174,-0.93683344,-0.05622956
3.32,-0.38798398,-0.9392782,-0.055985086
3.34,-0.38969532,-0.9397671,-0.05451823
3.36,-0.39140666,-0.93634444,-0.05769642
3.38,-0.39458483,-0.93683344,-0.058918804
3.4,-0.39336246,-0.9378113,-0.058674328
3.42,-0.39654067,-0.93854475,-0.062341474
3.44,-0.39629617,-0.9370779,-0.06454176
3.46,-0.39776304,-0.9402561,-0.060385663
3.48,-0.39531827,-0.9417229,-0.05720747
3.5,-0.3940959,-0.93878925,-0.054762706
3.52,-0.39067322,-0.9361,-0.050851084
3.54,-0.38896188,-0.9353666,-0.05427375
3.56,-0.3960517,-0.9378113,-0.055496134
3.58,-0.39531827,-0.9358555,-0.056718517
3.6,-0.3909177,-0.9378113,-0.058429852
3.62,-0.39262903,-0.9378113,-0.06111909
3.64,-0.39751858,-0.9402561,-0.06185252
3.66,-0.39751858,-0.9419674,-0.056718517
3.68,-0.39482933,-0.9397671,-0.05647404
3.7,-0.39189562,-0.9373224,-0.058918804
3.72,-0.39482933,-0.9378113,-0.05647404
3.74,-0.39556277,-0.9380558,-0.057451945
3.76,-0.3960517,-0.9380558,-0.05965223
3.78,-0.3950738,-0.9373224,-0.05769642
3.8,-0.393118,-0.9397671,-0.05451823
3.82,-0.3909177,-0.9378113,-0.05256242
3.84,-0.38945085,-0.9380558,-0.05256242
3.86,-0.38945085,-0.93878925,-0.05036213
3.88,-0.39067322,-0.9402561,-0.053295847
3.9,-0.39042875,-0.9395227,-0.0537848
3.92,-0.39360693,-0.9390337,-0.055251658
3.94,-0.3950738,-0.9375669,-0.055251658
3.96,-0.39580724,-0.93830025,-0.055985086
3.98,-0.39556277,-0.9400116,-0.05720747
4,-0.39458483,-0.9419674,-0.05769642
4.02,-0.39458483,-0.9400116,-0.057940897
4.03,-0.39654067,-0.9409895,-0.05647404
4.04,-0.39336246,-0.9390337,-0.057940897
4.06,-0.39336246,-0.9400116,-0.05574061
4.08,-0.39336246,-0.9380558,-0.05574061
4.1,-0.39287353,-0.93878925,-0.058674328
4.12,-0.39556277,-0.9395227,-0.059407756
4.14,-0.39654067,-0.93683344,-0.062096994
4.16,-0.39825198,-0.93830025,-0.062341474
4.18,-0.39849648,-0.9414785,-0.05916328
4.2,-0.39849648,-0.9370779,-0.055985086
4.22,-0.39629617,-0.93830025,-0.055985086
4.24,-0.3960517,-0.94074506,-0.055985086
4.26,-0.3911622,-0.93878925,-0.05916328
4.28,-0.39434037,-0.9380558,-0.05769642
4.3,-0.3960517,-0.9375669,-0.058918804
4.32,-0.40020782,-0.9370779,-0.058185373
4.34,-0.3960517,-0.93658894,-0.055496134
4.36,-0.393118,-0.93658894,-0.056962993
4.38,-0.39482933,-0.9397671,-0.05720747
4.4,-0.39776304,-0.93878925,-0.055496134
4.42,-0.39629617,-0.93854475,-0.056718517
4.44,-0.39434037,-0.9380558,-0.058918804
4.46,-0.3960517,-0.9373224,-0.061608043
4.48,-0.39971885,-0.9378113,-0.061363567
4.5,-0.40167466,-0.9373224,-0.064052805
4.52,-0.40289703,-0.93830025,-0.061363567
4.54,-0.40216362,-0.935611,-0.058429852
4.56,-0.3960517,-0.9353666,-0.05720747
4.58,-0.39140666,-0.9370779,-0.05427375
4.6,-0.39042875,-0.93854475,-0.053295847
4.62,-0.38945085,-0.9400116,-0.05305137
4.64,-0.3909177,-0.9400116,-0.058674328
4.66,-0.39287353,-0.9400116,-0.060874615
4.68,-0.39751858,-0.94050056,-0.060874615
4.7,-0.39874095,-0.9373224,-0.062830426
4.72,-0.3970296,-0.9358555,-0.061608043
4.74,-0.39531827,-0.9373224,-0.059896708
4.76,-0.39531827,-0.9373224,-0.058918804
4.78,-0.3950738,-0.9373224,-0.059407756
4.8,-0.39482933,-0.9390337,-0.056962993
4.82,-0.39385143,-0.9390337,-0.058918804
4.84,-0.39165112,-0.9373224,-0.06258595
4.86,-0.39385143,-0.9402561,-0.061363567
4.88,-0.39556277,-0.9414785,-0.062096994
4.9,-0.39556277,-0.93830025,-0.061363567
4.92,-0.39556277,-0.93683344,-0.062830426
4.94,-0.39531827,-0.93634444,-0.06258595
4.96,-0.39556277,-0.9378113,-0.062830426
4.98,-0.39654067,-0.94074506,-0.06331938
5,-0.39434037,-0.9400116,-0.060385663
5.02,-0.393118,-0.93830025,-0.061363567
5.04,-0.39287353,-0.9351221,-0.059896708
5.06,-0.39849648,-0.9370779,-0.0630749
5.08,-0.39654067,-0.9358555,-0.062341474
5.1,-0.393118,-0.93634444,-0.058918804
5.12,-0.38993979,-0.9338997,-0.058429852
5.14,-0.39336246,-0.93634444,-0.05965223
5.16,-0.3960517,-0.93878925,-0.058674328
5.18,-0.39262903,-0.9417229,-0.05916328
5.2,-0.39385143,-0.9392782,-0.062341474
5.22,-0.39654067,-0.9378113,-0.06527519
5.24,-0.3950738,-0.93830025,-0.065764144
5.26,-0.39556277,-0.9375669,-0.06429728
5.28,-0.3992299,-0.9375669,-0.061608043
5.3,-0.39825198,-0.93658894,-0.062096994
5.32,-0.3960517,-0.9373224,-0.057940897
5.34,-0.39165112,-0.9378113,-0.058185373
5.36,-0.38920638,-0.9419674,-0.05965223
5.37,-0.3921401,-0.9444122,-0.058429852
5.39,-0.39262903,-0.94245636,-0.056718517
5.41,-0.39434037,-0.9370779,-0.058429852
5.43,-0.39385143,-0.9380558,-0.060385663
5.45,-0.39580724,-0.9392782,-0.061608043
5.47,-0.39580724,-0.9390337,-0.06111909
5.49,-0.39434037,-0.9373224,-0.06258595
5.51,-0.39287353,-0.9380558,-0.06111909
5.53,-0.39385143,-0.9409895,-0.05647404
5.55,-0.39434037,-0.94074506,-0.058185373
5.57,-0.39360693,-0.9375669,-0.058429852
5.59,-0.39385143,-0.9378113,-0.058918804
5.61,-0.39189562,-0.9402561,-0.058429852
5.63,-0.39262903,-0.94050056,-0.05720747
5.65,-0.39238456,-0.9378113,-0.056962993
5.67,-0.39385143,-0.9380558,-0.05965223
5.69,-0.39482933,-0.9370779,-0.055496134
5.71,-0.39434037,-0.9358555,-0.05769642
5.73,-0.39580724,-0.9395227,-0.059407756
5.75,-0.39727408,-0.9402561,-0.058185373
5.77,-0.39434037,-0.9378113,-0.062341474
5.79,-0.3950738,-0.9358555,-0.062096994
5.8,-0.39654067,-0.93463314,-0.060874615
