# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -2.70207, -1.63717, -1.98869, -3.88683, -3.68748, -3.88747, -3.40323, -3.32801, -3.51578, -3.54965, -3.51181, -3.75383, -3.33496, -3.31942, -3.25454, -2.8321, -2.76279, -2.72664, -2.60284, -2.46992
0.24, 0.0319375, -2.48657, -1.88382, -2.24593, -3.66281, -3.31064, -3.87896, -3.52157, -3.18044, -3.33262, -3.17091, -3.31521, -3.64916, -3.42539, -3.10902, -2.9461, -2.51577, -2.76737, -2.65362, -2.53945, -2.57709
0.25, 0.0319375, -2.42399, -1.77943, -1.99564, -3.74611, -3.64287, -3.91015, -3.63486, -3.43319, -3.67366, -3.6756, -3.77542, -3.61349, -3.37273, -3.1702, -3.14815, -2.71753, -2.7391, -2.72221, -2.55646, -2.62994
0.26, 0.0319375, -3.3532, -2.28969, -2.4392, -3.66735, -3.92911, -3.71536, -3.7319, -3.48141, -3.75668, -3.75319, -3.98336, -3.75703, -3.2916, -3.02156, -2.96169, -2.83543, -2.86918, -2.76088, -2.62278, -2.73423
0.27, 0.0319375, -2.93996, -2.38127, -2.70064, -4.05952, -4.12788, -3.54325, -3.87908, -3.55365, -3.20617, -3.57134, -4.16859, -4.02486, -3.41877, -2.94294, -2.91656, -2.90394, -2.80937, -2.54012, -2.72616, -2.70631
0.28, 0.0319375, -2.40164, -2.02377, -2.84943, -4.24051, -3.92755, -3.99529, -4.2231, -3.74635, -3.92641, -4.27987, -3.98032, -3.81338, -3.53611, -3.1292, -2.95653, -3.09609, -2.92874, -2.77405, -3.03045, -3.2704
0.29, 0.0319375, -3.06587, -2.13508, -2.92166, -4.12586, -3.86621, -4.18117, -4.52213, -3.78405, -4.29199, -4.13942, -3.83854, -3.78744, -3.48366, -3.30347, -3.0427, -3.18994, -3.25464, -2.83994, -3.00577, -3.38894
0.3, 0.0319375, -3.20652, -2.71286, -3.08021, -4.10186, -3.93291, -4.17907, -4.40192, -4.08784, -4.12216, -4.04783, -4.03739, -4.00817, -3.51157, -3.19724, -3.13872, -3.15882, -3.07298, -3.04857, -3.08712, -3.2782
0.31, 0.0319375, -2.97051, -3.18125, -3.46048, -3.50749, -3.82995, -4.37212, -4.54782, -4.32542, -4.53215, -4.15443, -4.03762, -4.33054, -3.63409, -3.41131, -3.21521, -3.05215, -3.3483, -3.07817, -3.13999, -2.89724
0.32, 0.0319375, -2.86907, -2.91957, -3.43645, -3.67472, -3.51551, -3.85917, -4.75867, -4.26795, -4.43242, -4.11118, -4.00383, -4.61919, -3.69181, -3.6968, -3.26137, -3.32764, -3.40611, -3.38592, -3.49713, -3.43918
0.33, 0.0319375, -2.9837, -2.94083, -3.56957, -3.94045, -3.80707, -3.89629, -4.35774, -4.26668, -4.46727, -4.41085, -4.07442, -4.38828, -4.1304, -4.12149, -3.30262, -3.19984, -3.32984, -3.35708, -3.33062, -3.5452
