# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -2.15524, -2.8253, -3.84507, -3.99873, -4.43555, -3.82171, -3.90858, -4.14598, -3.9554, -3.97986, -4.24619, -4.27568, -4.22553, -3.82414, -3.7586, -4.00015, -3.84431, -3.97726, -3.79099, -3.72741
0.24, 0.0319375, -2.41731, -3.16897, -4.06223, -4.07854, -4.38834, -4.10154, -3.85764, -4.52303, -3.93982, -3.72592, -3.67703, -3.89085, -3.89686, -3.66502, -3.87639, -3.78395, -3.73573, -3.93778, -3.79581, -3.60619
0.25, 0.0319375, -2.10413, -3.21959, -3.7061, -3.791, -4.04597, -4.04193, -4.13524, -4.52098, -4.28347, -3.54278, -3.18002, -3.53759, -3.48105, -3.41936, -3.84017, -4.10831, -3.90022, -3.91043, -3.55147, -3.53936
0.26, 0.0319375, -2.83086, -3.43012, -3.46677, -3.56485, -3.77235, -3.7625, -3.91233, -4.03052, -3.87431, -3.70208, -3.196, -3.22645, -3.36436, -3.40848, -3.96666, -3.77797, -3.87322, -3.73602, -3.63185, -3.64913
0.27, 0.0319375, -3.29295, -3.58367, -3.83142, -3.7547, -4.31329, -3.9686, -3.64073, -3.63998, -4.04127, -3.78278, -3.36682, -3.35185, -3.66095, -3.54519, -3.64025, -3.69143, -3.72639, -3.74677, -3.74627, -3.57914
0.28, 0.0319375, -2.87679, -3.6225, -3.48142, -3.51689, -4.28912, -4.37751, -3.43251, -3.66729, -4.1555, -3.4513, -3.32357, -3.54098, -3.694, -3.65049, -3.54853, -3.737, -3.78982, -3.74112, -3.53452, -3.53928
0.29, 0.0319375, -2.54757, -3.68868, -3.68251, -3.65478, -4.14504, -4.08926, -3.22435, -3.71783, -3.80591, -3.11616, -3.59734, -3.84753, -3.60334, -3.73536, -3.78565, -3.94426, -3.70154, -3.7611, -3.68978, -3.73855
0.3, 0.0319375, -2.54327, -3.26481, -3.61771, -4.0712, -4.64514, -4.14338, -3.6272, -4.37938, -4.17475, -3.6191, -3.75866, -4.032, -3.7432, -3.83551, -3.99511, -3.9946, -3.72684, -3.79488, -3.73027, -3.76994
0.31, 0.0319375, -2.55724, -3.36102, -3.80054, -4.18543, -4.76565, -3.76077, -3.41642, -4.0542, -3.37627, -3.08333, -3.37065, -3.46489, -2.94167, -3.19616, -2.78806, -2.48199, -2.87365, -3.5186, -3.56734, -3.42016
0.32, 0.0319375, -2.96023, -2.51359, -2.93622, -3.21628, -3.90134, -3.91534, -3.12361, -2.97494, -2.54596, -1.86224, -2.05631, -2.23104, -1.9426, -2.12708, -1.82928, -1.4063, -1.73859, -2.61034, -2.29798, -1.98966
0.33, 0.0319375, -3.31512, -2.77647, -2.86181, -3.05126, -3.60011, -3.67779, -2.83108, -3.09891, -2.75343, -1.84226, -1.85156, -2.04696, -2.02992, -2.33897, -2.21695, -2.02255, -2.33252, -2.67558, -2.36383, -2.13649
0.34, 0.0319375, -2.83506, -2.76141, -2.84853, -3.28245, -3.70945, -4.09623, -3.02996, -2.38971, -2.0916, -1.87581, -1.73544, -1.88924, -1.90653, -1.76106, -1.27166, -1.36688, -1.61584, -2.23562, -1.94375, -1.58059
0.35, 0.0319375, -2.49794, -2.25937, -2.90582, -3.2773, -3.14919, -3.74514, -2.82864, -2.59871, -1.95661, -1.82004, -1.59394, -1.99932, -1.82166, -1.58216, -1.49438, -1.4005, -1.5794, -1.69742, -1.57261, -1.43014
0.36, 0.0319375, -2.85159, -2.9391, -3.2966, -3.52958, -3.37601, -3.63415, -3.09209, -2.64325, -2.8607, -2.13315, -1.80385, -2.2131, -1.75902, -1.58679, -1.6203, -1.40979, -1.3381, -1.31011, -1.42888, -1.02286
0.37, 0.0319375, -2.90978, -2.27012, -2.2619, -3.14073, -3.65624, -3.69668, -3.24176, -2.7825, -2.21255, -2.10589, -1.60739, -1.29765, -1.43579, -1.34796, -1.24326, -0.979818, -0.945056, -1.32536, -1.29457, -0.866035
0.38, 0.0319375, -2.80199, -2.41201, -2.22399, -2.43933, -2.72079, -3.6015, -3.27177, -2.669, -1.62296, -1.32668, -1.24552, -0.995934, -1.0695, -1.07075, -0.250779, -0.609456, -0.767049, -1.18561, -0.827376, -0.681822
0.39, 0.0319375, -2.11477, -1.67845, -1.73241, -2.24721, -2.34751, -3.30634, -3.2265, -2.18336, -1.7547, -0.885456, -0.599293, -0.666318, -1.0613, -0.693398, -0.0499874, 0.0690849, -0.224176, -0.968087, -0.346041, -0.505793
0.4, 0.0319375, -1.92995, -1.61279, -1.53113, -2.03179, -2.37218, -2.75601, -2.61478, -1.76994, -1.02613, -0.675702, -0.460995, -0.559682, -0.60683, -0.581588, -0.16681, -0.06937, -0.11995, -0.72393, -0.113615, -0.0236387
0.41, 0.0319375, -1.75443, -1.6671, -1.4547, -2.06149, -2.48245, -2.60493, -2.24788, -1.63195, -1.05138, -0.498965, 0.0753193, -0.0177835, -0.353024, -0.529163, 0.00653061, 0.213293, 0.354426, -0.439332, 0.170548, 0.20456
0.42, 0.0319375, -1.36683, -1.55808, -1.23825, -2.23184, -2.64286, -2.97439, -2.04077, -1.44857, -0.9708, -0.204004, -0.0190398, 0.306109, -0.456675, -0.263913, 0.685742, 0.526327, 0.668962, -0.104303, 0.10174, 0.125829
0.43, 0.0319375, -1.43482, -1.47371, -1.36541, -1.92775, -2.27352, -2.70515, -1.84549, -1.50189, -0.512725, -0.144234, -0.028394, 0.0178324, -0.244132, -0.254391, 0.442332, 0.550836, 0.417868, -0.301961, -0.223702, 0.00969617
0.44, 0.0319375, -1.50794, -1.07283, -1.37122, -1.7085, -1.82385, -2.19149, -1.72138, -1.30286, -0.849139, -0.38945, -0.110077, -0.0478165, 0.070238, -0.206345, 0.483614, 0.725128, 0.514675, 0.0284596, 0.0283875, 0.0117638
0.45, 0.0319375, -1.55705, -1.1194, -1.2372, -1.41221, -1.61085, -2.01878, -1.71185, -1.24696, -0.481851, -0.193841, 0.0524565, 0.0077987, 0.136934, 0.0604799, 0.549633, 0.663449, 0.435953, 0.060168, 0.0920888, 0.142507
0.46, 0.0319375, -1.07988, -0.802876, -0.977145, -1.3854, -1.74406, -2.03485, -1.76046, -0.777925, -0.332144, -0.0123392, 0.315113, -0.101751, -0.10921, 0.175355, 0.32527, 0.400082, 0.550829, 0.100678, 0.19993, 0.64067
0.47, 0.0319375, -0.792802, -0.892698, -1.48687, -1.75952, -1.86368, -1.81665, -1.83948, -0.745111, -0.2664, -0.0803942, 0.442757, 0.314215, 0.211131, 0.292714, 0.657391, 1.02559, 0.551112, 0.282005, 0.289125, 0.748055
