# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0.12, 0.0319375, -2.09862, -3.33447, -2.27522, -2.76669, -2.46155, -2.40507, -1.12355, -0.884579, -1.02609, -1.76687, -0.845028, -0.281097, -2.29682, -2.41405, -1.86904, -1.86225, -1.59512, -1.43763, -1.35845, -1.62213, -1.66575, -1.93652, -1.37959, -2.00252, -1.83899, -2.16556, -1.58903, -1.73572, -2.15389, -2.42265, -2.15213, -2.29976, -3.25516, -3.2342, -3.63065, -3.20676, -3.20052, -2.8519, -2.73676, -3.00068
0.13, 0.0319375, -3.59945, -2.67275, -2.2104, -2.39228, -2.47989, -1.85379, -0.390645, -1.03687, -1.44397, -1.35957, -0.393473, 0.0760487, -2.30869, -1.61186, -1.80071, -2.01661, -1.85669, -1.36808, -1.28259, -2.20657, -1.23921, -1.74643, -1.73636, -1.95089, -1.86852, -2.19403, -1.96356, -1.91413, -2.08856, -2.0573, -2.27887, -2.32482, -3.06847, -3.04114, -3.25113, -2.79813, -3.05526, -2.80178, -2.5346, -2.89124
0.14, 0.0319375, -3.11806, -3.22683, -1.92513, -1.75875, -2.23534, -1.6924, -0.655461, -0.898603, -2.01363, -2.00138, -0.429197, 0.102902, -2.27496, -1.48818, -2.02434, -1.99257, -1.69612, -1.46621, -1.2761, -1.54804, -1.29582, -2.05477, -1.39779, -1.64325, -1.9141, -1.79336, -1.7893, -2.0914, -2.2283, -1.93167, -2.08452, -2.13611, -2.74507, -3.16105, -3.37741, -3.09844, -3.12387, -2.90596, -2.66193, -3.31528
0.15, 0.0319375, -2.20293, -2.38162, -2.02017, -2.36428, -2.20625, -1.61487, -1.16707, -0.9618, -1.7823, -1.35619, -0.386599, 0.00276422, -1.48667, -1.42155, -2.11284, -2.1149, -2.05012, -1.24614, -1.05552, -1.91201, -1.14541, -1.50249, -1.30287, -1.62916, -1.90401, -1.96937, -2.00677, -2.17221, -2.41069, -1.83714, -1.89444, -2.23987, -2.75046, -2.97431, -3.3228, -3.25129, -2.7692, -2.7836, -2.76893, -3.47572
0.16, 0.0319375, -2.3612, -3.17675, -2.30058, -2.03845, -1.77816, -1.44438, -1.12245, -1.3725, -1.02356, -1.39512, -0.787533, -0.148717, -1.8329, -1.81224, -2.27891, -2.09572, -2.28694, -1.31651, -1.14319, -1.98722, -1.33156, -1.65666, -1.58586, -1.98354, -1.73721, -1.68568, -1.90946, -1.77418, -2.24762, -2.19393, -2.31457, -2.36665, -2.51013, -2.74056, -3.21376, -3.14546, -3.00764, -3.00901, -3.0457, -3.28155
0.17, 0.0319375, -1.73127, -2.54175, -2.76529, -2.32736, -2.08291, -1.73145, -0.888045, -0.703222, -1.28337, -1.68248, -0.366512, 0.0498029, -2.27206, -2.35016, -2.56555, -1.8208, -1.94412, -1.8305, -1.67717, -2.10232, -1.15458, -1.68151, -1.33013, -1.5627, -1.70325, -1.65052, -1.71834, -1.88216, -2.23739, -2.54684, -2.41542, -2.21917, -2.5761, -2.28767, -3.10166, -3.37839, -3.55094, -3.05058, -2.70563, -3.04007
0.18, 0.0319375, -1.46227, -1.81332, -1.92706, -2.08524, -2.37577, -1.58898, -1.67889, -1.42769, -2.27679, -1.33903, -0.825086, -0.0298456, -2.03749, -2.46449, -1.99281, -1.88156, -1.78859, -1.58459, -1.40262, -1.755, -1.38382, -1.49498, -1.00486, -1.53816, -1.75249, -1.44475, -1.33025, -1.86624, -2.25565, -2.83638, -2.446, -2.26227, -2.69963, -2.65235, -3.08572, -2.98628, -3.39161, -3.42278, -2.87151, -2.9714
0.19, 0.0319375, -1.68398, -2.2968, -1.90209, -1.97556, -1.92849, -1.28375, -1.56983, -1.79934, -1.63203, -1.49272, -1.15403, -0.139707, -1.77844, -2.39364, -1.54568, -1.64614, -1.52304, -0.983683, -1.29669, -1.60878, -1.11149, -1.55214, -1.3983, -1.64393, -1.86443, -1.59784, -1.85588, -1.95661, -1.97006, -2.5099, -2.20024, -1.97421, -2.34816, -2.56769, -3.01538, -2.91623, -2.89339, -3.13647, -2.64661, -3.19245
0.2, 0.0319375, -2.35545, -3.12437, -2.25657, -1.44708, -2.04748, -1.32816, -1.18125, -1.16258, -1.15964, -1.43889, -0.818199, -0.274642, -1.39485, -1.84038, -1.56995, -1.60432, -1.5423, -0.915176, -0.649608, -1.73739, -1.60818, -1.73454, -1.54245, -1.28553, -1.43932, -1.57612, -2.00469, -2.05882, -2.19889, -2.33203, -1.93888, -1.84904, -2.29892, -2.74646, -2.67353, -2.76507, -2.94646, -2.86407, -2.74001, -3.26448
0.21, 0.0319375, -1.799, -2.28749, -1.96049, -1.34387, -1.41007, -2.13627, -1.26382, -1.05554, -0.978296, -0.935211, -0.32348, 0.0574585, -0.996621, -1.70289, -1.33407, -1.67045, -1.78741, -1.1554, -0.976651, -1.30999, -1.20087, -1.422, -1.32739, -1.76925, -1.35039, -1.57217, -1.42987, -1.54825, -1.67579, -1.93753, -1.65149, -2.00901, -2.34175, -2.868, -2.83235, -2.64277, -2.68335, -2.79796, -2.7843, -3.21611
