Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1190,1213,0,1171,1174,0
0.009,1188,1213,0,1173,1174,0
0.018,1190,1213,0,1173,1174,0
0.027,1190,1213,0,1171,1174,0
0.036,1193,1213,0,1175,1174,0
0.043,1200,1213,0,1176,1174,0
0.052,1193,1213,0,1175,1174,0
0.06,1193,1213,0,1173,1174,0
0.068,1195,1213,0,1174,1174,0
0.075,1206,1213,0,1176,1174,0
0.082,1200,1213,0,1175,1174,0
0.09,1199,1213,0,1173,1174,0
0.098,1204,1213,0,1174,1174,0
0.109,1204,1213,0,1173,1174,0
0.122,1205,1213,0,1177,1174,0
0.134,1211,1213,0,1181,1174,0
0.146,1214,1213,0,1173,1174,0
0.155,1205,1213,0,1178,1174,0
0.166,1216,1213,0,1182,1174,0
0.18,1219,1213,0,1175,1174,0
0.191,1229,1213,0,1174,1174,0
0.201,1235,1213,0,1172,1174,0
0.211,1258,1213,45,1172,1174,0
0.22,1301,1213,88,1179,1174,0
0.232,1394,1213,181,1181,1174,0
0.243,1430,1213,217,1176,1174,0
0.252,1443,1213,230,1172,1174,0
0.264,1450,1213,237,1171,1174,0
0.275,1458,1213,245,1180,1174,0
0.287,1459,1213,246,1172,1174,0
0.3,1463,1213,250,1175,1174,0
0.311,1462,1213,249,1178,1174,0
0.325,1462,1213,249,1179,1174,0
0.337,1463,1213,250,1173,1174,0
0.348,1461,1213,248,1175,1174,0
0.359,1464,1213,251,1176,1174,0
0.372,1462,1213,249,1175,1174,0
0.382,1455,1213,242,1175,1174,0
0.393,1454,1213,241,1175,1174,0
0.408,1439,1213,226,1171,1174,0
0.421,1400,1213,187,1180,1174,0
0.432,1278,1213,65,1173,1174,0
0.441,1237,1213,0,1175,1174,0
0.452,1221,1213,0,1179,1174,0
0.465,1206,1213,0,1177,1174,0
0.48,1213,1213,0,1175,1174,0
0.491,1207,1213,0,1177,1174,0
0.502,1207,1213,0,1174,1174,0
0.513,1205,1213,0,1171,1174,0
0.525,1210,1213,0,1176,1174,0
0.537,1206,1213,0,1178,1174,0
0.551,1208,1213,0,1176,1174,0
0.563,1213,1213,0,1179,1174,0
0.574,1206,1213,0,1169,1174,0
0.586,1214,1213,0,1179,1174,0
0.597,1216,1213,0,1179,1174,0
0.608,1218,1213,0,1176,1174,0
0.618,1221,1213,0,1174,1174,0
