# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.037416, 0.0585834, 0.0337739, 0.0442361, 0.0615595, 0.0547564, 0.10461, 0.0478236, 0.11275, 0.12912, 0.121631, 0.137933, 0.0891813, 0.0690371, 0.0877732, 0.0722129, 0.13935, 0.189368, 0.161859, 0.0960683, 0.170457, 0.0557631, 0.0304342, 0.0303289, 0.0404666, 0.0561386, 0.044476, 0.0412156, 0.0244668, 0.0356926, 0.0452159, 0.0547103, 0.136048, 0.137991, 0.0461674, 0.0200893, 0.0124388, 0.0153924, 0.0264638, 0.0869137, 0.125617, 0.0863242, 0.0702682, 0.138943, 0.0879787, 0.0872962, 0.0790989, 0.0711797, 0.0294574, 0.0262595
0.11, 0.0319375, 0.0823745, 0.0532909, 0.0417246, 0.0401608, 0.0171222, 0.0960573, 0.119361, 0.0688806, 0.104152, 0.154045, 0.110524, 0.0967047, 0.101515, 0.0556854, 0.0618321, 0.0929069, 0.11762, 0.173085, 0.153269, 0.0815898, 0.183045, 0.0829809, 0.0309461, 0.0402452, 0.033445, 0.0547224, 0.0308668, 0.0356496, 0.019021, 0.0261877, 0.0533897, 0.0634628, 0.145177, 0.123783, 0.0393439, 0.0234784, 0.0149372, 0.0185784, 0.0358503, 0.0821126, 0.119342, 0.0740807, 0.0684866, 0.141707, 0.0917321, 0.101066, 0.0762444, 0.0592514, 0.0194437, 0.0246354
0.12, 0.0319375, 0.0507142, 0.0264055, 0.0759547, 0.09969, 0.0649262, 0.0623983, 0.0869629, 0.0394363, 0.148824, 0.132239, 0.0980897, 0.0624057, 0.115763, 0.11126, 0.0903731, 0.100667, 0.118265, 0.133833, 0.112247, 0.0943571, 0.156357, 0.0782673, 0.037418, 0.0260295, 0.0287179, 0.0356602, 0.0277494, 0.0328483, 0.0335955, 0.0377067, 0.0562189, 0.0702432, 0.158672, 0.123805, 0.0456066, 0.0204842, 0.020125, 0.0191879, 0.032702, 0.085938, 0.135178, 0.0767516, 0.0832596, 0.103918, 0.0991114, 0.0950181, 0.0929295, 0.0549591, 0.0169925, 0.0246938
0.13, 0.0319375, 0.0254184, 0.0256776, 0.0880108, 0.0934302, 0.0406845, 0.0676401, 0.0638199, 0.086881, 0.170728, 0.107319, 0.0977215, 0.0710928, 0.0996551, 0.0707982, 0.076243, 0.127775, 0.130381, 0.139812, 0.100107, 0.0633679, 0.171209, 0.0751682, 0.034293, 0.0321141, 0.0156774, 0.018986, 0.0254222, 0.0366113, 0.0523855, 0.0476901, 0.0366052, 0.0842386, 0.163039, 0.099656, 0.0372541, 0.0228748, 0.0152345, 0.0217585, 0.0285381, 0.0611191, 0.12857, 0.0793758, 0.0752456, 0.06866, 0.0742079, 0.10106, 0.110084, 0.066347, 0.0224541, 0.0255375
0.14, 0.0319375, 0.0431158, 0.0212301, 0.0575368, 0.0508503, 0.0525644, 0.058135, 0.0532919, 0.0497377, 0.093375, 0.147615, 0.0882152, 0.111578, 0.103763, 0.106114, 0.142292, 0.0597969, 0.101751, 0.161038, 0.165591, 0.136541, 0.198591, 0.0762978, 0.0496808, 0.028751, 0.0288048, 0.0373156, 0.0316231, 0.0396537, 0.0481208, 0.0439222, 0.045371, 0.112839, 0.207479, 0.0643668, 0.0219753, 0.0201244, 0.0144638, 0.0187494, 0.0218437, 0.0695131, 0.139541, 0.0773943, 0.0705181, 0.0791041, 0.0787196, 0.0932478, 0.110558, 0.0671874, 0.0377121, 0.0225575
0.15, 0.0319375, 0.0246995, 0.0193725, 0.0658683, 0.0905027, 0.0867701, 0.0536355, 0.0427586, 0.0868233, 0.111833, 0.167669, 0.090478, 0.0796344, 0.0859387, 0.131006, 0.129985, 0.0490183, 0.122819, 0.104335, 0.097583, 0.078282, 0.0609913, 0.0523347, 0.0295811, 0.0233045, 0.0301874, 0.0419675, 0.0214115, 0.0322862, 0.0428795, 0.0534759, 0.0441988, 0.140474, 0.178206, 0.0575285, 0.0238793, 0.0248617, 0.017001, 0.0188213, 0.0175163, 0.070276, 0.151593, 0.0655934, 0.0707252, 0.107646, 0.0832857, 0.101018, 0.10523, 0.0511808, 0.0348402, 0.0223496
0.16, 0.0319375, 0.0336762, 0.0254965, 0.0524673, 0.0795696, 0.011673, 0.0425304, 0.0648782, 0.0854909, 0.134793, 0.0816028, 0.0754437, 0.117979, 0.142395, 0.111555, 0.139115, 0.0942233, 0.154276, 0.0845477, 0.0633314, 0.0781621, 0.0977765, 0.0403674, 0.0215529, 0.0207945, 0.0150052, 0.0286455, 0.0198257, 0.0369395, 0.0503476, 0.0454183, 0.0325003, 0.135023, 0.1392, 0.0413696, 0.0144719, 0.0143623, 0.0195303, 0.0134826, 0.0152205, 0.0797124, 0.139796, 0.0741491, 0.079111, 0.10877, 0.0928089, 0.109444, 0.0913046, 0.042439, 0.0283601, 0.0237759
0.17, 0.0319375, 0.0377193, 0.0236106, 0.0298218, 0.0536552, 0.0907855, 0.0962187, 0.0479477, 0.057175, 0.144801, 0.0974595, 0.0787605, 0.157973, 0.110076, 0.147987, 0.169742, 0.0597528, 0.102005, 0.102969, 0.078897, 0.0648161, 0.0814553, 0.0532175, 0.026679, 0.0267144, 0.0119602, 0.0191236, 0.0263481, 0.0560713, 0.0504156, 0.0714354, 0.0543683, 0.123147, 0.122, 0.047735, 0.0247007, 0.0178163, 0.0223493, 0.0190659, 0.0197631, 0.0996131, 0.111343, 0.0475701, 0.0705087, 0.124362, 0.0830504, 0.0848438, 0.0777967, 0.0314348, 0.0190834, 0.0229527
0.18, 0.0319375, 0.0353271, 0.0506694, 0.0653597, 0.114715, 0.0787071, 0.0764758, 0.0498906, 0.0736513, 0.105535, 0.104516, 0.0958896, 0.145516, 0.105045, 0.0813114, 0.13357, 0.0839911, 0.116975, 0.0570981, 0.089527, 0.114654, 0.13122, 0.0629473, 0.0332153, 0.0318232, 0.0166035, 0.0323983, 0.0302327, 0.0605728, 0.0547114, 0.0658025, 0.0412284, 0.119638, 0.0930984, 0.038688, 0.0334476, 0.0211712, 0.0233752, 0.01817, 0.0181329, 0.110467, 0.111556, 0.0399945, 0.0734948, 0.0975511, 0.0876919, 0.0830753, 0.0896712, 0.0257242, 0.0290221, 0.0286764
0.19, 0.0319375, 0.0255769, 0.0228706, 0.046607, 0.114869, 0.0470237, 0.0402336, 0.0517952, 0.0981374, 0.0549703, 0.0919136, 0.0945268, 0.059268, 0.0634973, 0.0407195, 0.0820063, 0.132621, 0.146334, 0.131799, 0.0582, 0.166275, 0.139717, 0.0618056, 0.0409814, 0.0283427, 0.0191198, 0.0256177, 0.0392366, 0.0358132, 0.0471872, 0.0469854, 0.0431262, 0.168243, 0.0972779, 0.0330534, 0.0287507, 0.0145938, 0.0263416, 0.0249169, 0.0297033, 0.0641814, 0.0844675, 0.0652301, 0.0747717, 0.0737319, 0.096314, 0.0982674, 0.0807429, 0.0240199, 0.016169, 0.0217018
0.2, 0.0319375, 0.0266044, 0.0130567, 0.0590624, 0.0491872, 0.0466321, 0.0503013, 0.0557524, 0.0638524, 0.0876875, 0.0483, 0.0765763, 0.0935689, 0.0603401, 0.0833976, 0.0640398, 0.129486, 0.114662, 0.130602, 0.116794, 0.157087, 0.129096, 0.0602194, 0.0327634, 0.0302883, 0.0175047, 0.025526, 0.0343234, 0.0452317, 0.0495177, 0.035554, 0.0505746, 0.182423, 0.0760335, 0.0302121, 0.0212177, 0.0166727, 0.0216825, 0.0270773, 0.0288311, 0.0517632, 0.0580547, 0.0609447, 0.0719399, 0.0733616, 0.0841007, 0.117669, 0.0565911, 0.0182908, 0.0209662, 0.0170863
0.21, 0.0319375, 0.017223, 0.0260422, 0.0662885, 0.0558341, 0.0525532, 0.0260546, 0.0767913, 0.042745, 0.0952639, 0.103527, 0.0700829, 0.140047, 0.0981446, 0.0849484, 0.10245, 0.0730398, 0.101875, 0.0951548, 0.141414, 0.122739, 0.0692023, 0.0534424, 0.0224848, 0.0141457, 0.0222105, 0.0217081, 0.0293299, 0.0354447, 0.0449152, 0.0407733, 0.0772863, 0.170014, 0.052189, 0.0317531, 0.0177014, 0.0211328, 0.0230527, 0.0174949, 0.030128, 0.0476169, 0.0535213, 0.0675882, 0.0659697, 0.0594866, 0.0648032, 0.134951, 0.0514031, 0.0198913, 0.0223585, 0.0227966
0.22, 0.0319375, 0.0131269, 0.01416, 0.0340442, 0.077144, 0.0716378, 0.0298267, 0.0558675, 0.0591175, 0.101449, 0.120017, 0.0813017, 0.159257, 0.0692919, 0.0657425, 0.146376, 0.104404, 0.111436, 0.142436, 0.0924248, 0.120861, 0.113435, 0.0678539, 0.0193269, 0.0145357, 0.0152898, 0.0200299, 0.0222097, 0.024398, 0.0467051, 0.0360916, 0.110616, 0.137485, 0.0414999, 0.0313748, 0.0138712, 0.0273257, 0.0245628, 0.0270421, 0.0404486, 0.0387021, 0.0385777, 0.0629749, 0.0771326, 0.0941288, 0.107419, 0.128091, 0.0435891, 0.0181969, 0.0220342, 0.0231619
0.23, 0.0319375, 0.0395091, 0.0162881, 0.0314055, 0.0457074, 0.0568074, 0.0524993, 0.0413255, 0.0838325, 0.0874172, 0.0721819, 0.0519092, 0.138063, 0.120663, 0.0970986, 0.154276, 0.115408, 0.138415, 0.132486, 0.122509, 0.07041, 0.111091, 0.0442025, 0.0233974, 0.0111128, 0.0190727, 0.0274304, 0.0242425, 0.0364152, 0.0514759, 0.0457787, 0.122244, 0.127864, 0.04326, 0.0287779, 0.0122481, 0.0207647, 0.0255524, 0.0233316, 0.0333905, 0.0454575, 0.0576922, 0.0487931, 0.0593326, 0.152402, 0.152793, 0.1247, 0.042364, 0.021406, 0.0217661, 0.0267624
0.24, 0.0319375, 0.0563863, 0.0293655, 0.0551845, 0.113269, 0.060641, 0.0477831, 0.0785199, 0.0638294, 0.0651591, 0.0518326, 0.0437558, 0.0672977, 0.195372, 0.0909311, 0.092684, 0.086262, 0.103739, 0.100262, 0.0894567, 0.124335, 0.125776, 0.0410588, 0.0160217, 0.0088179, 0.017339, 0.0160839, 0.0205497, 0.0464173, 0.0377921, 0.0634458, 0.140861, 0.131976, 0.031134, 0.0212044, 0.0153996, 0.0247675, 0.0231349, 0.0322659, 0.0571721, 0.0645948, 0.081379, 0.062245, 0.0571632, 0.145953, 0.14771, 0.093569, 0.036905, 0.0260479, 0.0213934, 0.0268682
0.25, 0.0319375, 0.0446196, 0.0413698, 0.0833047, 0.110465, 0.0436311, 0.0587314, 0.0713494, 0.0641267, 0.0420972, 0.0735981, 0.0811216, 0.118379, 0.150908, 0.115505, 0.0653531, 0.0398235, 0.106114, 0.0994509, 0.0399131, 0.0749439, 0.11155, 0.0543528, 0.0206656, 0.0115659, 0.022176, 0.0173547, 0.0246377, 0.0380384, 0.0397302, 0.0626027, 0.174694, 0.132457, 0.0355282, 0.0234721, 0.0132749, 0.0248627, 0.0273686, 0.0187933, 0.0548499, 0.0691344, 0.084577, 0.0592181, 0.0674849, 0.0993026, 0.135098, 0.0674759, 0.0369791, 0.0215065, 0.0255941, 0.0209592
0.26, 0.0319375, 0.0484739, 0.0351448, 0.0795989, 0.0999746, 0.0688546, 0.0246283, 0.0328997, 0.0544191, 0.0562327, 0.0539841, 0.114162, 0.191624, 0.146285, 0.138817, 0.119048, 0.101184, 0.168786, 0.111871, 0.0901831, 0.0949938, 0.0616745, 0.0527831, 0.0153492, 0.0163168, 0.0227386, 0.031028, 0.0323327, 0.0335962, 0.0499279, 0.0728396, 0.202272, 0.0976388, 0.0297432, 0.0295712, 0.0149368, 0.0230552, 0.0283911, 0.0235278, 0.0648812, 0.0640485, 0.0867286, 0.0489689, 0.0614263, 0.0618352, 0.098307, 0.0532909, 0.0355966, 0.0211511, 0.0231405, 0.0202112
0.27, 0.0319375, 0.0637199, 0.0174036, 0.0934768, 0.0999838, 0.090927, 0.0419626, 0.0224098, 0.0326918, 0.0335763, 0.0768761, 0.0698951, 0.110304, 0.0783694, 0.122775, 0.130308, 0.087297, 0.1084, 0.0770801, 0.0743016, 0.0885357, 0.041255, 0.0262877, 0.0149456, 0.0169313, 0.0179818, 0.0250476, 0.0344651, 0.0506994, 0.0645023, 0.0709823, 0.221292, 0.0508198, 0.0299033, 0.0244981, 0.0158453, 0.0260987, 0.023692, 0.0222378, 0.063533, 0.0576499, 0.0716444, 0.0407334, 0.0535547, 0.112027, 0.0947983, 0.0693404, 0.0257029, 0.0230386, 0.0264969, 0.0232625
0.28, 0.0319375, 0.0390196, 0.0393306, 0.0587717, 0.0837871, 0.0412146, 0.0299327, 0.0387962, 0.037515, 0.0353768, 0.0386696, 0.092187, 0.12295, 0.0328925, 0.0650159, 0.130933, 0.115964, 0.178477, 0.118675, 0.0812742, 0.0714428, 0.0593131, 0.0540266, 0.0230806, 0.0131136, 0.0125611, 0.0249507, 0.0427672, 0.0648359, 0.0485047, 0.0984539, 0.180269, 0.0238006, 0.0284304, 0.0275304, 0.018667, 0.0227345, 0.0221777, 0.0232887, 0.0523547, 0.0789834, 0.0509509, 0.0309019, 0.0530012, 0.12023, 0.118734, 0.068124, 0.0298756, 0.0262106, 0.028305, 0.025728
0.29, 0.0319375, 0.0402273, 0.00691012, 0.0313268, 0.0808083, 0.0835757, 0.035945, 0.0416067, 0.0410721, 0.0279157, 0.063863, 0.0870032, 0.100348, 0.0790618, 0.0542508, 0.123269, 0.0764857, 0.157985, 0.122775, 0.0958411, 0.0903579, 0.0839837, 0.0510904, 0.0194116, 0.0160583, 0.00961872, 0.0131938, 0.0186498, 0.0529914, 0.0513815, 0.119244, 0.152257, 0.0427499, 0.03268, 0.0258071, 0.0231499, 0.024199, 0.0275316, 0.0216154, 0.0461381, 0.0553689, 0.0504706, 0.0358921, 0.0535042, 0.135604, 0.133903, 0.0518035, 0.0351439, 0.0330395, 0.0342014, 0.0282728
0.3, 0.0319375, 0.0168938, 0.0194793, 0.0196268, 0.0884527, 0.0807452, 0.0630393, 0.0398207, 0.0318147, 0.0240594, 0.030412, 0.04917, 0.0717395, 0.195002, 0.0925954, 0.0887666, 0.098958, 0.0802246, 0.0867293, 0.0854926, 0.111799, 0.0963689, 0.0365985, 0.024612, 0.0158409, 0.0172958, 0.0251849, 0.0225868, 0.0361033, 0.074601, 0.157352, 0.123456, 0.0428192, 0.0317416, 0.0215145, 0.0234414, 0.0268889, 0.0253426, 0.0135335, 0.0359523, 0.0496426, 0.0516291, 0.04464, 0.074857, 0.130691, 0.102965, 0.063117, 0.0309339, 0.0294892, 0.0405273, 0.0234135
0.31, 0.0319375, 0.0198197, 0.0276214, 0.0123772, 0.050488, 0.0361054, 0.0360386, 0.0486661, 0.0351677, 0.0226572, 0.0479944, 0.0442327, 0.0668078, 0.14597, 0.0761402, 0.0745953, 0.137783, 0.129556, 0.0920748, 0.0621487, 0.0699935, 0.0788724, 0.040943, 0.0315253, 0.0184862, 0.0128452, 0.0169626, 0.0196247, 0.0383243, 0.0820473, 0.1762, 0.0885713, 0.028111, 0.0385383, 0.0162989, 0.0202652, 0.0258262, 0.0212614, 0.0124161, 0.0351638, 0.0342766, 0.0556967, 0.0552603, 0.0675151, 0.0927513, 0.071585, 0.0495981, 0.0268058, 0.0281416, 0.0416082, 0.019272
0.32, 0.0319375, 0.0155236, 0.0273626, 0.053642, 0.0459947, 0.0194649, 0.0207856, 0.0686688, 0.0695434, 0.0570012, 0.049737, 0.0620333, 0.0791903, 0.0958339, 0.0895302, 0.0629358, 0.101511, 0.0531821, 0.0498901, 0.0593189, 0.0648818, 0.0914268, 0.0342868, 0.0302944, 0.0170239, 0.0125514, 0.0158402, 0.0301036, 0.0449509, 0.0875281, 0.170645, 0.0488512, 0.0346604, 0.0511852, 0.0148886, 0.0151791, 0.0179543, 0.024046, 0.0166319, 0.0321113, 0.0282038, 0.0493799, 0.0557472, 0.0524339, 0.0929674, 0.0660279, 0.0462771, 0.0329904, 0.0228851, 0.0321736, 0.0171988
