# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -0.465543, -0.166223, -0.444794, -0.422534, 0.184514, 0.294438, -0.0298959, 2.24071, 2.32413, 1.38396, 0.388662, 0.374918, 0.299339, 0.284579, -0.598381, -0.275583, -0.0949891, -0.836063, -0.886458, -0.71006, -0.895798, -1.15292, -1.27118, -1.32122, -0.650505, -1.14769, -1.72577, -1.73523, -1.73164, -1.65124
0.34, 0.0319375, -1.0289, -0.40323, -0.966921, 0.250794, 1.06987, 0.855558, 1.04458, 2.23737, 1.96304, 1.32832, 0.427429, -0.00351569, -0.0296695, -0.211294, -0.883016, -0.129941, -0.720888, 0.645007, -0.151592, -0.766123, -0.494979, -1.10447, -1.45968, -1.19827, -1.10457, -1.50245, -1.75974, -1.82556, -1.85731, -1.91915
0.36, 0.0319375, -1.29226, -1.4061, -0.804995, 0.483995, 1.1132, 1.05402, 1.76197, 1.97878, 1.7882, 1.22628, 0.629924, 0.304018, 0.0537491, -0.173617, -0.630648, -0.308786, 0.616321, 0.859192, -0.979177, -0.55402, -0.21834, -1.34406, -1.10027, -1.40321, -1.17635, -1.19801, -1.71886, -1.91454, -2.26656, -1.99924
0.38, 0.0319375, 0.0563053, -0.490947, -1.36997, 0.65188, 1.10385, 1.50959, 2.4282, 2.26388, 1.04647, 0.413569, -0.0824601, 0.139286, 0.475648, 0.0959179, -0.291756, -0.328678, 0.155113, -0.400333, -0.515348, -0.67683, -0.494038, -0.846539, -0.669609, -1.31928, -1.28538, -1.1298, -0.969167, -1.3046, -1.62358, -1.95029
0.4, 0.0319375, -0.183489, -0.0780526, -0.389191, 0.900375, 1.55867, 2.61396, 1.97516, 0.617557, 1.19327, 0.468777, 0.28589, -0.396772, 0.201726, -0.0425242, -0.058377, -0.0883293, 0.0787831, -0.277691, -0.970122, -0.59192, -0.671122, -1.35803, -1.46333, -1.76801, -1.63103, -1.22261, -1.57876, -1.77663, -1.94172, -1.99728
0.42, 0.0319375, -0.0414417, 0.438768, 0.124898, 0.839261, 1.41777, 2.3626, 1.13278, 0.72794, 1.42532, 1.09073, 0.622748, 0.128673, -0.227549, -0.277799, 0.138454, -0.0818421, 0.00287869, -0.317293, -0.835703, -0.803501, -0.222108, -0.715074, -1.17732, -1.57839, -1.14514, -1.31632, -1.79511, -1.66027, -1.81152, -1.85726
0.44, 0.0319375, -0.456742, -0.998909, -0.920345, 0.717425, 1.596, 1.97171, 0.779383, 0.971305, 1.32123, 0.544066, 0.123596, -0.365626, -0.0171802, 0.0870984, 0.532206, -0.248361, -0.521614, -0.309864, -0.776803, -0.39351, -0.603568, -1.26137, -0.976792, -1.60734, -1.6537, -1.99544, -1.91508, -2.15601, -1.7216, -1.80904
0.46, 0.0319375, -0.274924, -0.321462, -0.733811, -0.0204846, 1.79541, 2.07549, 1.40312, 1.64572, 0.653073, 0.423207, 0.305947, -0.147734, 0.280075, 0.780826, 0.647364, -0.317198, -0.211103, -0.212627, -0.994537, -0.00841098, -0.572037, -0.674362, -1.00064, -1.12913, -1.40719, -1.69393, -1.76247, -1.91909, -1.82183, -1.89659
0.48, 0.0319375, -0.715029, -0.819798, -0.473118, -0.0339997, 2.24359, 2.06831, 1.99912, 1.53925, 1.24815, 0.683181, 0.409163, 0.114032, 0.229184, 0.355017, 0.41504, -0.739737, -0.323805, 0.0322814, -0.575056, -0.185206, -0.280908, -0.954597, -1.34185, -1.88984, -1.44027, -1.70305, -1.40621, -1.67268, -2.10368, -2.04827
0.5, 0.0319375, -0.637817, -0.48249, -1.11977, 0.10909, 1.31065, 2.17226, 1.88271, 1.58255, 1.08727, 0.546746, -0.231229, 0.0964228, -0.743067, 0.149981, -0.098138, -0.569088, 0.21059, 0.0674667, -0.912704, -0.1871, -0.708212, -1.18035, -0.99255, -1.57895, -1.38132, -1.25919, -1.33249, -1.7452, -1.98808, -1.9487
