# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.217736, 0.200084, 0.352456, 0.327634, 1.00862, 0.857696, 0.390526, 0.398125, 0.281767, 0.271058, 0.245387, 0.289898, 0.347394, 0.585468, 0.616481, 0.488959, 0.573657, 0.289731, 0.423282, 0.923927, 0.63018, 0.599419, 0.651529, 0.359325, 0.533946, 0.764421, 0.748819, 0.643165, 0.825443, 0.626807, 0.73816, 0.565746, 0.774008, 0.747198, 0.878771, 0.639084, 0.515567, 0.630399, 0.508891, 0.861313, 0.829566, 1.09763, 1.20019, 1.57141, 1.7197, 1.40186, 0.97378, 0.688957, 0.786651, 0.48193
0.11, 0.0319375, 0.306259, 0.179377, 0.227607, 0.432572, 0.992125, 0.770974, 0.440972, 0.404468, 0.369025, 0.198991, 0.346221, 0.461988, 0.677816, 0.794361, 0.41493, 0.589909, 0.457911, 0.121237, 0.64869, 1.05631, 0.558314, 0.505265, 0.297959, 0.274819, 0.602084, 0.727899, 0.829816, 1.06985, 1.09858, 0.745333, 0.538964, 0.720579, 0.771948, 0.622412, 0.84375, 0.475275, 0.489264, 0.715753, 0.575497, 0.659765, 0.689805, 1.07096, 1.03128, 1.46681, 1.52663, 1.31257, 0.977116, 0.797112, 0.730309, 0.537233
0.12, 0.0319375, 0.353984, 0.204314, 0.157532, 0.44897, 0.96684, 0.679271, 0.433599, 0.27271, 0.224397, 0.205217, 0.504698, 0.302667, 0.512151, 0.745069, 0.358891, 0.625657, 0.343412, 0.236301, 0.566387, 0.783419, 0.61071, 0.561415, 0.228672, 0.39465, 0.489353, 0.698944, 0.640383, 0.791137, 0.945047, 0.821891, 0.586922, 0.77134, 0.754475, 0.476124, 0.630691, 0.453357, 0.506496, 0.611472, 0.612624, 0.732539, 0.848475, 0.888445, 1.23597, 1.51941, 1.58214, 1.32847, 1.07781, 0.6676, 0.800834, 0.557611
0.13, 0.0319375, 0.192468, 0.127069, 0.25497, 0.367967, 1.01335, 0.811108, 0.462578, 0.418734, 0.398814, 0.382234, 0.689458, 0.586451, 0.597297, 0.830087, 0.282492, 0.651647, 0.288308, 0.496291, 0.492547, 0.537999, 0.699781, 0.751004, 0.311514, 0.545911, 0.589131, 0.532658, 0.704426, 0.772734, 0.580995, 0.831545, 0.741976, 0.859296, 0.694231, 0.462826, 0.538673, 0.57792, 0.579937, 0.616308, 0.605279, 0.766594, 0.921204, 1.05845, 1.52428, 1.7573, 1.43186, 1.53066, 1.2368, 0.810512, 0.805545, 0.638617
0.14, 0.0319375, 0.0832767, 0.13424, 0.313195, 0.373536, 0.950198, 0.702003, 0.481705, 0.384011, 0.548287, 0.342552, 0.453403, 0.453596, 0.567318, 0.779979, 0.283726, 0.450575, 0.437585, 0.34765, 0.302333, 0.441514, 0.620946, 0.490384, 0.320238, 0.75727, 0.669404, 0.706626, 0.603648, 0.640567, 0.637945, 0.97341, 0.687677, 0.736356, 0.750487, 0.694635, 0.49907, 0.628926, 0.608533, 0.724133, 0.674535, 0.685243, 0.682185, 1.11886, 1.18579, 1.38832, 1.45664, 1.55091, 1.0746, 0.781184, 0.674527, 0.647045
0.15, 0.0319375, 0.169782, 0.160898, 0.178725, 0.374185, 0.890604, 0.570254, 0.393714, 0.333716, 0.475035, 0.352142, 0.266593, 0.340999, 0.498167, 0.77153, 0.305402, 0.440882, 0.588984, 0.316399, 0.318327, 0.488435, 0.37318, 0.279506, 0.27544, 0.660114, 0.610551, 0.664903, 0.67811, 0.712263, 0.716899, 0.845295, 0.753709, 0.738366, 0.808568, 0.658815, 0.526719, 0.442283, 0.469616, 0.71658, 0.742674, 0.775762, 0.789823, 0.930913, 1.1606, 1.29596, 1.48264, 1.5266, 1.03402, 0.706403, 0.603418, 0.638334
0.16, 0.0319375, 0.151942, 0.02927, 0.111981, 0.348914, 0.890613, 0.756973, 0.472197, 0.524704, 0.401138, 0.576276, 0.380533, 0.37874, 0.457345, 0.81129, 0.513997, 0.425237, 0.651522, 0.470079, 0.500609, 0.711764, 0.292354, 0.244973, 0.383058, 0.531421, 0.439757, 0.61887, 0.814855, 0.910046, 0.678295, 0.661907, 0.784069, 0.593743, 0.692648, 0.751688, 0.611264, 0.472739, 0.411256, 0.597, 0.857816, 0.581216, 0.828445, 1.14818, 1.5497, 1.49596, 1.20974, 1.22989, 0.90319, 0.663139, 0.814347, 0.742511
0.17, 0.0319375, 0.090284, 0.120736, 0.111806, 0.301509, 0.920881, 0.687946, 0.490391, 0.60715, 0.445931, 0.40983, 0.445311, 0.495652, 0.602425, 0.810893, 0.406945, 0.286309, 0.380283, 0.380087, 0.568736, 0.69121, 0.31516, 0.407892, 0.56987, 0.687655, 0.409363, 0.467706, 0.798149, 0.778584, 0.803143, 0.972027, 0.725103, 0.729159, 0.690733, 0.853229, 0.765315, 0.652902, 0.396817, 0.479327, 0.619079, 0.712091, 0.929108, 1.04182, 1.30356, 1.41745, 1.48793, 1.22143, 1.00743, 0.733402, 0.729439, 0.65694
0.18, 0.0319375, 0.226713, 0.180224, 0.158097, 0.274016, 0.916368, 0.736517, 0.350227, 0.344799, 0.341755, 0.290458, 0.429995, 0.511645, 0.485532, 0.745959, 0.434652, 0.44978, 0.525173, 0.460751, 0.728217, 0.665131, 0.447736, 0.508271, 0.542478, 0.849971, 0.554668, 0.706044, 0.546537, 0.66177, 1.11224, 0.848336, 0.568577, 0.690727, 0.827001, 0.745008, 0.743149, 0.630525, 0.552391, 0.55726, 0.600205, 0.84623, 0.944552, 0.957823, 1.30403, 1.53388, 1.66485, 1.22109, 1.10889, 0.860403, 0.891863, 0.744246
0.19, 0.0319375, 0.202873, 0.147245, 0.144119, 0.301388, 1.0005, 0.693991, 0.209697, 0.262544, 0.276883, 0.3909, 0.5023, 0.587305, 0.473941, 0.692749, 0.436872, 0.510153, 0.521766, 0.631413, 0.761773, 0.719055, 0.39668, 0.47798, 0.398241, 0.445469, 0.408637, 0.364927, 0.498647, 0.743808, 1.13043, 0.731984, 0.542643, 0.517866, 0.684984, 0.589033, 0.710812, 0.689667, 0.523381, 0.674427, 0.777248, 0.802286, 0.836584, 1.03564, 1.28565, 1.67453, 1.72529, 1.27703, 1.01819, 0.845214, 0.787281, 0.680695
0.2, 0.0319375, 0.167807, 0.0767116, 0.229285, 0.365033, 0.96127, 0.71778, 0.407306, 0.359961, 0.387406, 0.396268, 0.533829, 0.379805, 0.449847, 0.717272, 0.331174, 0.467187, 0.694183, 0.400179, 0.363248, 0.58638, 0.289524, 0.588891, 0.497753, 0.629725, 0.344561, 0.343131, 0.617984, 0.758556, 0.771431, 0.611553, 0.761399, 0.439668, 0.527449, 0.524254, 0.720982, 0.506476, 0.588497, 0.615173, 0.674339, 0.558907, 0.702273, 1.08182, 1.33363, 1.49928, 1.54341, 1.25814, 0.908515, 0.694771, 0.783272, 0.639886
0.21, 0.0319375, 0.263837, 0.149276, 0.325833, 0.396809, 0.957763, 0.702425, 0.571002, 0.427345, 0.261887, 0.395269, 0.548065, 0.219957, 0.461965, 0.686541, 0.52167, 0.370724, 0.635641, 0.433042, 0.524983, 0.750464, 0.357172, 0.579917, 0.606133, 0.610228, 0.400981, 0.358891, 0.344574, 0.512052, 0.501913, 0.535053, 0.749844, 0.525332, 0.612648, 0.499511, 0.886114, 0.517735, 0.54383, 0.566368, 0.51131, 0.622795, 0.750816, 0.939917, 1.39403, 1.93341, 1.73974, 1.24026, 1.06029, 0.701567, 0.725803, 0.707395
0.22, 0.0319375, 0.207526, 0.192382, 0.236513, 0.315689, 1.00429, 0.824476, 0.637109, 0.534678, 0.468879, 0.520379, 0.472952, 0.210246, 0.53293, 0.617279, 0.482316, 0.445706, 0.714694, 0.604086, 0.359173, 0.644672, 0.455499, 0.494287, 0.331788, 0.459365, 0.36092, 0.421813, 0.583291, 0.796262, 0.628799, 0.577061, 0.752566, 0.647503, 0.770401, 0.723882, 0.505176, 0.411287, 0.460497, 0.484517, 0.665105, 0.637136, 0.712776, 0.96326, 1.3612, 1.62946, 1.69036, 1.29553, 1.00982, 0.652992, 0.6376, 0.795397
0.23, 0.0319375, 0.30472, 0.100303, 0.17075, 0.345946, 1.13644, 0.784122, 0.507337, 0.388984, 0.283281, 0.369049, 0.484553, 0.561606, 0.620441, 0.681234, 0.462813, 0.58249, 0.345834, 0.531635, 0.558994, 0.785063, 0.508379, 0.42862, 0.665829, 0.510131, 0.435556, 0.48834, 0.658237, 0.795674, 0.649131, 0.739267, 0.76913, 0.788673, 0.730433, 0.832461, 0.539704, 0.547597, 0.559507, 0.49602, 0.540954, 0.80439, 1.18079, 1.22401, 1.27523, 1.61854, 1.65063, 1.3481, 1.06139, 0.767425, 0.650557, 0.6347
0.24, 0.0319375, 0.240514, 0.092321, 0.186429, 0.250754, 1.02057, 0.755167, 0.269464, 0.29225, 0.250386, 0.155552, 0.323507, 0.602977, 0.70173, 0.803037, 0.310696, 0.491668, 0.500795, 0.454393, 0.346846, 0.806297, 0.429995, 0.650697, 0.679651, 0.630542, 0.402845, 0.475538, 0.684526, 0.718863, 0.81536, 0.546204, 0.647975, 0.806777, 0.819994, 0.698283, 0.522345, 0.487624, 0.479936, 0.50875, 0.527816, 0.692484, 1.05635, 1.06095, 1.15504, 1.30435, 1.36391, 1.33407, 1.05906, 0.926975, 0.687715, 0.623498
0.25, 0.0319375, 0.20668, 0.153063, 0.190482, 0.37538, 0.903762, 0.728823, 0.294422, 0.240662, 0.223715, 0.323343, 0.144837, 0.292561, 0.461534, 0.806271, 0.523998, 0.489371, 0.722286, 0.376615, 0.564515, 0.586183, 0.267353, 0.575214, 0.639572, 0.501191, 0.659458, 0.59532, 0.730496, 0.902813, 0.805978, 0.73021, 0.924055, 0.694467, 0.736757, 0.759049, 0.844065, 0.599355, 0.625117, 0.515427, 0.630882, 0.928817, 0.904689, 0.81864, 1.48789, 1.24369, 1.45324, 1.34656, 1.0205, 0.798262, 0.582772, 0.634283
0.26, 0.0319375, 0.107903, 0.104124, 0.18591, 0.430511, 1.01609, 0.611307, 0.414832, 0.457514, 0.506789, 0.464918, 0.207008, 0.236263, 0.294658, 0.824702, 0.528781, 0.342298, 0.649666, 0.566371, 0.562504, 0.657845, 0.37798, 0.273007, 0.408868, 0.415952, 0.565064, 0.559704, 0.485753, 0.715935, 1.02521, 0.844888, 1.05848, 0.759822, 0.687395, 0.787008, 0.807846, 0.567088, 0.513853, 0.484753, 0.774039, 1.04927, 1.00698, 0.887544, 1.38834, 1.55006, 1.45199, 1.36485, 0.971392, 0.75709, 0.635199, 0.603868
0.27, 0.0319375, 0.223134, 0.0221336, 0.140172, 0.33054, 1.04457, 0.815349, 0.459579, 0.351615, 0.609036, 0.283928, 0.218798, 0.25868, 0.416586, 0.757572, 0.615634, 0.544199, 0.631112, 0.27385, 0.413624, 0.544054, 0.403552, 0.368838, 0.455943, 0.548083, 0.513637, 0.425633, 0.654958, 0.896229, 0.895607, 0.992532, 0.741557, 0.809667, 0.784778, 0.797526, 0.805387, 0.558857, 0.309745, 0.532233, 0.798532, 0.85718, 0.820428, 1.00707, 1.40828, 1.62837, 1.41153, 1.22883, 0.893557, 0.669991, 0.690099, 0.745946
0.28, 0.0319375, 0.211847, 0.127378, 0.273279, 0.42134, 0.979356, 0.744583, 0.431665, 0.416594, 0.441534, 0.255479, 0.30159, 0.43014, 0.538488, 0.782426, 0.433208, 0.533924, 0.390532, 0.561593, 0.594226, 0.564399, 0.522893, 0.44504, 0.539735, 0.703905, 0.725635, 0.352526, 0.518756, 0.677248, 0.704404, 0.68238, 0.744935, 0.959832, 0.841846, 0.669936, 0.568374, 0.401862, 0.510633, 0.620941, 0.670134, 0.863901, 0.82049, 0.990635, 1.37216, 1.64992, 1.44196, 1.25574, 0.959778, 0.521182, 0.635187, 0.660367
0.29, 0.0319375, 0.128293, 0.103811, 0.189531, 0.432096, 1.02697, 0.785914, 0.462613, 0.547104, 0.492481, 0.303837, 0.269512, 0.370492, 0.567425, 0.895184, 0.513671, 0.578774, 0.449409, 0.604789, 0.616311, 0.769864, 0.602446, 0.608238, 0.65722, 0.574927, 0.49367, 0.426088, 0.580508, 0.755139, 0.68286, 0.412317, 0.77145, 0.744653, 0.752849, 0.732778, 0.693325, 0.348953, 0.412903, 0.528987, 0.699532, 0.763418, 1.07938, 0.921282, 0.872714, 1.39801, 1.44721, 1.15161, 1.12812, 0.674445, 0.658056, 0.53198
0.3, 0.0319375, 0.268295, 0.186167, 0.232015, 0.252432, 0.959759, 0.650661, 0.513137, 0.288918, 0.575028, 0.323607, 0.386286, 0.339424, 0.71686, 0.760219, 0.535334, 0.795397, 0.515979, 0.338032, 0.536737, 0.574088, 0.314097, 0.365634, 0.590064, 0.70608, 0.525186, 0.468369, 0.679657, 1.01569, 0.845319, 0.637283, 0.899212, 0.78108, 0.868739, 0.858573, 0.61208, 0.541844, 0.384073, 0.515618, 0.729239, 0.722524, 0.937522, 0.960662, 1.02355, 1.21143, 1.26413, 1.29748, 1.10242, 0.787806, 0.627786, 0.503924
0.31, 0.0319375, 0.242836, 0.243459, 0.164191, 0.257723, 0.944592, 0.782675, 0.534241, 0.485503, 0.32433, 0.298742, 0.253067, 0.394435, 0.595519, 0.955743, 0.592919, 0.407426, 0.384203, 0.417233, 0.532176, 0.716813, 0.450563, 0.447658, 0.577078, 0.463471, 0.427659, 0.685155, 0.745461, 0.907105, 0.781578, 0.624978, 0.837752, 0.909355, 0.885251, 0.872992, 0.54661, 0.504449, 0.383491, 0.575254, 0.673972, 0.972552, 0.936559, 0.884504, 1.16455, 1.40554, 1.43531, 1.41287, 0.906659, 0.835983, 0.689605, 0.544682
0.32, 0.0319375, 0.11534, 0.124623, 0.0990216, 0.321402, 0.952375, 0.715965, 0.271191, 0.423164, 0.304556, 0.374109, 0.417623, 0.42221, 0.55953, 0.913483, 0.590638, 0.316989, 0.407862, 0.337426, 0.283687, 0.628534, 0.550847, 0.306811, 0.226318, 0.30993, 0.585747, 0.568321, 0.690976, 0.584344, 0.809649, 0.709031, 0.809195, 0.622998, 0.591764, 0.685852, 0.674362, 0.516352, 0.487596, 0.459846, 0.618997, 0.897481, 0.860069, 1.09619, 1.39778, 1.72168, 1.50265, 1.2769, 1.14708, 0.833592, 0.650387, 0.65797
