Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.1939999999,0.0413165055,-1.0065091848,-0.1430186778,3.5601871013,-0.6417504549,0.5959111452
-0.1739999999,0.0344711653,-1.0001528263,-0.1391070485,3.0865139961,-1.4515783786,0.3972740769
-0.154,0.0342266894,-0.9957522153,-0.1373957097,1.8946918249,-1.8946918249,0.1069584116
-0.134,0.0320264026,-0.994285345,-0.1366622895,0.6570302248,-1.8335727453,-0.2291965931
-0.114,0.0378938354,-0.9974635839,-0.1391070485,-0.4125538468,-1.4515783786,-0.7487088441
-0.0939999999,0.0366714559,-1.0077315568,-0.1408183872,-0.6570302248,-1.3446199893,-0.8862268328
-0.074,0.0374048836,-1.0133545398,-0.1378846615,-0.8403875231,-1.8030132055,-0.8251076936
-0.054,0.0430278405,-1.017021656,-0.1398404836,-0.5500718355,-1.7418941259,-0.5347920656
-0.034,0.0469394624,-1.0175106525,-0.1408183872,0.1680774986,-1.6807750463,-0.2139168232
-0.014,0.0466949865,-1.0121321678,-0.1457079052,0.7487088441,-1.7113345861,0.0763988643
0.006,0.0352045968,-1.0062646865,-0.148641631,1.0237448215,-1.6196558475,0.2139168232
0.026,0.0332487858,-1.0016196966,-0.1464413404,0.855667293,-1.4210188388,0.0305595453
0.0459999999,0.0344711653,-1.0016196966,-0.1415518075,0.3514347672,-1.543256998,-0.1986370384
0.066,0.0317819267,-1.004553318,-0.1373957097,-0.0611190907,-1.8182929754,-0.4125538468
0.0859999999,0.0322708785,-1.0035754442,-0.1361733376,-0.381994307,-2.1697278022,-0.4889527261
0.106,0.0310484971,-1.0062646865,-0.1369067579,-0.8098279237,-2.3989243507,-0.6570302248
0.126,0.0342266894,-1.0091984272,-0.1410628557,-0.8251076936,-2.5517220497,-0.7487088441
0.1459999999,0.0476728901,-1.0143324136,-0.142529726,-0.7181493043,-2.0627694129,-0.6417504549
0.166,0.0576964206,-1.0138434171,-0.1364178061,-0.2750359177,-1.1307032108,-0.3514347672
0.1859999999,0.0633193776,-1.0131100416,-0.1481526792,0.7487088441,1.6043760776,0.0152797726
0.206,0.0616080425,-1.0133545398,-0.1444855332,1.3140604496,3.2240319252,0.2750359177
0.226,0.0569629929,-1.0023530721,-0.1373957097,2.047489643,2.9642758369,0.626470685
0.2359999999,0.0515845119,-0.9952632784,-0.1320172399,1.1459829807,3.1476330757,0.763988614
0.266,0.0616080425,-1.0043089389,-0.1312838047,-0.9473459124,3.606026411,0.6875897645
0.2859999999,0.051340036,-1.0094429254,-0.1244384646,-1.0695841312,4.0796995162,0.7334290742
0.306,0.0559850856,-0.9891513586,-0.1393515318,-0.8251076936,4.415854454,0.6417504549
