# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -3.37801, -3.51606, -4.84347, -4.81437, -4.36547, -4.55516, -4.3241, -4.594, -4.58207, -5.27893, -6.07025, -5.53867, -5.68701, -6.01647, -5.92354, -6.04003, -6.16911, -6.13347, -6.07291, -6.10531, -5.49486, -5.69457, -5.62456, -5.30362, -5.62814, -5.48081, -5.53412, -5.26143, -5.37422, -5.41589
0.34, 0.0319375, -3.30039, -3.74588, -4.02216, -4.95248, -4.14816, -4.40668, -4.70353, -4.37622, -5.27722, -5.51691, -5.70701, -5.31646, -5.42372, -6.00773, -5.84322, -5.86295, -5.85187, -6.00826, -6.01112, -5.87885, -5.70151, -5.66627, -5.74706, -5.701, -5.40889, -5.35839, -5.345, -5.67848, -5.46742, -5.27601
0.36, 0.0319375, -3.91207, -3.29495, -4.34816, -5.28801, -5.38331, -4.05239, -4.38018, -4.73368, -4.49177, -5.58455, -5.30937, -5.34892, -5.71313, -6.30151, -5.97355, -6.2709, -6.20922, -5.93145, -6.15363, -5.83278, -5.63968, -5.92011, -5.59848, -5.1698, -5.42729, -5.645, -5.53379, -5.53009, -5.42447, -5.25383
0.38, 0.0319375, -3.93489, -3.98576, -4.7744, -4.64432, -5.14337, -4.76381, -4.53641, -4.31272, -5.03644, -5.34949, -5.44395, -5.65561, -5.63105, -6.02487, -6.41427, -6.65051, -6.51304, -6.32714, -6.24025, -5.82609, -5.85478, -6.02363, -5.58961, -5.66648, -5.37409, -5.70413, -5.36844, -5.69117, -5.25158, -5.32099
0.4, 0.0319375, -3.71551, -3.76145, -4.6812, -4.29853, -4.54668, -4.24317, -4.53973, -4.36711, -5.30286, -5.41682, -6.07995, -5.151, -5.68435, -5.5962, -6.01825, -5.98637, -6.34827, -6.36388, -6.17143, -5.77006, -5.98585, -5.4355, -5.74628, -5.77129, -5.72288, -5.66134, -5.49959, -5.18301, -5.30629, -5.36021
0.42, 0.0319375, -4.07716, -4.13916, -4.61607, -5.32649, -5.03425, -4.89621, -4.48544, -5.19455, -4.73129, -4.9813, -5.03338, -5.56923, -5.89238, -5.75557, -5.98561, -6.05637, -5.89364, -6.0978, -5.99422, -5.72692, -6.14266, -6.11044, -5.91428, -5.61573, -5.80845, -5.70585, -5.57917, -5.43122, -5.54324, -5.1846
0.44, 0.0319375, -3.40432, -4.02143, -4.6788, -4.99635, -4.65347, -5.1131, -4.36002, -4.54132, -4.55842, -4.57561, -5.3699, -5.33157, -6.25888, -6.46771, -6.50672, -6.40208, -6.20458, -5.76676, -5.96331, -6.31299, -5.74762, -6.01945, -5.76467, -5.54814, -5.48613, -5.56025, -5.40485, -5.35216, -5.06291, -5.14919
0.46, 0.0319375, -4.20708, -3.80814, -4.62576, -4.86239, -4.59828, -5.12972, -5.22378, -4.48439, -4.73858, -4.65943, -5.37611, -5.33999, -5.5026, -6.06895, -6.57522, -5.93223, -6.06672, -6.42593, -6.43593, -5.82585, -6.35696, -5.62544, -5.91608, -5.9123, -5.50655, -5.52816, -5.41976, -5.69879, -5.51567, -5.27151
0.48, 0.0319375, -4.32858, -4.83219, -4.72792, -4.98135, -4.96237, -4.79125, -4.75537, -5.44097, -4.95175, -4.82477, -5.58833, -5.71794, -5.82053, -5.7912, -6.02492, -6.16297, -5.88668, -6.12842, -5.85226, -6.0367, -5.83032, -5.65667, -5.74827, -5.3331, -5.70604, -5.72958, -5.29031, -5.37272, -5.51111, -5.22748
0.5, 0.0319375, -3.19692, -4.72879, -5.1249, -5.21286, -4.66703, -4.55934, -4.40697, -4.59918, -5.16141, -5.02359, -5.2156, -5.84726, -5.70558, -6.03141, -6.60429, -6.44817, -6.41212, -5.88373, -5.91781, -6.12422, -6.09824, -5.60357, -5.7537, -5.74866, -5.76448, -5.93421, -5.27022, -5.30063, -5.45767, -5.30148
