# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.0644578, 0.11623, 0.0866696, 0.228435, 0.622373, 0.377597, 0.466248, 0.597308, 0.444697, 0.475646, 0.512456, 0.522593, 0.557095, 0.338623, 0.401629, 0.749743, 0.644216, 1.04964, 0.736086, 0.892456, 0.480463, 0.532729, 0.722883, 0.654388, 0.671445, 0.718156, 0.56752, 0.692422, 0.805054, 0.55724, 0.525834, 0.44092, 0.527439, 0.708976, 0.646335, 0.557217, 0.728889, 0.651239, 0.582761, 0.801153, 0.928382, 0.760751, 1.29073, 1.73831, 1.33664, 1.2366, 1.03012, 0.678738, 0.719228, 0.768525
0.11, 0.0319375, 0.0769792, 0.15912, 0.344811, 0.448276, 0.753272, 0.465989, 0.557801, 0.499314, 0.482625, 0.218082, 0.248333, 0.603413, 0.691219, 0.556592, 0.626189, 0.529367, 0.496888, 0.666998, 0.583318, 0.660749, 0.389826, 0.589983, 0.987035, 0.765456, 0.886791, 0.623556, 0.526197, 0.835807, 0.918892, 0.713832, 0.598763, 0.314742, 0.426084, 0.626101, 0.480555, 0.623593, 0.703921, 0.605079, 0.480553, 0.652416, 0.601277, 0.846059, 1.13251, 1.48449, 1.35317, 1.22892, 0.984334, 0.698584, 0.703455, 0.801625
0.12, 0.0319375, 0.0800145, 0.110349, 0.358056, 0.403409, 0.840292, 0.760339, 0.639632, 0.38897, 0.506381, 0.260827, 0.309706, 0.643079, 0.726765, 0.67826, 0.606291, 0.876634, 0.526384, 0.522099, 0.615183, 0.691768, 0.569488, 0.763486, 0.653014, 0.585638, 0.752034, 0.431546, 0.500761, 0.412194, 0.558789, 0.424121, 0.501093, 0.544796, 0.626239, 0.744794, 0.66635, 0.731025, 0.806304, 0.516576, 0.342713, 0.75523, 0.791872, 1.15723, 1.15919, 1.62481, 1.65612, 1.29412, 1.09156, 0.764268, 0.697506, 0.803297
0.13, 0.0319375, 0.22275, 0.152066, 0.137085, 0.345619, 0.86935, 0.560191, 0.485063, 0.485694, 0.22917, 0.29532, 0.340835, 0.412717, 0.439361, 0.383523, 0.606574, 0.868148, 0.701458, 0.518278, 0.628289, 0.632758, 0.898063, 0.685672, 0.692811, 0.886734, 0.847344, 0.59888, 0.642475, 0.491044, 0.840303, 0.47711, 0.369165, 0.442955, 0.617509, 0.704958, 0.74986, 0.793327, 0.792824, 0.542457, 0.509342, 0.957916, 0.832463, 0.981429, 1.26088, 1.6618, 1.7201, 1.36406, 0.955638, 0.805465, 0.687239, 0.729264
0.14, 0.0319375, 0.274369, 0.0869129, 0.11136, 0.259838, 0.77834, 0.633814, 0.738695, 0.532813, 0.455542, 0.628258, 0.294482, 0.536141, 0.556111, 0.386395, 0.303847, 0.306525, 0.421867, 0.420928, 0.656857, 0.423892, 0.81418, 0.516057, 0.470342, 0.591224, 0.669736, 0.595583, 0.666871, 0.874409, 0.955371, 0.567392, 0.530659, 0.555266, 0.639608, 0.621728, 0.748422, 0.853028, 0.670275, 0.710552, 0.569188, 0.869004, 1.09648, 0.923923, 1.44201, 1.85836, 1.74406, 1.35738, 1.03061, 0.725644, 0.580116, 0.665858
0.15, 0.0319375, 0.188108, 0.139714, 0.229953, 0.334635, 0.774527, 0.499288, 0.494436, 0.61111, 0.508094, 0.481447, 0.475915, 0.652584, 0.538796, 0.507004, 0.704549, 0.408784, 0.494329, 0.420514, 0.651545, 0.752749, 0.764266, 0.47343, 0.316856, 0.459919, 0.618622, 0.313681, 0.654173, 0.932286, 0.957912, 0.815251, 0.655727, 0.724122, 0.476326, 0.571517, 0.548762, 0.603769, 0.598403, 0.465906, 0.715805, 1.00543, 0.93253, 0.965416, 1.37949, 1.55424, 1.63631, 1.46989, 1.01754, 0.694955, 0.75978, 0.679441
0.16, 0.0319375, 0.128137, 0.18148, 0.0898117, 0.29817, 0.780931, 0.549384, 0.340209, 0.270708, 0.276098, 0.548738, 0.55256, 0.439823, 0.378658, 0.513301, 0.648789, 0.60296, 0.600416, 0.714211, 0.612894, 0.628969, 0.528764, 0.62622, 0.424802, 0.770852, 0.718033, 0.321463, 0.54834, 0.663761, 0.7717, 0.807658, 0.61266, 0.648708, 0.613421, 0.493254, 0.641723, 0.589565, 0.677971, 0.650777, 0.652647, 0.774765, 0.876856, 0.91412, 1.18321, 1.36932, 1.31785, 1.24614, 0.91277, 0.60019, 0.923719, 0.784099
0.17, 0.0319375, 0.107829, 0.144298, 0.181313, 0.298299, 0.812822, 0.61736, 0.628842, 0.498606, 0.255341, 0.425672, 0.549187, 0.672235, 0.523922, 0.561138, 0.333886, 0.447352, 0.817964, 0.782854, 0.809912, 0.853157, 0.896072, 0.491805, 0.4546, 0.728796, 0.390973, 0.294557, 0.63796, 0.80332, 0.889776, 0.861739, 0.571622, 0.538187, 0.781533, 0.660511, 0.568209, 0.563033, 0.816596, 0.750938, 0.572752, 0.86066, 0.993761, 1.19269, 1.33963, 1.49298, 1.35799, 1.23024, 1.00056, 0.688824, 0.687473, 0.61593
0.18, 0.0319375, 0.208888, 0.0573783, 0.0627447, 0.253717, 0.876736, 0.595932, 0.525542, 0.339356, 0.2721, 0.439839, 0.448772, 0.554997, 0.446259, 0.392202, 0.364817, 0.429813, 0.735297, 0.755547, 0.688959, 0.872493, 0.708358, 0.675802, 0.486752, 0.61317, 0.487273, 0.433106, 0.553958, 0.555162, 0.763085, 0.844276, 0.510722, 0.455696, 0.773173, 0.777124, 0.779047, 0.564259, 0.802776, 0.672034, 0.571376, 0.938985, 1.01286, 1.16311, 1.30069, 1.78188, 1.34447, 1.45807, 1.05468, 0.740897, 0.711864, 0.554294
0.19, 0.0319375, 0.196261, 0.0775856, 0.0638378, 0.292807, 0.826384, 0.51541, 0.484144, 0.38008, 0.350681, 0.581973, 0.573637, 0.197213, 0.439331, 0.658329, 0.739992, 0.751828, 0.797258, 0.623816, 0.733569, 0.982937, 0.625421, 0.444152, 0.516704, 0.549712, 0.544223, 0.260676, 0.361482, 0.795505, 0.863668, 0.739488, 0.446249, 0.532023, 0.77411, 0.589684, 0.785602, 0.661123, 0.691498, 0.873831, 0.828897, 1.05889, 0.978462, 1.08525, 1.26409, 1.70502, 1.6554, 1.56138, 0.984017, 0.829029, 0.804351, 0.693187
