Time (seconds),X,Y,Z
2.48,-0.305351,-0.88573784,-0.28799316
2.5,-0.2378755,-0.9153195,-0.27601382
2.52,-0.22834092,-0.9422119,-0.27870306
2.54,-0.23445283,-1.0221556,-0.31977507
2.56,-0.21978424,-1.1341258,-0.30290622
2.58,-0.27014637,-1.1898664,-0.23445283
2.6,-0.3434893,-1.2769,-0.24814351
2.62,-0.44127983,-1.339975,-0.31977507
2.64,-0.46670538,-1.2964581,-0.40705314
2.66,-0.50508815,-1.2174923,-0.43883508
2.68,-0.6547077,-1.1612628,-0.50704396
2.7,-0.71851605,-1.141949,-0.5449378
2.72,-0.8099502,-1.1920668,-0.5415152
2.74,-0.8439324,-1.2810562,-0.6109464
2.76,-0.8075054,-1.2651652,-0.5901659
2.78,-0.85688967,-1.1461052,-0.4933533
2.8,-0.8053051,-0.9825505,-0.49261987
2.82,-0.7006692,-0.7884363,-0.6432173
2.84,-0.6505516,-0.6473734,-0.6613086
2.86,-0.65079606,-0.6559301,-0.73098433
2.88,-0.7625218,-0.61705834,-0.66057515
2.9,-1.0099318,-0.6867341,-0.66228646
2.92,-0.920698,-0.6987134,-0.6446842
2.93,-0.9642148,-0.76692235,-0.59309965
2.94,-0.8749809,-0.84271,-0.41023132
2.96,-0.93463314,-1.0172662,-0.2699019
2.98,-1.0113987,-1.3140604,-0.1437521
3,-0.9361,-1.3064817,-0.049873177
3.02,-0.8727806,-1.2827674,-0.048650797
3.04,-0.75029796,-1.3018366,-0.067475475
3.06,-0.55936193,-1.0610274,0.0682089
3.08,-0.5336919,-0.75323164,0.23445283
3.1,-0.40191913,-0.7427192,0.32319775
3.12,-0.5549613,-0.8615347,0.186291
3.14,-0.41805458,-0.87669224,0.06356385
3.16,-0.25009933,-0.9563915,0.016868869
3.18,-0.8192403,-1.3238395,-0.1831128
3.2,-1.4147847,-1.7572961,-0.5339364
3.22,-1.2519635,-1.6511934,-0.90676284
3.24,-1.1839991,-1.4265196,-1.2431623
3.26,-1.5169759,-0.74443054,-1.282523
3.28,-1.8020352,-0.035938025,-1.0676283
3.3,-1.3832473,0.38969532,-1.0766739
3.32,-1.1813098,0.48846376,-1.1945115
3.34,-1.1707973,0.5305137,-1.2737218
3.36,-1.1441494,0.53344744,-1.1512392
3.38,-0.87644774,0.6319714,-1.106011
3.4,-0.7828133,0.70898145,-1.1519727
3.42,-0.62096995,0.925832,-1.0360909
3.44,-0.5688965,1.0030866,-1.1407267
3.46,-0.59725577,0.76985604,-1.1893775
3.48,-0.69798,0.6177918,-1.1732421
3.5,-1.3189499,0.40167466,-1.2940134
3.52,-1.959967,0.18042356,-1.4964398
3.54,-2.9068239,-0.012957247,-1.743361
3.56,-3.545396,-0.44959202,-1.7216026
3.58,-3.554442,-0.6009229,-1.6076765
3.6,-2.8515723,-0.93683344,-1.2240932
3.62,-2.2313356,-0.85297805,-0.65128505
3.64,-1.3864255,-0.9082297,-0.14937505
3.66,-0.62292576,-0.9774165,0.26207867
3.68,-0.3887174,-0.96641505,0.47183937
3.7,-0.21489473,-1.0617608,0.65519667
3.72,0.0496287,-1.1839991,0.85248905
3.74,0.37918285,-1.174709,1.0334016
3.76,0.14815268,-0.9576139,1.0248449
3.78,-0.18971366,-0.8260856,0.75323164
3.8,-0.16453259,-0.8840265,0.33395472
3.82,-0.09070073,-1.1292363,0.020536015
3.84,-0.7226721,-1.0764294,-0.02151392
3.86,-2.2687407,-0.8634905,-1.018733
3.88,-2.7131987,-0.98206156,-1.758763
3.9,-2.729334,-0.935611,-1.9093604
3.917,-2.840571,-0.048650797,-1.7406718
3.937,-2.1237662,0.38553923,-1.4362986
3.957,-1.1030773,0.56840754,-1.1967118
3.977,-0.7718119,1.007976,-0.7060477
3.997,-0.765211,1.3064817,-0.7243835
4.017,-0.9678819,1.2644317,-1.0923204
4.037,-0.7485866,1.086453,-1.2742108
4.057,-0.9698377,0.85615623,-1.2111359
4.077,-1.0282676,0.89942855,-0.87106925
4.097,-1.4394768,0.9307215,-0.96177
4.117,-1.2368059,0.7285396,-1.1363261
4.137,-1.8548422,0.5131559,-1.3766464
4.157,-3.2864957,0.055007182,-1.866577
4.177,-3.8390124,-0.55789506,-1.8069248
4.197,-3.3434587,-0.8031049,-1.5152645
4.217,-2.2631178,-0.8737585,-1.0832747
4.237,-1.6091434,-0.78159094,-0.4175656
4.257,-0.83928734,-0.7659444,-0.057940897
4.277,-0.563518,-0.8556673,0.12370504
4.297,-0.11905999,-1.0280231,0.36573663
4.317,0.25890046,-1.240962,0.6146136
4.337,0.21416129,-1.3233505,0.95296884
4.357,0.11588179,-1.1861993,0.94270086
4.377,0.08972283,-0.9414785,0.73147327
4.387,-0.1334841,-0.8835376,0.5153562
4.4,-0.33297682,-0.93121046,0.3239312
4.42,-0.49897626,-0.9287657,0.043516792
4.44,-0.7578767,-0.7300064,-0.15548697
4.46,-1.613544,-0.7485866,-0.89380556
4.48,-2.2873209,-1.4746814,-1.7352933
4.5,-2.90169,-1.504263,-1.8832014
4.52,-4.049262,-0.86202365,-1.9193839
4.54,-3.0830915,-0.029826116,-1.8093696
4.56,-2.0856278,0.67915535,-1.3893591
4.58,-1.152706,1.416496,-1.0651835
4.6,-0.80970573,1.6582831,-0.82877487
4.62,-0.5151117,1.8387067,-0.60214525
4.64,-0.745164,1.8030132,-0.52000123
4.66,-0.8664242,1.4585459,-0.6412615
