# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
1.13, 0, 0.0521651, -0.116554, -0.00333099, -0.0725789, -0.105048, -0.0133698
1.15, 0, 0.0521651, -0.116768, -0.00317819, -0.066849, -0.0878587, -0.0229197
1.17, 0, 0.0517984, -0.116585, -0.00366715, -0.0401094, -0.0515692, -0.0210097
1.19, 0, 0.0516762, -0.11686, -0.00372826, -0.0401094, -0.0534792, -0.0229197
1.2, 0, 0.052104, -0.117165, -0.00348379, -0.0152798, -0.0630291, -0.00954986
1.226, 0, 0.0519818, -0.117104, -0.00378938, 0.0133698, -0.0362895, -0.00381994
1.246, 0, 0.0518596, -0.117135, -0.00397274, 0.0381994, -0.0439293, -0.00572991
1.266, 0, 0.0521651, -0.117165, -0.0041561, 0.0324695, -0.0286496, 0.00381994
1.286, 0, 0.0518596, -0.117318, -0.00394218, 0.0534792, -0.0515692, 0.0152798
1.306, 0, 0.0513706, -0.116921, -0.00403386, 0.064939, -0.0401094, 0.00954986
1.326, 0, 0.0517373, -0.116737, -0.00375882, 0.0458393, -0.064939, 0.0190997
1.346, 0, 0.0520735, -0.116554, -0.00381994, 0.0458393, -0.0878587, 0.00190997
1.366, 0, 0.051829, -0.116768, -0.00375882, 0.0496593, -0.0916786, 0
1.386, 0, 0.0521957, -0.116615, -0.00375882, 0.0515692, -0.122238, -0.00190997
1.406, 0, 0.0520429, -0.117165, -0.00375882, 0.0611191, -0.124148, 0.00572991
1.426, 0, 0.0521651, -0.117013, -0.00409498, 0.0572991, -0.114598, 0.0171897
1.446, 0, 0.0524096, -0.116951, -0.00388106, 0.0401094, -0.118418, 0.0210097
1.466, 0, 0.0524402, -0.117196, -0.00424778, 0.0534792, -0.103138, 0.0171897
1.486, 0, 0.0525013, -0.116982, -0.0041561, 0.0343795, -0.0840387, 0.0171897
1.506, 0, 0.0524096, -0.116829, -0.0040033, 0.0611191, -0.0592091, 0.0248296
1.526, 0, 0.0525319, -0.116737, -0.0038505, 0.0420194, -0.0401094, 0.0210097
1.546, 0, 0.0522568, -0.116799, -0.00378938, 0.0362895, -0.0171897, 0.0171897
1.566, 0, 0.0521651, -0.116676, -0.00372826, 0.0343795, -0.0248296, 0.0133698
1.586, 0, 0.0513095, -0.11686, -0.00388106, 0.0381994, -0.0362895, 0.0133698
1.606, 0, 0.0517373, -0.117135, -0.0041561, 0.0515692, -0.0515692, -0.00954986
1.626, 0, 0.0518596, -0.117257, -0.00372826, 0.0439293, -0.0897687, -0.00954986
1.646, 0, 0.051829, -0.116737, -0.00333099, 0.068759, -0.0859487, 0.00572991
1.666, 0, 0.0521957, -0.116737, -0.00397274, 0.00190997, -0.0840387, -0.0114598
1.676, 0, 0.0527458, -0.117196, -0.0036977, -0.0496593, -0.0954986, -0.0133698
1.69, 0, 0.052104, -0.117135, -0.0030254, -0.0171897, -0.0916786, 0.00763989
1.71, 0, 0.052104, -0.116524, -0.00354491, -0.00381994, -0.0725789, 0
1.73, 0, 0.0522874, -0.116524, -0.00391162, -0.0821288, -0.0897687, 0.00572991
1.75, 0, 0.0525319, -0.116768, -0.0038505, -0.0763989, -0.0496593, 0
1.77, 0, 0.0523485, -0.116799, -0.00366715, -0.0515692, -0.0229197, -0.00763989
1.79, 0, 0.0517679, -0.117013, -0.00336155, -0.0439293, -0.0248296, -0.0171897
1.81, 0, 0.0517067, -0.116951, -0.00363659, -0.0324695, -0.0190997, -0.0171897
1.83, 0, 0.0517679, -0.117043, -0.00363659, -0.0152798, -0.0592091, -0.0229197
1.85, 0, 0.0517984, -0.117257, -0.00345323, 0.0229197, -0.068759, -0.0229197
1.87, 0, 0.0522263, -0.11689, -0.00381994, 0.0630291, -0.0515692, -0.0190997
1.89, 0, 0.0522263, -0.116982, -0.00345323, 0.0916786, -0.0744889, -0.0133698
1.91, 0, 0.0522874, -0.116921, -0.00326987, 0.0993185, -0.0725789, -0.00763989
1.93, 0, 0.0519512, -0.116829, -0.00308651, 0.0630291, -0.0725789, -0.0114598
1.95, 0, 0.0520735, -0.116768, -0.0030254, 0.0152798, -0.0821288, -0.00381994
1.97, 0, 0.0519818, -0.116768, -0.00351435, 0.00572991, -0.066849, 0.00381994
1.99, 0, 0.0521651, -0.116676, -0.00345323, 0.00763989, -0.064939, 0.00954986
2.01, 0, 0.0519207, -0.116676, -0.00348379, 0, -0.0515692, -0.00190997
2.03, 0, 0.0520123, -0.117074, -0.00311707, -0.0381994, -0.0534792, -0.0114598
2.05, 0, 0.051829, -0.117288, -0.00305595, -0.0477493, -0.0439293, -0.0190997
