# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.0185536, 0.00191826, 0.00988658, 0.00856181, 0.00528107, 0.00266946, 0.00890108, 0.00826084, 0.00979274, 0.011775, 0.00412257, 0.0133312, 0.0117041, 0.00507543, 0.00650373, 0.00990075, 0.0119049, 0.0138362, 0.0092106, 0.0102053, 0.00888903, 0.0102779, 0.00826735, 0.00645742, 0.00398117, 0.005678, 0.00643681, 0.00746296, 0.00851311, 0.0140116, 0.0112069, 0.00998549, 0.0122674, 0.00789084, 0.0060903, 0.0055514, 0.00458309, 0.00595889, 0.00517707, 0.0058591, 0.00707336, 0.00583588, 0.00395481, 0.00515857, 0.0054677, 0.00453847, 0.00575256, 0.00614444, 0.00839845, 0.0085468
0.11, 0.0319375, 0.0177537, 0.00307635, 0.0069995, 0.00816413, 0.00372039, 0.00195729, 0.00952497, 0.0116134, 0.0148833, 0.0123876, 0.00883822, 0.010152, 0.00923304, 0.00979593, 0.00750153, 0.00665259, 0.00604835, 0.015812, 0.00913736, 0.00867917, 0.0109838, 0.0129331, 0.00995988, 0.00569685, 0.00621624, 0.00474375, 0.00918709, 0.00924402, 0.0116603, 0.0164749, 0.00973844, 0.00830104, 0.00977102, 0.00817016, 0.00514303, 0.00422407, 0.00456577, 0.0077379, 0.00644095, 0.00461181, 0.00547043, 0.00532909, 0.00393688, 0.00603425, 0.00624822, 0.00406618, 0.00428603, 0.00517493, 0.00666846, 0.00587771
0.12, 0.0319375, 0.0118323, 0.00210445, 0.00471255, 0.0137956, 0.00628957, 0.00376659, 0.00975036, 0.00692361, 0.0184391, 0.0126964, 0.00498682, 0.00787688, 0.00939697, 0.00699216, 0.0100119, 0.00789474, 0.00673394, 0.0143831, 0.00864596, 0.00616032, 0.00917882, 0.0101469, 0.00508575, 0.00804032, 0.00600806, 0.00484625, 0.00988729, 0.0107144, 0.016821, 0.0153079, 0.00916677, 0.0128276, 0.0114448, 0.00600439, 0.00489003, 0.00584038, 0.00565975, 0.00740995, 0.0053936, 0.00498742, 0.00554547, 0.0042344, 0.00503724, 0.00456612, 0.004491, 0.0032767, 0.00537107, 0.00548003, 0.00553966, 0.00480473
0.13, 0.0319375, 0.0224025, 0.00565382, 0.0094246, 0.00985471, 0.00544553, 0.00266863, 0.00795742, 0.00651924, 0.0169196, 0.013047, 0.00781147, 0.00684204, 0.00781656, 0.00898922, 0.00832492, 0.00516094, 0.0119446, 0.012942, 0.00615037, 0.0066469, 0.00984728, 0.0069248, 0.0044605, 0.00644439, 0.00553634, 0.00367822, 0.00963974, 0.00939614, 0.0113026, 0.0108143, 0.00729196, 0.00985448, 0.0131937, 0.00575066, 0.00616447, 0.00508112, 0.00315941, 0.00703406, 0.00828685, 0.00401536, 0.00710556, 0.0048179, 0.0045323, 0.00445101, 0.0046105, 0.00361219, 0.00675241, 0.00573833, 0.00553634, 0.00473497
0.14, 0.0319375, 0.0224095, 0.00575943, 0.00440294, 0.00381207, 0.0042446, 0.00449006, 0.0118712, 0.00579167, 0.00881317, 0.00935646, 0.00561067, 0.0122613, 0.0104194, 0.00934264, 0.00685495, 0.00556859, 0.0108936, 0.00957185, 0.0102542, 0.00686525, 0.0099397, 0.00941775, 0.00529139, 0.00497342, 0.00428603, 0.0056032, 0.0116459, 0.00942342, 0.0072064, 0.00750259, 0.00809235, 0.0092993, 0.00895142, 0.00581727, 0.00441173, 0.00472524, 0.0031164, 0.00592891, 0.00594988, 0.00472311, 0.00644391, 0.00508729, 0.00604077, 0.00516058, 0.00544825, 0.00477923, 0.00651261, 0.00489916, 0.00528261, 0.00402878
0.15, 0.0319375, 0.0190023, 0.00480734, 0.00360233, 0.00656164, 0.00296522, 0.00301633, 0.00771058, 0.00554511, 0.011726, 0.00903624, 0.00530004, 0.0144571, 0.00664359, 0.00664015, 0.0036939, 0.00275233, 0.00688028, 0.0119924, 0.00876603, 0.00535411, 0.0114643, 0.00693356, 0.00949959, 0.00673726, 0.00914622, 0.00692338, 0.00929564, 0.0102981, 0.00827976, 0.00928619, 0.00782803, 0.0131005, 0.00783028, 0.00656271, 0.00531498, 0.00468075, 0.00408125, 0.00521419, 0.00475704, 0.00495788, 0.00442205, 0.00601411, 0.00719066, 0.00500201, 0.00571427, 0.00330604, 0.00501387, 0.00478456, 0.00549236, 0.00372146
0.16, 0.0319375, 0.0118721, 0.0056978, 0.00448424, 0.00584761, 0.00276445, 0.00225159, 0.00516331, 0.00645007, 0.00898497, 0.0037515, 0.00480983, 0.00668847, 0.00456933, 0.00647506, 0.00885051, 0.00543486, 0.00527882, 0.00681493, 0.00477068, 0.00383428, 0.0100969, 0.00806669, 0.00973891, 0.00749005, 0.0066784, 0.00862551, 0.00737681, 0.0105579, 0.0122329, 0.0137254, 0.0143356, 0.0131466, 0.00910984, 0.00560273, 0.00474304, 0.00356752, 0.00536407, 0.00692456, 0.00382644, 0.00401037, 0.00660475, 0.00672044, 0.00538162, 0.00529803, 0.00630876, 0.00362038, 0.00389615, 0.00436283, 0.00537866, 0.0048739
0.17, 0.0319375, 0.0185003, 0.00565572, 0.0101871, 0.0101374, 0.00541458, 0.00210433, 0.00854089, 0.00731729, 0.00494946, 0.00646819, 0.00599467, 0.0122613, 0.0065884, 0.00522842, 0.00924792, 0.0142311, 0.00840413, 0.0127763, 0.00689532, 0.00310309, 0.00857528, 0.00867952, 0.00915106, 0.00546829, 0.00542478, 0.00587309, 0.00807485, 0.00886883, 0.00759523, 0.00761333, 0.016673, 0.0116324, 0.0130006, 0.00836323, 0.00658331, 0.00407104, 0.00398271, 0.00601695, 0.00531237, 0.00435962, 0.00603236, 0.00487224, 0.00522367, 0.00563509, 0.00652848, 0.00405644, 0.00371386, 0.0044611, 0.00550078, 0.00494733
0.18, 0.0319375, 0.0290603, 0.00612513, 0.010253, 0.00607667, 0.0055118, 0.00555306, 0.00482822, 0.00557772, 0.00737184, 0.00715823, 0.00775292, 0.0107173, 0.00486156, 0.00314955, 0.00447866, 0.0131651, 0.00763759, 0.0132205, 0.00801916, 0.00421113, 0.00638789, 0.00780367, 0.00678308, 0.0054613, 0.00811896, 0.0083449, 0.00815301, 0.0134111, 0.00922241, 0.00978613, 0.0127554, 0.0144139, 0.0125292, 0.00753726, 0.0067118, 0.00453456, 0.00539526, 0.00810146, 0.00584773, 0.00464503, 0.00480663, 0.00489371, 0.00852588, 0.00705904, 0.00803275, 0.00512014, 0.00382846, 0.00439998, 0.00489798, 0.004336
0.19, 0.0319375, 0.0312673, 0.00168361, 0.00512299, 0.00896288, 0.00386883, 0.00367751, 0.00475123, 0.00181701, 0.00304188, 0.00776038, 0.00569377, 0.0062891, 0.00432247, 0.0017293, 0.00381837, 0.00435511, 0.00586266, 0.00903423, 0.00712852, 0.00726131, 0.00852434, 0.00951789, 0.00779172, 0.0089077, 0.00878541, 0.00703844, 0.00844089, 0.00994418, 0.00941999, 0.0134168, 0.0100816, 0.00913547, 0.00706957, 0.00505752, 0.00429434, 0.0058738, 0.00539016, 0.00645173, 0.00667521, 0.00367585, 0.00450655, 0.00740924, 0.00837847, 0.00625107, 0.00677941, 0.00482324, 0.00542952, 0.00587783, 0.00542229, 0.00571107
