# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -2.00597, -2.11382, -1.42233, -0.835004, -1.54891, -1.3286, -1.5497, -1.52438, -1.51341, -1.47658, -1.44111, -1.28566, -2.08875, -2.12682, -1.84404, -1.9337, -2.52003, -2.807, -2.64683, -2.53192, -2.54995, -2.9332, -3.14212, -3.40268, -3.52993, -3.57424, -3.84375, -3.76288, -3.84109, -3.79139
0.34, 0.0319375, -1.12904, -0.94337, -1.55102, -2.1627, -1.45071, -1.37124, -1.84584, -0.832106, -0.975255, -0.74463, -0.963003, -1.29458, -1.58878, -1.69941, -1.98442, -1.91618, -1.80932, -2.138, -2.86376, -2.82172, -2.53743, -2.99053, -3.06588, -3.00399, -3.53934, -3.51782, -3.64784, -3.82852, -3.85571, -3.73593
0.36, 0.0319375, -0.983552, -1.34247, -1.39089, -1.72401, -1.56793, -1.48051, -1.51115, -0.986118, -0.655321, -0.579902, -1.24759, -1.14231, -1.20319, -1.68996, -2.20863, -2.23321, -1.99832, -1.93224, -2.6912, -2.64552, -2.74697, -2.94216, -3.01735, -3.26925, -3.37451, -3.32292, -3.34457, -3.11844, -3.47478, -3.6374
0.38, 0.0319375, -1.37741, -2.22208, -2.47034, -1.69858, -1.17488, -0.778943, -1.37828, -0.97595, -1.06584, -1.09092, -1.6837, -1.47448, -1.27338, -1.65628, -1.78493, -1.81391, -2.11919, -2.3364, -2.13408, -2.51335, -2.89039, -3.16681, -3.08639, -3.42233, -2.8821, -3.3379, -3.47142, -3.46617, -3.67314, -3.49516
0.4, 0.0319375, -0.582083, -1.70029, -1.30954, -1.33904, -1.01211, -1.32947, -1.05743, -1.23874, -1.11389, -0.961579, -1.35393, -1.01788, -1.10028, -1.43489, -1.49575, -2.20756, -1.9375, -2.11172, -2.39819, -2.15681, -2.52859, -3.08054, -2.96858, -2.97406, -3.16051, -3.46021, -3.587, -3.45803, -3.43715, -3.73582
0.42, 0.0319375, -0.722003, -1.12655, -1.17842, -1.2802, -1.12049, -1.14699, -1.48231, -1.27729, -1.11863, -0.960907, -1.15494, -0.878815, -1.27377, -1.33909, -1.93277, -1.85593, -1.83956, -1.75733, -2.00594, -2.44769, -2.52406, -2.94936, -2.83973, -3.15458, -3.05924, -3.72475, -3.28727, -3.37822, -3.65905, -3.33161
0.44, 0.0319375, -0.904622, -0.900498, -0.719307, -1.0305, -1.4395, -1.0755, -2.29576, -0.963884, -0.56407, -0.623992, -1.09097, -1.06151, -0.770008, -1.17796, -1.7775, -1.93923, -1.49535, -1.86757, -1.94086, -2.48697, -2.21518, -2.81325, -2.91706, -3.22473, -3.02218, -3.35264, -3.41763, -3.32471, -3.44756, -3.33698
0.46, 0.0319375, -1.56316, -1.39729, -1.97481, -1.50826, -1.46847, -1.52044, -0.948577, -1.21156, -0.290295, -0.54768, -0.89553, -1.37932, -1.36464, -1.47236, -1.81741, -1.74126, -1.62463, -1.86243, -1.9802, -2.40502, -2.85535, -2.56851, -2.45016, -2.63507, -2.62734, -2.88236, -3.36508, -3.56372, -3.22726, -3.14108
0.48, 0.0319375, -0.611595, -1.00385, -1.12337, -1.25218, -0.934523, -1.28067, -0.869307, -0.511123, -0.632572, -0.858491, -0.744044, -1.09288, -1.19702, -1.34166, -1.52371, -1.64257, -1.86084, -1.70731, -2.21704, -2.81742, -2.83838, -2.53417, -2.9151, -3.01508, -3.00664, -2.9339, -3.11514, -3.33946, -3.75302, -3.16223
0.5, 0.0319375, -0.754181, -0.934982, -1.68158, -0.829627, -1.1637, -0.791591, -1.11262, -0.822461, -0.594107, -0.988707, -0.91309, -0.977199, -1.62577, -0.998617, -1.63183, -2.08414, -1.94286, -1.80211, -1.98097, -2.22608, -2.40863, -2.49614, -2.58696, -2.85221, -2.9005, -3.14535, -3.3815, -3.11824, -3.43805, -3.63956
0.52, 0.0319375, -0.425904, -1.2892, -1.23695, -1.38769, -1.03371, -0.398532, -0.857608, -1.23478, -0.702656, -0.516067, -0.623846, -1.62202, -0.823059, -0.913689, -1.57714, -2.26594, -1.78233, -1.64718, -1.90318, -2.74667, -2.66898, -2.51603, -2.47285, -2.61349, -3.13842, -2.98829, -3.22121, -3.11837, -3.11181, -3.24301
0.54, 0.0319375, -0.523414, -1.18712, -1.52011, -1.6247, -0.622565, -0.909049, -1.05182, -0.881714, -0.629993, -0.48842, -0.532172, -0.446066, -0.952206, -1.62778, -1.74772, -1.74651, -1.5157, -1.7832, -2.17971, -2.36562, -2.14557, -2.30383, -2.20869, -2.52822, -2.66236, -3.09766, -3.18408, -3.11875, -3.24431, -3.01578
0.56, 0.0319375, -0.0275027, -0.805307, -0.905907, -0.911291, -0.727708, -0.783619, -1.04566, -0.425912, -0.418106, -0.791539, -0.49305, -0.940365, -0.939808, -0.928507, -1.46511, -1.65212, -1.43686, -1.51476, -1.8666, -1.96108, -2.2107, -2.34983, -2.7429, -2.42607, -2.49273, -2.87115, -2.76489, -3.2634, -3.25812, -3.12927
