# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
0.0202131, 0, -0.012566, -0.119438, -0.0021045, -0.365312, -0.649688, 0.562187
0.0404262, 0, -0.0076555, -0.121024, -0.0012505, -0.382812, -0.378437, 0.312813
0.0606393, 0, -0.004026, -0.123281, -0.002989, -0.356562, 0.18375, 0.135625
0.0808524, 0, -0.001403, -0.126087, -0.002379, -0.330312, 0.798437, 0.02625
0.101066, 0, 0.0002135, -0.127246, -0.001525, -0.1225, 1.54656, -0.0021875
0.121279, 0, 9.15e-05, -0.122274, -0.0029585, 0.514063, 3.01875, 0.004375
0.141492, 0, -0.0010675, -0.119651, -0.003172, 0.46375, 3.6225, -0.0109375
0.161705, 0, -0.004026, -0.118889, -0.003355, 0.115938, 4.26781, -0.0525
0.181918, 0, -0.008906, -0.122122, -0.004026, -0.35, 4.88906, -0.04375
0.202131, 0, -0.014701, -0.125843, -0.006466, -0.62125, 5.2675, 0.039375
0.222344, 0, -0.018422, -0.129106, -0.0076555, -0.65625, 5.27406, 0.212187
0.242557, 0, -0.019459, -0.130448, -0.0058865, -0.4725, 4.96344, 0.483438
0.26277, 0, -0.0191235, -0.127398, -0.0047885, -0.0634375, 4.61562, 0.689062
0.282984, 0, -0.0192455, -0.122244, -0.0071065, 0.220938, 4.375, 0.573125
0.303197, 0, -0.01891, -0.119743, -0.00976, 0.091875, 4.02719, 0.286563
0.32341, 0, -0.0186355, -0.120017, -0.0104615, -0.0809375, 3.78, -0.0328125
0.343623, 0, -0.018544, -0.123769, -0.009089, -0.424375, 3.55687, -0.27125
0.363836, 0, -0.0191235, -0.126758, -0.0075945, -0.347813, 3.50656, -0.181562
0.384049, 0, -0.020984, -0.126575, -0.0072895, -0.0875, 3.38188, 0.0065625
0.404262, 0, -0.023119, -0.124532, -0.0063135, 0.282187, 2.7125, 0.476875
0.424475, 0, -0.020984, -0.123098, -0.0072285, 0.371875, 2.37562, 0.680313
0.444688, 0, -0.0196115, -0.121817, -0.0079605, 0.317187, 2.07375, 0.715312
0.464902, 0, -0.0196725, -0.121298, -0.0074725, 0.0853125, 1.75219, 0.56
0.485115, 0, -0.0216245, -0.122, -0.005978, -0.185937, 1.38906, 0.299688
0.505328, 0, -0.0238815, -0.123067, -0.0047885, -0.310625, 0.905625, 0.07
0.525541, 0, -0.0263215, -0.123464, -0.0050325, -0.312813, 0.492188, -0.0853125
0.545754, 0, -0.026535, -0.124104, -0.0045445, -0.23625, -0.004375, -0.225313
