# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
-0.644, 0, 0.0065703, -0.125814, 0.00152798, 0.490863, -0.257846, -0.192907
-0.624, 0, 0.00727317, -0.126578, 0.00195581, 0.437384, -0.148978, -0.118418
-0.604, 0, 0.00751765, -0.126944, 0.00213917, 0.500413, 0.0343795, -0.066849
-0.584, 0, 0.00767045, -0.127311, 0.00189469, 0.588271, 0.0783088, -0.0267396
-0.564, 0, 0.00754821, -0.126853, 0.00189469, 0.6704, 0.148978, -0.0267396
-0.544, 0, 0.00675366, -0.124897, 0.00229197, 0.742979, 0.385814, -0.101228
-0.524, 0, 0.00592855, -0.125386, 0.00070287, 0.0935886, 0.181447, 0.0515692
-0.504, 0, 0.00678422, -0.125875, 0.00281148, 0.559622, 0.572991, 0.0229197
-0.484, 0, 0.00516456, -0.124866, 0.00204749, 0.187177, 0.594001, -0.108868
-0.464, 0, 0.00476729, -0.123736, 0.00314763, 0.127968, 0.580631, -0.0935886
-0.444, 0, 0.00485897, -0.123827, 0.00351435, -0.070669, 0.467943, -0.00190997
-0.424, 0, 0.00476729, -0.123308, 0.00406442, -0.168077, 0.458393, -0.0267396
-0.404, 0, 0.00443113, -0.124775, 0.00293372, -0.261666, 0.399184, -0.0878587
-0.384, 0, 0.00424778, -0.124622, 0.00354491, -0.282676, 0.282676, -0.129878
-0.364, 0, 0.00464505, -0.126883, 0.00381994, -0.242566, 0.229197, -0.0897687
-0.344, 0, 0.00443113, -0.1278, 0.00330043, -0.234927, 0.181447, -0.0821288
-0.324, 0, 0.00614247, -0.127036, 0.00427834, -0.0725789, 0.00190997, -0.198637
-0.304, 0, 0.00568408, -0.126914, 0.00479785, 0.00763989, -0.114598, -0.198637
-0.284, 0, 0.00516456, -0.127219, 0.00525624, -0.0171897, -0.173807, -0.110778
-0.264, 0, 0.00510344, -0.1267, 0.00547016, 0.0725789, -0.265486, -0.0439293
-0.244, 0, 0.00437002, -0.126028, 0.00574519, 0.135608, -0.255936, -0.120328
-0.234, 0, 0.00446169, -0.126517, 0.00614247, 0.168077, -0.244476, -0.200547
-0.214, 0, 0.00495065, -0.126272, 0.00485897, 0.204367, -0.313235, -0.221557
-0.194, 0, 0.00540904, -0.125814, 0.00446169, 0.276946, -0.366715, -0.236836
-0.174, 0, 0.00608135, -0.1256, 0.00550072, 0.236836, -0.299866, -0.263576
-0.154, 0, 0.00638695, -0.127036, 0.00571463, 0.248296, -0.364805, -0.208187
-0.134, 0, 0.00635639, -0.126425, 0.00531736, 0.511872, -0.341885, -0.210097
-0.114, 0, 0.00727317, -0.123858, 0.00354491, 0.296046, -0.311325, -0.192907
-0.094, 0, 0.0080066, -0.127067, 0.00449225, 0.0267396, -0.141338, -0.139428
