# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
1.43365, 0, -0.002196, -0.12447, -0.008052, 0.23625, 0.100625, 0.0721875
1.44459, 0, -0.0007015, -0.124043, -0.007259, 0.161875, 0.124688, -0.0021875
1.45553, 0, -0.000671, -0.123067, -0.007808, 0.0875, 0.251563, 0.07875
1.48677, 0, -0.0012505, -0.125873, -0.0080825, -0.21875, 0.30625, 0.105
1.51801, 0, -0.0012505, -0.126484, -0.009333, -0.181562, 0.330312, 0.0984375
1.55534, 0, -0.0005795, -0.125019, -0.010248, -0.0328125, 0.330312, 0.111562
1.56059, 0, -0.0016775, -0.125599, -0.0100345, -0.091875, 0.34125, 0.11375
1.56584, 0, -0.0021655, -0.125446, -0.010431, -0.021875, 0.345625, 0.0853125
1.57109, 0, -0.0015555, -0.125599, -0.0095465, 0.0546875, 0.330312, 0.09625
1.60231, 0, -0.0030805, -0.125843, -0.0087535, 0.129063, 0.330312, 0.0590625
1.67111, 0, -0.0028975, -0.124532, -0.008235, 0.179375, 0.269062, 0.0021875
1.68153, 0, -0.0034465, -0.125385, -0.00854, 0.0371875, 0.212187, 0.0284375
1.69195, 0, -0.004331, -0.123769, -0.008845, 0.129063, 0.115938, 0.0459375
1.70237, 0, -0.0044225, -0.123403, -0.008418, 0.0634375, 0.0153125, 0.02625
1.71279, 0, -0.0046665, -0.124775, -0.0082655, -0.164062, -0.056875, 0.0546875
1.7232, 0, -0.003538, -0.125385, -0.0088145, -0.135625, -0.181562, 0.129063
1.73362, 0, -0.0035075, -0.125751, -0.0086315, -0.100625, -0.18375, 0.065625
1.76014, 0, -0.003172, -0.125751, -0.009638, -0.00875, -0.16625, 0.0590625
1.78666, 0, -0.002501, -0.124775, -0.0091805, 0.102812, -0.168437, 0.0590625
1.81781, 0, -0.003599, -0.124348, -0.008662, 0.056875, -0.126875, 0.0284375
1.8554, 0, -0.003599, -0.124959, -0.008967, -0.013125, -0.083125, 0.0240625
1.87104, 0, -0.002928, -0.124104, -0.0087535, 0.048125, -0.074375, 0.065625
1.88141, 0, -0.0027145, -0.123372, -0.008479, 0.030625, -0.074375, 0.0721875
1.89178, 0, -0.0026535, -0.126087, -0.008235, -0.164062, -0.0196875, 0.0284375
1.90215, 0, -0.0023485, -0.127276, -0.0081435, -0.126875, 0.100625, 0.00875
1.93351, 0, -0.0024095, -0.126727, -0.008113, -0.083125, 0.155312, -0.09625
1.95227, 0, -0.003965, -0.123952, -0.0061915, -0.030625, 0.0853125, -0.126875
1.97104, 0, -0.002318, -0.119255, -0.0065575, -0.04375, -0.0065625, 0.378437
1.98667, 0, -0.003965, -0.123128, -0.0073505, -0.5425, -0.00875, 0.564375
2.00229, 0, -0.00305, -0.125446, -0.008357, -0.695625, -0.0415625, 0.487812
2.03353, 0, -0.002623, -0.127764, -0.010187, -0.730625, 0.0546875, 0.483438
2.0512, 0, -0.0022875, -0.126239, -0.0111325, -0.492188, 0.207813, 0.387188
2.06887, 0, -0.002318, -0.1263, -0.011712, -0.6825, 0.352188, 0.23625
2.08655, 0, -0.001464, -0.127581, -0.0116815, -0.774375, 0.485625, 0.107188
2.10219, 0, -0.0027755, -0.127002, -0.0108885, -0.49, 0.518438, 0.0328125
2.11783, 0, -0.0053985, -0.126667, -0.0096075, -0.216562, 0.354375, -0.035
2.15568, 0, -0.006588, -0.125446, -0.007686, 0.0721875, 0.14, -0.091875
2.16344, 0, -0.0069845, -0.123098, -0.0066185, 0.249375, -0.030625, -0.07
2.1712, 0, -0.0067405, -0.121939, -0.006832, 0.155312, -0.175, -0.0196875
