Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1201,1202,0,1171,1172,0
0.009,1207,1202,0,1175,1172,0
0.019,1199,1202,0,1174,1172,0
0.028,1200,1202,0,1172,1172,0
0.037,1201,1202,0,1166,1172,0
0.048,1208,1202,0,1174,1172,0
0.06,1205,1202,0,1170,1172,0
0.071,1208,1202,0,1174,1172,0
0.084,1200,1202,0,1175,1172,0
0.094,1200,1202,0,1167,1172,0
0.107,1206,1202,0,1170,1172,0
0.119,1202,1202,0,1170,1172,0
0.13,1206,1202,0,1174,1172,0
0.14,1206,1202,0,1178,1172,0
0.151,1218,1202,0,1172,1172,0
0.162,1220,1202,0,1167,1172,0
0.173,1239,1202,0,1182,1172,0
0.184,1268,1202,66,1174,1172,0
0.192,1376,1202,174,1177,1172,0
0.201,1429,1202,227,1171,1172,0
0.211,1446,1202,244,1170,1172,0
0.222,1453,1202,251,1183,1172,0
0.233,1450,1202,248,1168,1172,0
0.245,1459,1202,257,1173,1172,0
0.254,1459,1202,257,1176,1172,0
0.265,1457,1202,255,1175,1172,0
0.277,1456,1202,254,1179,1172,0
0.29,1460,1202,258,1178,1172,0
0.303,1464,1202,262,1170,1172,0
0.314,1456,1202,254,1178,1172,0
0.326,1453,1202,251,1169,1172,0
0.339,1449,1202,247,1172,1172,0
0.351,1434,1202,232,1174,1172,0
0.363,1393,1202,191,1170,1172,0
0.375,1289,1202,87,1170,1172,0
0.385,1244,1202,42,1173,1172,0
0.397,1226,1202,0,1172,1172,0
0.408,1217,1202,0,1174,1172,0
0.416,1210,1203,0,1176,1172,0
0.426,1213,1203,0,1171,1172,0
0.437,1209,1203,0,1171,1172,0
0.448,1205,1203,0,1174,1172,0
0.458,1209,1203,0,1178,1172,0
0.467,1204,1203,0,1176,1172,0
0.476,1211,1203,0,1176,1172,0
0.486,1204,1203,0,1176,1172,0
0.497,1206,1203,0,1173,1172,0
0.509,1207,1203,0,1171,1172,0
0.521,1207,1203,0,1176,1172,0
0.531,1208,1203,0,1171,1172,0
0.54,1207,1203,0,1173,1172,0
0.55,1205,1203,0,1174,1172,0
0.559,1204,1203,0,1174,1172,0
0.568,1209,1203,0,1167,1172,0
0.576,1203,1203,0,1174,1172,0
0.586,1205,1203,0,1172,1172,0
0.599,1206,1203,0,1171,1172,0
0.608,1208,1203,0,1171,1172,0
0.619,1206,1203,0,1172,1172,0
0.631,1204,1203,0,1180,1172,0
0.642,1212,1203,0,1170,1172,0
0.655,1205,1203,0,1172,1172,0
0.666,1210,1203,0,1172,1172,0
0.679,1211,1203,0,1168,1172,0
0.688,1209,1203,0,1173,1172,0
0.699,1208,1203,0,1170,1172,0
0.711,1208,1203,0,1172,1172,0
0.721,1205,1203,0,1175,1172,0
0.733,1215,1203,0,1180,1172,0
0.747,1213,1203,0,1173,1172,0
0.759,1207,1203,0,1175,1172,0
0.77,1212,1203,0,1178,1172,0
0.783,1211,1203,0,1170,1172,0
0.796,1207,1203,0,1172,1172,0
0.806,1211,1203,0,1175,1172,0
0.818,1212,1203,0,1170,1172,0
0.829,1211,1203,0,1172,1172,0
0.841,1208,1203,0,1173,1172,0
0.852,1210,1203,0,1177,1172,0
0.863,1210,1203,0,1172,1172,0
0.874,1212,1203,0,1174,1172,0
0.884,1215,1203,0,1172,1172,0
0.893,1207,1203,0,1168,1172,0
0.904,1211,1203,0,1175,1172,0
0.912,1227,1203,0,1168,1172,0
0.921,1216,1203,0,1180,1172,0
0.931,1218,1203,0,1169,1172,0
0.942,1219,1204,0,1173,1172,0
0.951,1228,1204,0,1179,1172,0
0.959,1235,1204,0,1171,1172,0
0.966,1243,1204,0,1168,1172,0
0.974,1257,1204,53,1176,1172,0
0.982,1278,1204,74,1170,1172,0
