Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
0.616,0.1217492297,-0.8128839135,0.6111909151,0.244476363,-1.9710906744,0.8862268328
0.636,0.1263942718,-0.8128839135,0.6126577854,0.1375179588,-1.4821379184,0.6417504549
0.656,0.1300614178,-0.8116615414,0.6136356592,0.3208752274,-1.2682211399,1.0695841312
0.676,0.1263942718,-0.8082388639,0.6050789952,0.4125538468,-1.5585367679,0.8709470629
0.6959999999,0.1219937056,-0.8111725449,0.6048344969,-0.2903156876,-1.4821379184,0.5500718355
0.7059999999,0.1241939887,-0.816306591,0.6001894474,-0.1375179588,-1.4515783786,0.6570302248
0.7259999999,0.1266387552,-0.8167955279,0.5943220257,0.6570302248,-1.0543043613,1.0390245914
0.7459999999,0.1386180967,-0.8119059801,0.601411879,0.626470685,1.1154234409,2.2461266517
0.766,0.1483971476,-0.8202182054,0.6248815655,-0.8251076936,3.3768298625,2.1391682624
0.786,0.1305503845,-0.8356202244,0.6620419621,-4.8436880111,2.3836445808,1.2835009098
0.806,0.1146594136,-0.8720471858,0.6862451434,-10.8639183044,0.2750359177,1.9558109045
0.8259999999,0.0938789248,-0.9373223781,0.6896678209,-15.0658559799,-0.7334290742,4.0338602066
0.8459999999,0.1080585494,-0.9735049009,0.7089814543,-16.3799171447,-2.3072457313,6.7536597251
0.866,0.1329951435,-0.977172017,0.7009137272,-15.6312074661,-1.7418941259,9.6109771728
0.8859999999,0.141307339,-0.9581028819,0.6745103001,-13.0489253997,-1.5890963077,11.1083946228
0.906,0.1435076296,-0.9312104582,0.6517739892,-10.8639183044,-3.0712342262,10.7416801452
0.9259999999,0.1261498034,-0.9084741473,0.6373499035,-11.6279067993,-5.5465574264,9.4123401641
0.9459999999,0.1075695976,-0.8918497562,0.6114353537,-13.3850812911,-7.7468447685,8.984506607
0.966,0.1046358793,-0.8762032985,0.5884546041,-14.5463438034,-8.235797882,9.3970603942
0.9859999999,0.1046358793,-0.8627570867,0.5784310698,-15.7992849349,-8.1288394927,9.427619934
1.006,0.0982794985,-0.8490663766,0.5644959211,-14.5616235733,-8.54139328,9.6262569427
1.026,0.1014576926,-0.8331754207,0.5456712245,-14.0268316268,-9.7484951019,9.137304306
1.046,0.1063472181,-0.8231518864,0.5383369326,-14.4088258743,-10.2221679687,8.2052383422
1.066,0.1017021685,-0.826085627,0.5275799632,-14.0879507064,-10.4972038269,7.1814932823
1.086,0.0885004401,-0.8202182054,0.5087553262,-13.996272087,-11.5362281799,6.4480638504
1.106,0.0885004401,-0.8148397207,0.4865079522,-14.149069786,-12.5752525329,6.646700859
1.1259999999,0.0909452065,-0.802126944,0.4659719467,-12.6669311523,-13.1711635589,7.5940470695
1.1459999999,0.0845888182,-0.776456952,0.4420132637,-9.427619934,-13.6601171493,9.1984233856
1.1659999999,0.0814106315,-0.7441860437,0.4385905861,-8.7705898284,-13.8129148483,9.0609054565
1.1859999999,0.0875225365,-0.7077590823,0.4464138448,-6.921737194,-11.6279067993,8.3427562713
1.1959999999,0.0929010212,-0.6833114027,0.4571707844,-5.3632001876,-8.9233875274,7.823243618
1.2159999999,0.0911896824,-0.6625309586,0.4571707844,-3.3615500926,-6.4633436203,6.8147788047
