Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1177,1175,0,1192,1193,0
0.014,1172,1175,0,1194,1193,0
0.029,1175,1175,0,1186,1193,0
0.044,1175,1175,0,1193,1193,0
0.056,1179,1175,0,1190,1193,0
0.07,1176,1175,0,1200,1193,0
0.083,1174,1175,0,1196,1193,0
0.096,1174,1175,0,1199,1193,0
0.108,1177,1175,0,1196,1193,0
0.122,1174,1175,0,1197,1193,0
0.134,1174,1175,0,1189,1193,0
0.146,1173,1175,0,1193,1193,0
0.157,1177,1175,0,1200,1193,0
0.169,1173,1175,0,1194,1193,0
0.181,1175,1175,0,1193,1193,0
0.196,1174,1175,0,1191,1193,0
0.208,1176,1175,0,1189,1193,0
0.221,1177,1175,0,1188,1193,0
0.233,1174,1175,0,1202,1193,0
0.246,1175,1175,0,1190,1193,0
0.259,1174,1175,0,1194,1193,0
0.272,1180,1175,0,1198,1193,0
0.285,1174,1175,0,1194,1193,0
0.298,1172,1175,0,1188,1193,0
0.311,1176,1175,0,1196,1193,0
0.324,1173,1175,0,1191,1193,0
0.338,1174,1175,0,1191,1193,0
0.352,1175,1175,0,1192,1193,0
0.364,1175,1175,0,1192,1193,0
0.379,1177,1175,0,1192,1193,0
0.391,1176,1175,0,1194,1193,0
0.404,1180,1175,0,1195,1193,0
0.416,1177,1175,0,1194,1193,0
0.429,1173,1175,0,1188,1193,0
0.442,1177,1175,0,1193,1193,0
0.453,1177,1175,0,1193,1193,0
0.465,1177,1175,0,1190,1193,0
0.476,1175,1175,0,1196,1193,0
0.488,1178,1175,0,1187,1193,0
0.5,1174,1175,0,1195,1193,0
0.513,1175,1175,0,1197,1193,0
0.527,1178,1175,0,1191,1193,0
0.539,1184,1175,0,1196,1193,0
0.552,1174,1175,0,1193,1193,0
0.567,1178,1175,0,1196,1193,0
0.58,1174,1175,0,1196,1193,0
0.593,1174,1175,0,1191,1193,0
0.606,1180,1175,0,1194,1193,0
0.619,1178,1175,0,1189,1193,0
0.633,1173,1175,0,1196,1193,0
0.645,1175,1175,0,1194,1193,0
0.658,1176,1175,0,1194,1193,0
0.671,1184,1175,0,1201,1193,0
0.684,1175,1175,0,1191,1193,0
0.695,1177,1175,0,1185,1193,0
0.706,1174,1175,0,1191,1193,0
0.718,1175,1175,0,1189,1193,0
0.731,1176,1175,0,1192,1193,0
0.742,1177,1175,0,1188,1193,0
0.753,1170,1175,0,1193,1193,0
0.765,1174,1175,0,1193,1193,0
0.777,1173,1175,0,1193,1193,0
0.789,1179,1175,0,1192,1193,0
0.8,1178,1175,0,1201,1193,0
0.812,1175,1175,0,1197,1193,0
0.824,1181,1175,0,1192,1193,0
0.836,1174,1175,0,1195,1193,0
0.849,1173,1175,0,1198,1193,0
0.863,1176,1175,0,1192,1193,0
0.877,1183,1175,0,1193,1193,0
0.893,1176,1175,0,1199,1193,0
0.907,1184,1175,0,1199,1193,0
0.921,1176,1175,0,1194,1193,0
0.935,1174,1175,0,1193,1193,0
0.947,1183,1175,0,1188,1193,0
0.96,1180,1175,0,1194,1193,0
0.972,1179,1175,0,1194,1193,0
0.986,1177,1175,0,1193,1193,0
0.999,1177,1175,0,1201,1193,0
1.01,1185,1175,0,1195,1193,0
1.023,1178,1175,0,1194,1193,0
1.037,1183,1175,0,1198,1193,0
1.051,1191,1175,0,1191,1193,0
1.064,1184,1175,0,1199,1193,0
1.078,1184,1175,0,1200,1193,0
1.091,1193,1175,0,1197,1193,0
