# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
6.91, 0.0319376, -1.84092, -2.04594, -1.39, -1.5811, -1.5683, -1.04149, -0.601234, -0.0998496, -1.11231, -1.26414, -0.740153, -0.490948, -0.539871, -0.763623, -0.762309, -0.641406, -0.49873, -0.679489, -0.877322, -1.00713
6.92, 0.0319376, -1.89714, -1.77173, -1.47197, -1.37265, -1.35615, -0.736545, -0.640424, 0.16198, -0.845316, -1.36626, -0.540903, -0.539193, -0.687988, -0.853446, -0.926507, -0.687235, -0.444587, -0.198192, -0.710487, -0.878562
6.93, 0.0319376, -1.78416, -1.91341, -1.42178, -1.24168, -1.64899, -0.778498, -0.598553, -0.564825, -1.01014, -0.613383, -0.300646, -0.389825, -0.745958, -0.972337, -0.872895, -0.905976, -0.568603, -0.527975, -1.08169, -1.32759
6.94, 0.0319376, -1.57707, -1.81324, -1.39541, -1.67948, -1.18772, -1.27141, -0.854468, -0.831488, -0.787014, -0.455214, -0.388405, -0.210195, -0.634485, -0.886779, -0.678816, -0.687363, -0.536634, -0.460568, -0.744725, -1.14454
6.95, 0.0319376, -1.2849, -1.08516, -0.793957, -0.785976, -0.622895, -0.469016, -1.03368, -0.829439, -0.766169, -0.544279, -0.100237, -0.247997, -0.388851, -0.732865, -0.430467, -0.169582, -0.0366261, -0.0114367, -0.263916, -0.644148
6.96, 0.0319376, -1.02126, -1.03669, -0.733404, -0.937754, -0.849246, -0.652314, -0.809648, -0.42606, -0.615139, -0.363123, -0.223769, 0.0399675, -0.42289, -0.552596, -0.765944, -0.394479, -0.180232, -0.14446, -0.439669, -0.742229
6.97, 0.0319376, -1.19755, -2.38625, -1.22462, -1.08078, -1.29269, -1.08443, -0.581892, -0.821598, -0.898192, -0.865958, -0.343697, -0.515022, -0.501172, -0.55887, -0.273014, -0.36246, -0.257856, -0.305069, -0.48765, -0.764397
6.98, 0.0319376, -0.693263, -1.30835, -1.00757, -0.994459, -1.53405, -1.10239, -0.541708, -0.646093, -0.752101, -0.838457, -0.547855, -0.431353, -0.464937, -0.611988, -0.60715, -0.654429, -0.485719, -0.239253, -0.383441, -0.972128
6.99, 0.0319376, -0.885122, -1.17017, -0.435553, -0.346036, -0.93472, -0.830347, -0.710535, -0.0553835, -0.630414, -0.698492, -0.40749, -0.458315, -0.546844, -0.830749, -0.987167, -0.690401, -0.602149, -0.612959, -0.682806, -1.08438
7, 0.0319376, -1.43047, -1.41703, -0.354535, -0.428443, -0.978925, -0.865508, -0.88356, -0.16807, -0.662085, -0.873087, -0.696777, -0.499642, -0.463122, -0.868375, -0.674396, -0.821183, -0.556951, -0.546591, -1.00336, -1.20287
