# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.00510555, 0.00448044, 0.00315121, 0.00133913, 0.000632682, 0.00149889, 0.00401477, 0.00248933, 0.00242345, 0.00375519, 0.00439096, 0.00358843, 0.00201428, 0.00186615, 0.00324319, 0.00180522, 0.00256281, 0.00168039, 0.00276136, 0.00218855, 0.00335416, 0.00344077, 0.00318175, 0.00395671, 0.00338054, 0.00282056, 0.00300302, 0.00334501, 0.00435357, 0.00439784, 0.00527633, 0.00562916, 0.00262999, 0.00294395, 0.0030086, 0.0035503, 0.00360791, 0.00274377, 0.0037882, 0.00273699, 0.00326149, 0.00359924, 0.00288986, 0.00394198, 0.00523055, 0.00607418, 0.00664975, 0.00566378, 0.00681623, 0.00808372
0.11, 0.0319375, 0.0039687, 0.00264961, 0.00227145, 0.00152305, 0.000839477, 0.00131294, 0.00324046, 0.00318508, 0.00313078, 0.00177298, 0.00402213, 0.00286859, 0.00389175, 0.00220199, 0.00286431, 0.000817203, 0.00237243, 0.00210992, 0.00264473, 0.00320505, 0.00402035, 0.00556551, 0.00260455, 0.00421362, 0.00284232, 0.00258861, 0.00297116, 0.00219569, 0.00271916, 0.00327812, 0.00452803, 0.00408968, 0.00299232, 0.00458392, 0.00404053, 0.00435606, 0.00365993, 0.00338291, 0.00410049, 0.00329654, 0.00354792, 0.0037711, 0.00409087, 0.00345835, 0.0058706, 0.00715349, 0.00523209, 0.00465975, 0.00551168, 0.00660333
0.12, 0.0319375, 0.00490937, 0.00100205, 0.00341369, 0.00266768, 0.00162636, 0.00268385, 0.00425814, 0.00430645, 0.0014927, 0.00166861, 0.00266875, 0.00457752, 0.00397784, 0.00358213, 0.00211325, 0.00175263, 0.00130985, 0.00308158, 0.00166314, 0.00151519, 0.00264771, 0.00491767, 0.00420816, 0.00410666, 0.00337032, 0.00331911, 0.00233532, 0.00225171, 0.00293349, 0.00359841, 0.00413266, 0.00418774, 0.00327016, 0.00438846, 0.00411378, 0.00373773, 0.00291043, 0.00263142, 0.00393106, 0.00389306, 0.0031013, 0.00453183, 0.00370447, 0.00394543, 0.00568843, 0.00460267, 0.00460433, 0.00420709, 0.00524478, 0.0053687
0.13, 0.0319375, 0.00420567, 0.00248148, 0.00392761, 0.00476546, 0.00381587, 0.00252238, 0.00426585, 0.00532257, 0.00408125, 0.00228953, 0.00282211, 0.00306815, 0.00351799, 0.0026294, 0.00188066, 0.00174775, 0.00273129, 0.00285254, 0.00203629, 0.00204188, 0.0026206, 0.00297509, 0.00317201, 0.00352084, 0.00215846, 0.00231903, 0.00195253, 0.0020696, 0.0042814, 0.00482953, 0.00377858, 0.00344695, 0.00322097, 0.00496049, 0.00447344, 0.00213788, 0.0022366, 0.00236517, 0.0033045, 0.00297675, 0.00229822, 0.00303962, 0.00224541, 0.00320707, 0.00424437, 0.00466853, 0.00433933, 0.00477412, 0.00501233, 0.00552958
0.14, 0.0319375, 0.00281498, 0.0039649, 0.0054281, 0.00843935, 0.00510674, 0.00286692, 0.00375685, 0.00291685, 0.00271975, 0.00193242, 0.00137866, 0.00187495, 0.00210659, 0.00177928, 0.00180856, 0.000938928, 0.00289985, 0.00279073, 0.00175382, 0.00252131, 0.0033304, 0.00321645, 0.00237088, 0.00265971, 0.00263094, 0.00264759, 0.0024458, 0.0027238, 0.00417089, 0.00371421, 0.00372443, 0.00308217, 0.00255746, 0.00286276, 0.00340525, 0.0022906, 0.00298234, 0.00319423, 0.0032881, 0.00447546, 0.0021807, 0.00301062, 0.00304141, 0.00448875, 0.00516485, 0.00590094, 0.00605902, 0.00676105, 0.00500189, 0.00540379
0.15, 0.0319375, 0.003761, 0.00230737, 0.00564197, 0.00820764, 0.00394578, 0.00351846, 0.00267981, 0.0023151, 0.00265555, 0.00430965, 0.00331294, 0.00262524, 0.0023465, 0.00224053, 0.00118138, 0.00212229, 0.00257423, 0.00184925, 0.00252393, 0.00203034, 0.00327872, 0.00499797, 0.00413064, 0.00402142, 0.0025835, 0.00190422, 0.0031795, 0.00326363, 0.00548359, 0.0045437, 0.00334026, 0.00351751, 0.00233199, 0.00268528, 0.00400052, 0.00411758, 0.00378143, 0.00361219, 0.00319863, 0.00504661, 0.00235709, 0.00279477, 0.00327266, 0.00545525, 0.00501256, 0.00520968, 0.0052328, 0.00536277, 0.004552, 0.00556906
0.16, 0.0319375, 0.00533775, 0.000662465, 0.0044446, 0.00691177, 0.00559834, 0.000937975, 0.00265591, 0.00418264, 0.00521265, 0.00301657, 0.00266209, 0.00255187, 0.00243344, 0.00295631, 0.00224148, 0.00282365, 0.00137628, 0.00211563, 0.00180047, 0.002278, 0.0031164, 0.00385838, 0.00277575, 0.00401643, 0.00290068, 0.00295476, 0.00303962, 0.00216024, 0.00434004, 0.00441695, 0.00252631, 0.00349934, 0.00288452, 0.00267481, 0.00416804, 0.00404148, 0.00356574, 0.00420056, 0.00222162, 0.00399268, 0.00309596, 0.00293622, 0.0028019, 0.00432556, 0.00529328, 0.00525818, 0.00494377, 0.00339301, 0.00473058, 0.00491696
0.17, 0.0319375, 0.00799988, 0.00270394, 0.00361611, 0.0034694, 0.00128556, 0.0013314, 0.00167242, 0.00277741, 0.00333907, 0.000707972, 0.00128104, 0.00145842, 0.00220223, 0.00163814, 0.00131366, 0.00257458, 0.00244901, 0.0018765, 0.00141937, 0.00202867, 0.00197026, 0.00336296, 0.0011247, 0.00314658, 0.00294169, 0.00279084, 0.00262024, 0.00254272, 0.00404742, 0.00332315, 0.00360589, 0.00352381, 0.00507614, 0.00347843, 0.00330806, 0.00337709, 0.00269277, 0.00422086, 0.00268967, 0.00262357, 0.00308383, 0.00364532, 0.00274698, 0.00297604, 0.00308811, 0.00456517, 0.00528712, 0.00366243, 0.00425992, 0.00560439
0.18, 0.0319375, 0.00724344, 0.00335381, 0.00302572, 0.00388807, 0.00151567, 0.000571564, 0.00106254, 0.000914513, 0.00211004, 0.00123127, 0.00182819, 0.00148865, 0.00311426, 0.00210838, 0.00241334, 0.00199262, 0.00243558, 0.00224148, 0.00191624, 0.00288368, 0.00286288, 0.00263617, 0.00229703, 0.00578551, 0.00342842, 0.00380079, 0.00397155, 0.00276754, 0.00373048, 0.00420056, 0.00401584, 0.0042179, 0.00417896, 0.00381647, 0.00520375, 0.00489774, 0.00250146, 0.00210897, 0.00267279, 0.00343103, 0.00304497, 0.00294906, 0.00294252, 0.00260336, 0.00304759, 0.00462011, 0.00690905, 0.00471433, 0.00517375, 0.00604551
0.19, 0.0319375, 0.00385506, 0.00336343, 0.00322774, 0.00231047, 0.000957031, 0.00128211, 0.00087914, 0.00104516, 0.0011272, 0.00122734, 0.00270846, 0.0034896, 0.0031019, 0.00313684, 0.00289581, 0.00151876, 0.00219569, 0.0033866, 0.00190851, 0.00206472, 0.00260193, 0.00291411, 0.00423641, 0.00562122, 0.00351894, 0.00447949, 0.00237814, 0.00278668, 0.00288345, 0.00472809, 0.00442075, 0.00443772, 0.00416685, 0.0035604, 0.00420519, 0.00635093, 0.00424947, 0.00333052, 0.00245044, 0.00448317, 0.00483368, 0.00517683, 0.00315799, 0.00236137, 0.00384425, 0.00530917, 0.00479643, 0.00506013, 0.00479963, 0.00485029
