# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.137292, 0.0440208, 0.0211883, 0.1458, 0.22231, 0.0476946, 0.174565, 0.867913, 0.317163, 0.110328, 0.129678, 0.0448845, 0.19671, 0.0758862, 0.448743, 0.195591, 0.0710246, 0.0290495, 0.034523, 0.0168649, 0.033694, 0.0235863, 0.0164026, 0.0290038, 0.0270543, 0.0507945, 0.0837222, 0.0273303, 0.0285627, 0.0508989, 0.0597671, 0.0819335, 0.124367, 0.100827, 0.0381328, 0.00873424, 0.010879, 0.00569329, 0.00721125, 0.00569033, 0.00585709, 0.00775884, 0.0075595, 0.00804352, 0.00903707, 0.0133114, 0.0109752, 0.00872419, 0.0062737, 0.00732072
0.11, 0.0319375, 0.111865, 0.020705, 0.00742734, 0.118591, 0.102374, 0.0443002, 0.281016, 0.91171, 0.286429, 0.228321, 0.235377, 0.100292, 0.300666, 0.102939, 0.52197, 0.229667, 0.122542, 0.0486684, 0.0410626, 0.0195306, 0.0344882, 0.0336923, 0.0248781, 0.0289033, 0.0389537, 0.0585429, 0.0662884, 0.0526098, 0.0293516, 0.0471717, 0.0822457, 0.108917, 0.167482, 0.115498, 0.0546721, 0.0123038, 0.00910712, 0.00695593, 0.00792301, 0.00759239, 0.00756625, 0.00701489, 0.00840791, 0.0105217, 0.00946983, 0.0101689, 0.0131062, 0.00972769, 0.0067723, 0.00724853
0.12, 0.0319375, 0.0981033, 0.0115625, 0.0177739, 0.176147, 0.216249, 0.0550472, 0.344627, 0.676376, 0.168586, 0.349506, 0.244393, 0.15235, 0.232986, 0.143953, 0.463765, 0.139782, 0.162872, 0.0439632, 0.0524925, 0.0327222, 0.0332592, 0.0228164, 0.0317467, 0.0331064, 0.0275051, 0.0656189, 0.0944783, 0.0976547, 0.0595699, 0.0585684, 0.0832096, 0.115885, 0.189266, 0.098833, 0.0526914, 0.0156819, 0.00762599, 0.0065029, 0.007189, 0.00841926, 0.00576974, 0.00581431, 0.00876094, 0.0105732, 0.00991113, 0.00844775, 0.0100178, 0.00730096, 0.00532198, 0.00682156
0.13, 0.0319375, 0.0967652, 0.0100033, 0.029114, 0.218146, 0.152048, 0.0427383, 0.420814, 0.380603, 0.191915, 0.332596, 0.195375, 0.176745, 0.132097, 0.184095, 0.240658, 0.114835, 0.11113, 0.0713184, 0.0619282, 0.0540152, 0.04316, 0.0339043, 0.0264685, 0.0672364, 0.0587368, 0.063681, 0.125959, 0.0969877, 0.0766176, 0.0924378, 0.137982, 0.173133, 0.177162, 0.117353, 0.049398, 0.0140594, 0.00684867, 0.00521502, 0.00548465, 0.00646796, 0.0050606, 0.00578799, 0.00768088, 0.0112232, 0.00776735, 0.0104965, 0.0124506, 0.00756648, 0.00515608, 0.00412672
0.14, 0.0319375, 0.0778016, 0.0117666, 0.0342856, 0.163726, 0.0507838, 0.069104, 0.378682, 0.471669, 0.244821, 0.210548, 0.147115, 0.318253, 0.153159, 0.316427, 0.129744, 0.254071, 0.136261, 0.0615159, 0.0462099, 0.0386709, 0.0469698, 0.0376947, 0.0370393, 0.0665603, 0.0856608, 0.109459, 0.140928, 0.126129, 0.0927252, 0.0998312, 0.162398, 0.200716, 0.174404, 0.108451, 0.0468164, 0.0146425, 0.00455805, 0.00463732, 0.00370792, 0.00562359, 0.00740166, 0.00385732, 0.00629727, 0.00934429, 0.00777291, 0.00960621, 0.0109512, 0.00535909, 0.00384592, 0.00399031
0.15, 0.0319375, 0.0350164, 0.00984468, 0.0472928, 0.138521, 0.046512, 0.099389, 0.361118, 0.241654, 0.374496, 0.208718, 0.160259, 0.332218, 0.169703, 0.379552, 0.162414, 0.30493, 0.139796, 0.0569753, 0.0582591, 0.0357806, 0.0515182, 0.0382425, 0.0497583, 0.0462615, 0.0698613, 0.120699, 0.212736, 0.154685, 0.13188, 0.140202, 0.17225, 0.182669, 0.139512, 0.102079, 0.0453576, 0.0115773, 0.00648513, 0.00599313, 0.00454524, 0.0051977, 0.00666064, 0.00622998, 0.00599171, 0.00625273, 0.00842493, 0.00830896, 0.0092654, 0.00626197, 0.00591042, 0.00736356
0.16, 0.0319375, 0.0190085, 0.00677633, 0.0900519, 0.218035, 0.0640029, 0.155001, 0.343895, 0.185404, 0.565447, 0.410874, 0.226514, 0.186289, 0.190693, 0.190853, 0.228728, 0.164539, 0.232457, 0.126807, 0.0707692, 0.0732061, 0.0509489, 0.0404067, 0.0456436, 0.0910352, 0.0646944, 0.069208, 0.196549, 0.157974, 0.118997, 0.138676, 0.201029, 0.191335, 0.160463, 0.0854844, 0.0336439, 0.0088589, 0.00541541, 0.00762824, 0.00566117, 0.00439891, 0.00425873, 0.004416, 0.00497769, 0.00651438, 0.00747869, 0.00599183, 0.00679563, 0.0057842, 0.00516284, 0.00494519
0.17, 0.0319375, 0.00922312, 0.00484222, 0.115579, 0.183424, 0.0441841, 0.178095, 0.129468, 0.194399, 0.439706, 0.291557, 0.233231, 0.12645, 0.172056, 0.138359, 0.174744, 0.094379, 0.333093, 0.254678, 0.218263, 0.138883, 0.0662789, 0.0460178, 0.0320338, 0.0856774, 0.0790749, 0.101548, 0.180985, 0.230246, 0.18642, 0.153135, 0.18879, 0.174078, 0.192779, 0.119252, 0.0289298, 0.00936614, 0.00779078, 0.0078906, 0.00550113, 0.00486381, 0.00431226, 0.00406107, 0.00602477, 0.00880242, 0.00883208, 0.00718379, 0.0092843, 0.00913724, 0.00386598, 0.00606944
0.18, 0.0319375, 0.0260064, 0.0112815, 0.114401, 0.115621, 0.0463093, 0.213856, 0.141484, 0.288787, 0.28947, 0.198289, 0.140247, 0.0680137, 0.113539, 0.107997, 0.164783, 0.0919133, 0.217724, 0.284214, 0.234899, 0.187015, 0.0749283, 0.0613206, 0.0617395, 0.0567042, 0.0708766, 0.0780023, 0.165622, 0.258292, 0.218625, 0.201683, 0.24927, 0.286944, 0.301692, 0.155529, 0.0352711, 0.0123482, 0.00858722, 0.00498718, 0.00430467, 0.00527716, 0.00452589, 0.00482371, 0.00624195, 0.0073193, 0.0105891, 0.00886339, 0.0110614, 0.00965934, 0.00362442, 0.00478421
0.19, 0.0319375, 0.0337046, 0.00364853, 0.139094, 0.120215, 0.0545512, 0.275381, 0.182959, 0.44133, 0.282111, 0.131791, 0.075481, 0.0605737, 0.0772968, 0.061276, 0.0963098, 0.0939759, 0.0948862, 0.205664, 0.216772, 0.276275, 0.101099, 0.0639994, 0.0556015, 0.0339761, 0.0605698, 0.0694456, 0.130511, 0.339441, 0.190592, 0.167972, 0.229372, 0.252944, 0.294825, 0.190849, 0.0436895, 0.0138064, 0.00499952, 0.00466449, 0.00846512, 0.00815703, 0.00488718, 0.00465073, 0.00376789, 0.00833402, 0.0118702, 0.00746864, 0.0115137, 0.00943771, 0.00467766, 0.00584062
0.2, 0.0319375, 0.0386618, 0.0052213, 0.139515, 0.086417, 0.119872, 0.324648, 0.129401, 0.338804, 0.221762, 0.0933803, 0.0740618, 0.0618311, 0.0832393, 0.0317696, 0.0482702, 0.0788612, 0.122455, 0.0899633, 0.12428, 0.178711, 0.11888, 0.0859236, 0.0570953, 0.0442826, 0.0500443, 0.0698067, 0.102357, 0.381673, 0.19461, 0.100236, 0.126292, 0.156526, 0.224204, 0.205441, 0.0849575, 0.0269191, 0.00920457, 0.00551856, 0.00946747, 0.0117617, 0.00751395, 0.00499726, 0.00568333, 0.0118068, 0.0130071, 0.00939189, 0.00971955, 0.00722557, 0.0050007, 0.00694161
0.21, 0.0319375, 0.0302818, 0.0107079, 0.153886, 0.104664, 0.230915, 0.363984, 0.0649006, 0.161845, 0.0684779, 0.0754361, 0.124181, 0.0718562, 0.0637654, 0.0404516, 0.0294455, 0.0515603, 0.109478, 0.0886404, 0.089325, 0.132406, 0.0696019, 0.0928854, 0.105954, 0.0884404, 0.042996, 0.036087, 0.0652248, 0.287385, 0.177951, 0.105842, 0.124802, 0.147848, 0.193896, 0.269063, 0.141729, 0.0546822, 0.0194128, 0.0112518, 0.00962026, 0.0123028, 0.00573573, 0.00528, 0.00597797, 0.0127924, 0.0122953, 0.00819511, 0.00974965, 0.00625889, 0.00453325, 0.00742083
0.22, 0.0319375, 0.0345929, 0.034264, 0.178738, 0.121915, 0.343714, 0.385804, 0.0724253, 0.195724, 0.120727, 0.0743407, 0.0890456, 0.0656218, 0.0131467, 0.0208756, 0.0152696, 0.0285618, 0.066954, 0.0712911, 0.0606555, 0.0829496, 0.0657166, 0.0802307, 0.109424, 0.139046, 0.0684424, 0.0426279, 0.056289, 0.177587, 0.25472, 0.133715, 0.162262, 0.109139, 0.190301, 0.298084, 0.19924, 0.0891352, 0.030594, 0.0124436, 0.0144617, 0.0116645, 0.00633494, 0.00764551, 0.00627073, 0.0107438, 0.0118277, 0.00690349, 0.0128409, 0.00950714, 0.00497781, 0.00626754
0.23, 0.0319375, 0.0319736, 0.0446204, 0.170753, 0.0945586, 0.358563, 0.331273, 0.0589989, 0.256172, 0.176096, 0.050547, 0.0618864, 0.0362354, 0.0102628, 0.0269559, 0.0370445, 0.0216019, 0.0457438, 0.068334, 0.0773906, 0.0763856, 0.0637015, 0.036578, 0.0721236, 0.142619, 0.108392, 0.09501, 0.0894749, 0.243967, 0.248365, 0.153249, 0.129227, 0.137889, 0.188194, 0.217416, 0.141873, 0.0695378, 0.0244594, 0.0131014, 0.0128389, 0.0119062, 0.00898414, 0.0106886, 0.00803086, 0.013899, 0.0136016, 0.0112344, 0.0153373, 0.0113329, 0.00645268, 0.00914551
0.24, 0.0319375, 0.0254203, 0.0696224, 0.197482, 0.0860751, 0.308779, 0.205128, 0.0363053, 0.227068, 0.177812, 0.0273047, 0.033259, 0.0179583, 0.0256901, 0.0262492, 0.0347616, 0.034132, 0.0497188, 0.0412448, 0.0635723, 0.0701084, 0.0405934, 0.02232, 0.0423547, 0.104542, 0.11481, 0.0916084, 0.08938, 0.161953, 0.171133, 0.140934, 0.0887237, 0.0968743, 0.129649, 0.199602, 0.136612, 0.0737918, 0.0251548, 0.0186382, 0.0178064, 0.00998467, 0.0133728, 0.0326629, 0.0295673, 0.0325983, 0.0290487, 0.0248524, 0.0262605, 0.0153803, 0.0135326, 0.0251621
0.25, 0.0319375, 0.0372483, 0.117528, 0.233061, 0.119315, 0.25198, 0.14298, 0.0613118, 0.0789437, 0.0635221, 0.0182403, 0.025925, 0.0330836, 0.0424481, 0.0283296, 0.00988812, 0.03072, 0.0387498, 0.0231969, 0.0414068, 0.0648103, 0.035942, 0.0343642, 0.0427676, 0.0582658, 0.0676183, 0.0643383, 0.0702873, 0.171006, 0.134516, 0.0685437, 0.0763049, 0.0782662, 0.112401, 0.156676, 0.108022, 0.0480446, 0.021696, 0.0143383, 0.0135419, 0.00982001, 0.00809023, 0.0200675, 0.018134, 0.0174775, 0.0156644, 0.0124771, 0.0147633, 0.0107991, 0.0081568, 0.0125809
0.26, 0.0319375, 0.0266385, 0.0980375, 0.146023, 0.0944612, 0.198308, 0.082872, 0.0369079, 0.0771731, 0.0357642, 0.0506681, 0.0410283, 0.0300615, 0.0363188, 0.023305, 0.014299, 0.0291477, 0.0377821, 0.024479, 0.028092, 0.0618461, 0.0347699, 0.0164575, 0.0262067, 0.109033, 0.0930957, 0.0520688, 0.0792645, 0.122617, 0.057912, 0.0386456, 0.0639946, 0.0625826, 0.0591686, 0.110187, 0.0712476, 0.0229832, 0.0242683, 0.0199891, 0.0159752, 0.0134786, 0.0184633, 0.0344192, 0.0282543, 0.0128859, 0.0186706, 0.0253319, 0.0120462, 0.0102837, 0.00981906, 0.0106784
0.27, 0.0319375, 0.0833914, 0.0311119, 0.0955947, 0.0869301, 0.130447, 0.0570326, 0.0626009, 0.0415341, 0.0614407, 0.050419, 0.0270198, 0.0453656, 0.0349801, 0.0303153, 0.0292396, 0.025725, 0.0272077, 0.0196759, 0.036229, 0.0373148, 0.041578, 0.0374883, 0.0546481, 0.0800468, 0.0492445, 0.0442414, 0.0479741, 0.0750257, 0.0698172, 0.0382005, 0.0266967, 0.0358756, 0.046676, 0.0795438, 0.0534149, 0.021219, 0.0161586, 0.0179008, 0.0168001, 0.0147525, 0.0161881, 0.0278423, 0.0220604, 0.0121763, 0.0170475, 0.0237946, 0.00989013, 0.00938929, 0.011364, 0.00969523
0.28, 0.0319375, 0.127193, 0.103114, 0.0390026, 0.0853636, 0.0375933, 0.061854, 0.0621977, 0.0432102, 0.0851835, 0.0668802, 0.0328117, 0.063582, 0.0889708, 0.083103, 0.0656387, 0.0528367, 0.0289225, 0.0319416, 0.0415884, 0.0701263, 0.0711208, 0.0518731, 0.0543393, 0.0503694, 0.0307951, 0.0462357, 0.0742309, 0.0969061, 0.0439387, 0.0296784, 0.0163298, 0.0308282, 0.0396598, 0.0435553, 0.043205, 0.019998, 0.0124029, 0.01347, 0.0144445, 0.0100532, 0.0104259, 0.0165387, 0.0160663, 0.0165047, 0.0211651, 0.0229885, 0.0311482, 0.0373375, 0.0265232, 0.0189856
0.29, 0.0319375, 0.218119, 0.087933, 0.0588116, 0.109245, 0.0519364, 0.0642846, 0.121385, 0.0759178, 0.0982353, 0.097699, 0.0399889, 0.0497886, 0.0808097, 0.0720577, 0.0435143, 0.0356118, 0.0225181, 0.0244337, 0.034448, 0.0602638, 0.0771437, 0.0437961, 0.0496992, 0.0592686, 0.0421742, 0.0404581, 0.0549991, 0.051205, 0.0251482, 0.0152274, 0.0159929, 0.0189433, 0.0282336, 0.0318053, 0.0296257, 0.0244725, 0.0150563, 0.0120437, 0.0101262, 0.0113859, 0.0121491, 0.0128774, 0.0165344, 0.0193481, 0.0215055, 0.0233703, 0.0327841, 0.039944, 0.0273963, 0.0188062
