# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -0.671808, -0.43778, -0.629435, -0.655861, -0.517226, -0.969573, -0.995501, -1.16843, -1.41353, -1.88699, -1.51368, -1.74126, -1.46051, -1.49463, -1.72295, -1.5589, -1.84628, -2.07225, -2.13379, -2.33464
0.24, 0.0319375, -0.751681, -0.315768, -0.612016, -0.85386, -0.878743, -0.834803, -1.01625, -0.939705, -1.38426, -1.99457, -1.75227, -1.8097, -1.67795, -1.36145, -1.77609, -1.78125, -1.93425, -2.13458, -2.12768, -2.50582
0.25, 0.0319375, -0.773009, -0.648318, -0.78154, -0.356596, -0.478865, -0.69491, -1.49013, -0.998029, -1.40655, -1.5118, -1.83524, -1.76481, -1.72621, -1.93306, -1.85407, -1.69738, -1.77302, -1.92492, -2.22743, -2.52988
0.26, 0.0319375, -0.653664, -0.564638, -0.889935, -0.284702, -0.443653, -0.573447, -0.962989, -0.937677, -1.31907, -1.13353, -1.72397, -1.81748, -1.71114, -1.48116, -1.82994, -2.08751, -1.76813, -1.85284, -2.08728, -2.58128
0.27, 0.0319375, 0.117742, -0.375744, -0.455006, -0.965221, -0.88208, -1.0029, -0.582541, -0.672094, -1.13886, -0.753573, -2.06357, -1.91032, -1.71275, -1.57912, -1.91222, -1.96712, -1.95368, -1.96201, -2.241, -2.72148
0.28, 0.0319375, 0.0479834, -0.293141, -0.347807, -1.08361, -0.498715, -0.816512, -0.733988, -0.504734, -1.14107, -0.609405, -1.2951, -1.79943, -1.68942, -1.79957, -1.668, -1.95817, -1.91723, -1.94583, -2.24528, -2.6767
0.29, 0.0319375, 0.345824, 0.0317991, 0.0426572, -0.365428, -0.916629, -0.709993, -0.639599, -0.5527, -0.688721, -1.02041, -1.0277, -1.58877, -1.37565, -1.58807, -1.38586, -1.42749, -1.62615, -1.97854, -2.1166, -2.63831
0.3, 0.0319375, 0.401142, 0.129846, -0.00635379, -0.362546, -1.01284, -0.826897, -0.757865, -0.623251, -0.392901, -0.895871, -0.978034, -1.30463, -1.57234, -1.63209, -1.58537, -1.24053, -1.51012, -1.82185, -2.19038, -2.50068
0.31, 0.0319375, 0.635532, 0.538571, 0.0197045, -1.09837, -1.345, -1.23294, -0.58172, -0.734057, -0.809585, -0.810834, -0.739561, -1.39175, -1.4326, -1.74375, -1.89592, -1.22382, -1.49268, -1.74519, -2.03787, -2.40084
0.32, 0.0319375, 0.00750898, 0.886892, 0.485033, -0.993028, -0.856051, -0.75729, -1.14454, -1.03675, -0.798976, -0.855273, -0.752456, -1.71586, -1.5777, -1.67113, -1.57927, -1.46154, -1.51588, -1.86132, -2.03783, -2.38159
0.33, 0.0319375, -0.0654947, 0.684823, -0.0126036, -1.20148, -0.98349, -1.03702, -1.13813, -1.00457, -0.834952, -0.790923, -0.688712, -1.74664, -1.75191, -1.5298, -1.49564, -1.48547, -1.72431, -1.74461, -2.04689, -2.55161
0.34, 0.0319375, -0.0341653, 0.655911, -0.357592, -1.41755, -1.2219, -1.08089, -0.476328, -0.909719, -0.874619, -0.863342, -1.04905, -1.52569, -1.60732, -1.37585, -1.63114, -1.76215, -1.74732, -1.62524, -1.80148, -2.17759
0.35, 0.0319375, -0.111781, 0.863687, -0.176214, -0.59479, -1.05737, -0.910552, -0.512278, -0.916373, -0.969652, -0.73054, -1.3919, -2.12851, -1.70257, -1.24274, -1.53525, -1.71737, -1.568, -1.36487, -1.481, -1.92221
0.36, 0.0319375, 0.0747452, 0.39414, -0.488776, -0.503521, -0.993616, -1.2046, -0.895812, -0.71788, -0.778752, -0.907504, -1.47927, -1.83951, -1.5823, -1.16463, -1.50477, -1.42801, -1.62909, -1.63266, -1.82172, -2.05733
0.37, 0.0319375, -0.160179, 0.146566, -1.05974, -0.964676, -1.12334, -1.30091, -1.1831, -0.705242, -0.898011, -1.20732, -1.48511, -1.66348, -1.5144, -1.13695, -1.39164, -1.56169, -1.62565, -1.48738, -1.8942, -2.32953
0.38, 0.0319375, -0.202406, -0.578922, -1.06615, -1.15558, -1.00665, -1.50128, -1.47267, -1.49318, -1.08749, -0.959711, -1.42335, -1.86188, -1.55464, -1.52389, -1.66466, -1.70885, -1.71911, -1.67221, -1.95224, -2.44533
0.39, 0.0319375, -0.379476, -0.432672, -0.873138, -1.19742, -0.845906, -1.09313, -1.04232, -0.615485, -1.46716, -1.03122, -1.39207, -1.62279, -1.70502, -1.52388, -1.63306, -1.66298, -1.84658, -2.12959, -2.13585, -2.6031
0.4, 0.0319375, -0.270382, -0.717712, -0.810788, -1.22714, -0.533347, -0.980577, -1.0045, -0.498702, -1.04857, -0.776615, -1.40485, -1.60002, -1.52648, -1.46737, -1.2284, -1.4572, -1.79833, -2.22303, -2.28909, -2.7237
0.41, 0.0319375, -0.243591, -0.823092, -0.894069, -1.34042, -0.967724, -1.26841, -0.984731, -0.842189, -0.941642, -0.771253, -1.49431, -1.60787, -1.4402, -1.59609, -1.08448, -1.34108, -1.45956, -1.98631, -2.12385, -2.6092
0.42, 0.0319375, -0.216995, -0.538831, -1.04812, -1.06286, -1.09087, -1.53003, -1.33178, -0.894468, -0.940449, -0.708953, -1.21262, -1.59109, -1.28627, -1.62571, -1.10757, -1.50647, -1.50104, -2.06143, -2.26477, -2.53655
0.43, 0.0319375, -0.412266, -0.361236, -1.32223, -1.59383, -0.572591, -0.803822, -0.529176, -0.705262, -0.793566, -1.03234, -1.0488, -1.11579, -1.07575, -1.37291, -1.119, -1.57574, -1.66828, -2.03042, -2.07214, -2.49214
0.44, 0.0319375, -0.347957, -0.415668, -0.79466, -1.63737, -1.08918, -0.869575, -0.12056, -0.210942, -0.847911, -1.09288, -1.24899, -1.51367, -1.33999, -1.54139, -1.41403, -1.28552, -1.50933, -1.92117, -2.09655, -2.51377
0.45, 0.0319375, 0.156589, 0.18083, -0.984817, -1.10884, -0.971386, -0.981593, -0.319089, -0.36347, -0.750076, -1.08063, -1.09074, -1.40982, -1.46613, -1.49998, -1.52702, -1.69823, -1.57649, -2.00674, -2.05631, -2.30763
0.46, 0.0319375, -0.161569, 0.633013, -0.211035, -0.705918, -0.788979, -0.848598, -0.736078, -0.496798, -0.709249, -0.568538, -1.36065, -1.27778, -1.32406, -1.50063, -1.42871, -1.58728, -1.89487, -1.98575, -2.13591, -2.28573
0.47, 0.0319375, 0.136668, 0.304475, -0.720977, -1.08185, -0.756871, -0.69014, -1.21983, -0.803031, -0.766696, -0.946553, -1.43112, -1.29577, -1.31339, -1.71886, -1.47853, -1.45401, -1.46792, -1.835, -2.00627, -2.20467
0.48, 0.0319375, -0.136967, -0.0537296, -0.730482, -0.952151, -0.790579, -1.01591, -1.41136, -0.549474, -0.556649, -1.01223, -1.61713, -1.52571, -1.54075, -1.69625, -1.21527, -1.56337, -1.37314, -1.93531, -2.1833, -2.25775
0.49, 0.0319375, -0.222862, -0.288651, -0.722975, -0.609935, -0.611839, -1.20713, -1.28627, -1.01579, -0.799614, -1.29512, -1.44724, -1.4302, -1.21462, -1.64142, -1.58622, -1.65609, -1.47466, -1.78576, -2.20141, -2.37814
0.5, 0.0319375, -0.199182, -0.286, -0.460404, -0.744546, -0.740916, -1.25109, -1.38899, -0.966235, -0.909289, -1.18845, -1.42453, -1.48451, -1.43252, -1.78481, -1.76007, -1.76641, -1.80311, -2.00165, -2.04999, -2.32179
0.51, 0.0319375, -0.0285673, -0.550108, -0.443961, -0.469354, -0.59832, -0.819835, -1.10162, -0.85667, -1.23446, -1.31177, -1.42995, -1.63587, -1.7428, -1.84172, -1.7979, -1.94212, -1.94558, -2.12507, -2.09919, -2.14629
0.52, 0.0319375, -0.383698, -0.451849, -1.42998, -0.787794, -0.543977, -0.678326, -0.570094, -0.920423, -1.17627, -1.36782, -1.34935, -1.65814, -1.74343, -1.69372, -1.54008, -1.77085, -1.71669, -1.77654, -2.16852, -2.3604
0.53, 0.0319375, -0.435657, -0.588021, -1.07411, -0.764548, -0.888508, -0.744918, -0.662846, -0.830809, -1.04877, -1.42386, -1.71994, -1.58237, -1.5219, -1.47881, -1.72768, -1.84485, -1.67681, -1.77778, -2.2058, -2.44
