# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0.12, 0.0319375, -2.02474, -3.80728, -3.82574, -4.18681, -4.83963, -4.82794, -4.94267, -4.91231, -4.55027, -4.57663, -3.81243, -3.58424, -4.23061, -4.53633, -4.52593, -3.59478, -3.69008, -3.51332, -4.59288, -4.80541, -4.65329, -4.88437, -4.56127, -4.92314, -5.26793, -5.05813, -5.30886, -5.2147, -5.25455, -5.58192, -4.85799, -5.36026, -5.8891, -5.61978, -5.43536, -5.4999, -5.41668, -5.17441, -5.42761, -5.52156
0.13, 0.0319375, -2.16273, -3.56212, -4.37754, -4.64459, -5.10005, -5.04334, -4.58379, -4.66077, -4.18845, -4.52832, -4.20678, -4.14573, -4.2033, -4.69664, -4.77092, -4.37325, -4.602, -4.09346, -4.83828, -5.01069, -4.62095, -5.12391, -5.11893, -5.15183, -5.30669, -5.29432, -5.42104, -5.12221, -5.40389, -5.41548, -5.18961, -5.39141, -5.06224, -5.27122, -5.11282, -5.20747, -5.0718, -5.16243, -5.24319, -5.38167
0.14, 0.0319375, -2.079, -3.07549, -4.1687, -5.32807, -5.30197, -5.25481, -5.05198, -4.64387, -4.46891, -4.35754, -3.92211, -4.15132, -4.14271, -4.65842, -4.91832, -4.08596, -4.42924, -4.12348, -5.07616, -5.27357, -4.77864, -5.0681, -4.96404, -5.03501, -4.89431, -5.08049, -5.28667, -5.1061, -5.09722, -5.01055, -4.93047, -5.38241, -4.9829, -5.16645, -5.22691, -5.51344, -5.15392, -5.09845, -5.17207, -5.41487
0.15, 0.0319375, -2.76659, -3.58186, -3.7009, -4.90936, -5.0319, -4.66542, -4.50853, -4.44497, -4.50354, -4.69412, -4.87604, -4.52382, -4.13069, -4.49404, -4.90137, -4.5873, -4.52048, -4.55503, -4.88067, -4.52657, -3.2434, -3.16424, -3.39691, -3.81316, -3.56513, -3.57528, -3.39472, -3.59601, -3.48183, -3.49478, -3.25169, -4.37316, -3.94687, -4.12026, -4.61314, -4.39049, -4.2671, -4.3973, -4.41299, -4.23251
0.16, 0.0319375, -3.23424, -3.10323, -4.00969, -5.00147, -4.45272, -4.16138, -4.56959, -5.0696, -5.01437, -5.16327, -4.76221, -4.28546, -4.48376, -4.05156, -4.08188, -4.29311, -4.32482, -4.22965, -4.14882, -4.0913, -3.03234, -2.74807, -2.69415, -3.49256, -3.69985, -3.19392, -2.82907, -3.73191, -3.50673, -3.35686, -3.23728, -4.45302, -3.95525, -4.13239, -4.54716, -4.41136, -4.43783, -4.48362, -4.39566, -4.35232
0.17, 0.0319375, -2.71012, -2.93584, -3.75267, -4.43519, -4.58864, -4.37531, -4.58491, -4.5271, -4.28145, -5.06107, -4.33529, -4.73281, -4.66303, -4.35912, -4.05068, -4.4038, -4.56391, -4.47277, -4.23247, -4.2696, -3.18013, -3.14543, -3.04546, -3.6405, -4.23375, -3.91694, -3.657, -4.83197, -4.68783, -4.10779, -3.94142, -4.71458, -4.85497, -4.8966, -5.20918, -5.26043, -5.20947, -4.98767, -5.15985, -5.42613
0.18, 0.0319375, -2.61232, -2.96505, -4.17127, -4.23856, -5.23152, -5.58849, -5.18374, -4.30635, -4.05324, -4.79814, -4.58935, -4.79103, -5.06396, -4.85994, -4.32294, -5.09726, -4.62509, -4.47358, -4.07032, -4.18554, -3.44883, -3.05293, -3.55653, -3.86733, -4.28191, -4.14521, -4.16618, -4.95503, -5.12486, -4.58871, -4.33233, -5.00437, -5.1081, -5.42468, -5.40926, -5.32131, -5.15584, -5.15586, -5.19973, -5.48617
0.19, 0.0319375, -2.69984, -2.88336, -3.54394, -4.08931, -4.71104, -5.70376, -5.96072, -4.38518, -4.34781, -4.45393, -4.69175, -4.82857, -5.40054, -5.13629, -4.67339, -5.42604, -5.09437, -4.73206, -4.70583, -4.71269, -4.42153, -4.0044, -3.96073, -4.16763, -4.83813, -4.44145, -4.34723, -4.9197, -5.22477, -4.90504, -4.60312, -5.16063, -4.9023, -5.18327, -5.39774, -5.34917, -5.218, -5.25671, -5.29622, -5.34946
0.2, 0.0319375, -2.77116, -3.02604, -4.27169, -4.69923, -5.31328, -5.06996, -5.30334, -4.81038, -4.61287, -4.93237, -4.86645, -5.17034, -6.06798, -5.27647, -4.80336, -5.38885, -5.409, -4.86523, -4.78692, -4.82492, -3.94078, -4.25712, -4.2137, -4.48709, -5.24446, -5.13839, -4.96408, -5.02862, -5.21881, -5.0941, -4.7541, -5.22844, -5.06494, -5.3433, -5.62309, -5.14148, -5.18432, -5.26363, -5.52582, -5.69025
0.21, 0.0319375, -2.82531, -2.95527, -3.84951, -3.90191, -5.25105, -4.81181, -4.91843, -4.82581, -4.89193, -4.92701, -5.21706, -5.36876, -5.60477, -5.66122, -5.37347, -5.48656, -5.26266, -5.01921, -5.00576, -5.67555, -4.01646, -4.06164, -4.65617, -4.58456, -4.98309, -5.06373, -5.46117, -5.17425, -5.33354, -5.19993, -5.09298, -5.42498, -5.20475, -5.68723, -5.69074, -5.43807, -5.32262, -5.32693, -5.43163, -5.63488
0.22, 0.0319375, -3.049, -3.04465, -3.42633, -4.00142, -5.18411, -4.87125, -4.68584, -4.63376, -4.88098, -4.94548, -5.36436, -6.04338, -5.58819, -5.82554, -5.84284, -5.32315, -4.9507, -5.18858, -5.02803, -5.31955, -4.35562, -4.08588, -4.28085, -4.77112, -4.87882, -4.72207, -5.10206, -5.39536, -5.37118, -5.10055, -5.13436, -5.65695, -5.36159, -5.4214, -5.46904, -5.18447, -5.09783, -5.46988, -5.65982, -5.58327
