Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.204,0.19533661,-0.9757051467,-0.11025884,0.5347920656,-0.8862268328,-0.1527977287
-0.1839999999,0.194114238,-0.9781499505,-0.1117256954,0.5500718355,-0.6570302248,0.1069584116
-0.164,0.1992482393,-0.9823060035,-0.1107477918,0.5653516054,-0.4736729562,0.5195122957
-0.1439999999,0.2019374817,-0.9801057577,-0.1085475012,0.8862268328,-0.1527977287,0.7028695344
-0.1239999999,0.2021819502,-0.9805946946,-0.1107477918,0.6723099946,0.0916786342,0.5959111452
-0.104,0.2019374817,-0.9796167612,-0.11368151,0.5042325258,0.3514347672,0.2903156876
-0.084,0.196558997,-0.9818170666,-0.1193044632,0.5959111452,0.3055954575,0.0305595453
-0.064,0.19533661,-0.9849952459,-0.1217492297,0.9167863726,0.0763988643,0.0458393171
-0.0439999999,0.1919139474,-0.9825505018,-0.123460561,1.6960548162,-0.2750359177,0.3208752274
-0.0239999999,0.1909360438,-0.9818170666,-0.1217492297,1.9099715948,-0.7334290742,0.3208752274
-0.004,0.190447092,-0.9837728738,-0.1205268502,2.0322098731,-1.2682211399,0.0305595453
0.016,0.194114238,-0.9847508072,-0.1168597042,2.5364422798,-1.4821379184,-0.0305595453
0.0359999999,0.1931363195,-0.9842618107,-0.1119701713,3.1934723854,-1.6196558475,0.3361549973
0.056,0.196558997,-0.9842618107,-0.1127036064,3.6824252605,-1.390459299,0.9931852221
0.0759999999,0.2019374817,-0.9830394387,-0.1112367436,4.0796995162,-0.7945481538,1.4362986087
0.0959999999,0.2043822407,-0.9766830801,-0.1129480823,4.1713781356,-0.1527977287,1.1154234409
0.116,0.1985148042,-0.9761941432,-0.1124591231,3.7435443401,0.626470685,0.5806313753
0.136,0.1884912699,-0.9835283756,-0.1119701713,3.1629128456,0.9626256823,0.0916786342
0.156,0.1840907037,-0.9842618107,-0.1021911203,2.7503590583,1.1459829807,-0.0458393171
0.1759999999,0.1875133663,-0.9840173721,-0.0973015949,2.3683648109,0.5500718355,-0.3055954575
0.1959999999,0.1882468014,-0.9830394387,-0.1051248386,1.6349356174,-0.6417504549,-1.1307032108
0.216,0.1796901226,-0.9766830801,-0.1107477918,1.4210188388,-1.9252513647,-1.9710906744
0.2459999999,0.1880023181,-0.9776609539,-0.1114812195,1.0848639011,-2.5822815895,-1.9710906744
0.266,0.1985148042,-0.9735049009,-0.1097698882,1.1612627506,-2.6586804389,-1.5126974582
0.2859999999,0.1946031898,-0.9820615649,-0.1085475012,0.7792683839,-3.1476330757,-1.2835009098
0.306,0.196558997,-0.9825505018,-0.1073251217,0.7487088441,-3.3768298625,-1.2376616001
0.326,0.2019374817,-0.9849952459,-0.1090364605,0.5195122957,-3.0865139961,-1.4668581485
