# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39, f40, f41, f42, f43, f44, f45, f46, f47, f48, f49
0.1, 0.0319375, 0.0954084, 0.0453711, 0.198209, 1.39583, 1.13488, 0.138382, 0.237894, 0.177855, 0.183884, 0.14239, 0.27691, 0.422274, 0.40485, 0.639384, 0.556337, 0.240035, 0.361776, 0.563603, 0.467617, 0.376008, 0.484138, 0.330625, 0.287782, 0.429097, 0.484998, 0.366884, 0.348898, 0.480353, 0.175175, 0.330169, 0.345353, 0.508089, 0.440691, 0.441052, 0.479544, 0.448817, 0.4643, 0.426324, 0.623295, 0.787521, 1.06432, 1.78163, 2.23366, 2.36273, 2.15414, 1.71537, 0.881981, 0.663055, 0.319617, 0.393795
0.11, 0.0319375, 0.208924, 0.0750958, 0.261837, 1.31892, 1.16551, 0.344292, 0.446281, 0.171324, 0.237082, 0.331426, 0.207316, 0.318074, 0.441968, 0.532015, 0.504168, 0.372745, 0.228198, 0.556477, 0.362958, 0.364294, 0.368334, 0.274798, 0.350918, 0.339091, 0.345765, 0.32344, 0.538074, 0.435105, 0.39604, 0.329581, 0.391837, 0.50564, 0.554547, 0.453529, 0.523474, 0.364603, 0.366801, 0.496764, 0.709139, 0.842918, 1.29157, 1.72646, 1.93213, 2.11183, 2.3572, 1.65951, 0.87945, 0.603386, 0.34161, 0.538344
0.12, 0.0319375, 0.137238, 0.124601, 0.401049, 1.13397, 1.27082, 0.299035, 0.380606, 0.0446499, 0.281085, 0.27011, 0.364849, 0.52955, 0.532017, 0.358509, 0.464408, 0.570043, 0.305272, 0.385984, 0.307111, 0.368651, 0.489147, 0.430034, 0.367238, 0.325019, 0.327741, 0.38336, 0.53024, 0.454954, 0.422341, 0.472497, 0.525549, 0.386159, 0.381203, 0.490196, 0.489118, 0.283429, 0.302676, 0.463015, 0.689298, 0.849891, 1.34063, 1.50853, 2.03065, 2.10672, 2.07393, 1.50735, 0.854536, 0.588186, 0.450407, 0.675929
0.13, 0.0319375, 0.165793, 0.0283451, 0.28206, 1.14489, 1.3277, 0.225719, 0.416889, 0.134535, 0.330197, 0.186246, 0.4233, 0.544962, 0.508435, 0.281541, 0.329059, 0.575426, 0.535683, 0.352658, 0.381146, 0.366606, 0.50626, 0.394552, 0.329148, 0.426151, 0.320473, 0.256896, 0.45493, 0.619086, 0.326271, 0.356464, 0.46735, 0.433554, 0.542359, 0.716131, 0.571578, 0.283072, 0.313743, 0.489044, 0.7843, 1.05425, 1.16543, 1.55329, 2.2998, 2.42036, 2.13613, 1.68123, 0.95067, 0.504673, 0.385951, 0.475712
0.14, 0.0319375, 0.0962784, 0.071413, 0.158986, 1.12681, 1.27048, 0.305305, 0.47815, 0.166476, 0.245929, 0.1772, 0.264546, 0.622524, 0.482259, 0.627701, 0.463514, 0.460566, 0.475518, 0.543621, 0.373135, 0.338239, 0.348696, 0.33268, 0.282286, 0.423298, 0.395115, 0.213969, 0.416943, 0.645205, 0.396517, 0.315293, 0.375072, 0.438057, 0.691132, 0.664247, 0.580362, 0.315981, 0.384972, 0.492707, 0.980114, 1.00833, 1.10119, 1.64387, 2.14985, 2.75295, 2.29566, 1.66902, 0.834664, 0.606576, 0.44569, 0.547122
0.15, 0.0319375, 0.0756893, 0.08988, 0.282694, 1.03403, 1.37028, 0.239433, 0.381811, 0.199059, 0.193523, 0.139095, 0.175787, 0.400605, 0.485253, 0.705729, 0.550045, 0.571497, 0.555373, 0.392504, 0.327794, 0.213785, 0.523182, 0.463448, 0.379408, 0.382439, 0.448302, 0.283231, 0.392391, 0.611595, 0.459011, 0.447017, 0.340105, 0.511038, 0.444161, 0.415265, 0.376946, 0.318292, 0.283442, 0.434524, 0.929226, 0.874043, 1.07447, 1.73216, 2.02223, 2.83753, 2.45525, 1.73195, 0.804245, 0.649581, 0.529579, 0.614502
0.16, 0.0319375, 0.0798956, 0.167578, 0.33045, 1.04379, 1.43243, 0.294883, 0.179406, 0.195404, 0.354827, 0.301396, 0.170698, 0.261435, 0.50715, 0.469428, 0.423152, 0.601331, 0.672455, 0.566216, 0.355988, 0.297856, 0.365248, 0.50747, 0.529078, 0.573103, 0.432306, 0.29385, 0.434796, 0.54175, 0.258552, 0.327232, 0.326616, 0.355549, 0.376702, 0.361454, 0.448083, 0.313128, 0.306686, 0.529633, 0.88129, 0.834941, 0.903102, 1.75904, 2.12814, 2.43494, 2.21024, 1.6957, 0.917031, 0.675657, 0.626421, 0.629246
0.17, 0.0319375, 0.066146, 0.0879817, 0.184789, 0.808701, 1.40106, 0.210304, 0.245088, 0.273026, 0.377509, 0.153751, 0.183527, 0.359457, 0.408332, 0.244046, 0.231987, 0.500716, 0.461522, 0.620802, 0.230832, 0.300819, 0.471253, 0.28148, 0.368632, 0.558567, 0.356694, 0.346367, 0.585756, 0.566477, 0.337469, 0.215636, 0.27739, 0.551874, 0.571025, 0.619796, 0.365715, 0.379271, 0.325416, 0.451061, 0.665778, 0.731126, 1.02964, 1.99383, 2.10788, 2.29716, 2.00594, 1.63514, 0.986858, 0.71371, 0.526406, 0.622197
0.18, 0.0319375, 0.102669, 0.0741819, 0.200915, 0.988349, 1.4334, 0.391441, 0.331679, 0.291085, 0.171419, 0.173381, 0.199508, 0.301955, 0.427622, 0.28875, 0.332192, 0.637147, 0.635781, 0.485092, 0.497726, 0.338717, 0.470091, 0.316131, 0.279655, 0.619365, 0.35464, 0.30286, 0.622916, 0.647796, 0.361096, 0.354223, 0.301175, 0.468322, 0.433471, 0.52363, 0.399046, 0.38423, 0.315391, 0.353187, 0.771212, 1.02574, 1.28395, 1.95356, 1.88676, 2.48061, 2.29122, 1.6233, 0.920082, 0.503726, 0.494346, 0.618938
0.19, 0.0319375, 0.188347, 0.12394, 0.217474, 0.661705, 1.37569, 0.378154, 0.344358, 0.24561, 0.431158, 0.447621, 0.31057, 0.458727, 0.52247, 0.355497, 0.171965, 0.45606, 0.674754, 0.490229, 0.705453, 0.381522, 0.361461, 0.472741, 0.406181, 0.724455, 0.442901, 0.457834, 0.593493, 0.601067, 0.328871, 0.407442, 0.450114, 0.367639, 0.541009, 0.547361, 0.516029, 0.315499, 0.328789, 0.340019, 0.883991, 1.09534, 1.24907, 1.66494, 1.988, 2.42087, 2.25387, 1.61064, 0.88323, 0.541602, 0.477569, 0.517868
0.2, 0.0319375, 0.100934, 0.0277752, 0.0548603, 0.681067, 1.379, 0.517033, 0.313823, 0.321859, 0.513225, 0.283548, 0.255401, 0.292302, 0.431471, 0.620003, 0.433741, 0.483173, 0.351511, 0.603844, 0.802534, 0.447568, 0.333499, 0.35289, 0.480788, 0.834938, 0.47296, 0.385661, 0.358943, 0.313038, 0.452722, 0.456677, 0.466888, 0.48902, 0.451653, 0.587469, 0.610868, 0.320513, 0.235493, 0.547972, 0.759638, 1.20203, 1.60768, 1.76481, 2.21698, 2.85011, 2.61084, 1.92005, 0.956059, 0.583624, 0.394947, 0.448348
0.21, 0.0319375, 0.188041, 0.0747323, 0.153801, 0.752945, 1.22319, 0.46974, 0.334613, 0.224278, 0.250669, 0.343916, 0.297829, 0.19036, 0.22134, 0.558976, 0.467368, 0.577302, 0.330059, 0.57278, 0.759044, 0.571133, 0.512468, 0.275784, 0.565032, 0.739505, 0.552427, 0.468394, 0.355082, 0.336779, 0.460203, 0.262882, 0.353226, 0.533741, 0.36785, 0.557086, 0.521252, 0.305101, 0.318017, 0.546048, 0.877683, 1.12582, 1.43545, 1.92947, 2.14771, 2.72428, 2.30002, 1.96862, 1.19113, 0.603988, 0.475941, 0.527219
