Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.644,0.238364458,-1.0319347381,0.053295847,2.948996067,7.5940470695,0.4125538468
-0.624,0.2246737778,-1.0060201883,0.0474284142,7.074534893,8.4191551208,0.5042325258
-0.604,0.2249182462,-0.9896402955,0.0542737506,8.235797882,6.768939495,-0.2291965931
-0.5839999999,0.2329859733,-0.9918406009,0.0444946996,7.3190112113,4.8742475509,-1.7571738958
-0.5639999999,0.2388534098,-0.9935519099,0.0488952733,8.4955539703,3.606026411,-2.6281208992
-0.544,0.2425205558,-1.0001528263,0.0750542432,10.7875194549,2.1391682624,-3.9421813488
-0.524,0.2427650243,-1.0121321678,0.0977905467,13.7517957687,1.5738165378,-5.5771169662
-0.504,0.2312746345,-1.0008862018,0.1046358793,18.0148525238,1.7724536657,-5.607676506
-0.4839999999,0.2163615822,-0.9737493395,0.0999908298,20.5818538665,1.9558109045,-5.2562417984
-0.464,0.2249182462,-0.9642148017,0.1100143641,17.7092571258,0.5653516054,-5.897992134
-0.444,0.2447208315,-0.9820615649,0.1276166588,12.7433300018,-2.0016503334,-6.9522967338
-0.424,0.262323141,-0.9825505018,0.1373957097,9.427619934,-2.5975613594,-6.2799863815
-0.404,0.2699019014,-0.9847508072,0.1276166588,5.2715215682,-3.4990680217,-4.1255388259
-0.3839999999,0.2752803862,-0.991351664,0.1256608515,3.4990680217,-3.3462703227,-1.0543043613
-0.3639999999,0.2735690474,-1.0018640756,0.127127707,2.1086087226,-2.5517220497,1.7877334356
-0.3439999999,0.2738135159,-0.9818170666,0.1146594136,1.1612627506,-0.5347920656,3.6824252605
-0.324,0.2723466753,-0.9717935323,0.1019466444,-0.5959111452,1.100143671,4.110259056
-0.304,0.2681905627,-0.9705711603,0.1085475012,-1.3293402194,1.7418941259,2.9795556068
-0.2839999999,0.2657458186,-0.9708156585,0.1075695976,-1.6043760776,1.9099715948,0.5653516054
-0.264,0.270879805,-0.9722824692,0.1134370341,-2.1544480323,2.9031567573,-1.8182929754
-0.2439999999,0.2672126591,-0.967392981,0.1322617083,-5.01176548,4.0033006668,-3.3462703227
-0.224,0.2723466753,-0.990129292,0.1190599873,-5.9591112136,4.110259056,-4.110259056
-0.204,0.2828591465,-0.9933074712,0.1095254123,-4.7672891616,6.1271886825,-3.6671454906
-0.1839999999,0.2674571275,-0.9881734848,0.1378846615,-2.7656388282,6.9370169639,-2.7809185981
-0.1739999999,0.2442318797,-0.9830394387,0.1562203913,-0.7334290742,6.3105459213,-2.4906029701
-0.1439999999,0.2288298755,-0.9717935323,0.144974485,-0.0763988643,4.5228128433,-1.7418941259
-0.1239999999,0.2398313134,-0.9769275188,0.135195434,0.4431134164,1.9252513647,-1.0084650516
-0.104,0.2544998824,-0.9717935323,0.1317727565,1.879412055,0.244476363,-0.763988614
