# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -0.426124, -0.445609, -0.600573, -0.791799, -0.731739, -0.0575815, 0.426759, -0.942357, -1.17919, -0.415511, -0.678286, -1.11017, -1.36685, -1.31878, -2.48775, -2.75363, -2.4556, -2.45068, -3.61902, -3.66756
0.24, 0.0319375, -1.09443, -0.284337, -0.484733, -1.18073, -0.816375, -0.145114, 0.313652, -0.821372, -1.37297, -0.615967, -0.854366, -0.775612, -0.972697, -1.03962, -2.55484, -2.79222, -2.65374, -2.42846, -3.86121, -4.10018
0.25, 0.0319375, -0.595237, -0.270345, -0.522161, -0.87205, -0.753437, -0.128323, 0.157194, -0.905159, -1.40167, -1.05092, -1.07804, -0.735026, -1.01798, -1.11372, -2.7826, -2.96556, -2.4286, -2.30337, -4.02748, -4.26094
0.26, 0.0319375, -0.902623, -0.569287, -0.569838, -0.74385, -0.294446, -0.294699, -0.178736, -0.895047, -1.24966, -1.0132, -1.3198, -0.974342, -0.989214, -1.42023, -2.88793, -3.03397, -2.55701, -2.3209, -4.02713, -4.65659
0.27, 0.0319375, -1.2267, -1.18294, -0.755807, -0.796202, -1.1695, -0.478631, -0.0244936, -1.17553, -1.32153, -0.862971, -1.12959, -0.706399, -1.05819, -1.53935, -2.58227, -2.6591, -2.24744, -2.33181, -3.8018, -4.76089
0.28, 0.0319375, -1.05635, -0.239258, -0.272037, -0.931413, -0.559985, -0.461386, -0.428373, -1.27117, -1.30953, -1.35298, -1.14725, -0.855595, -1.18947, -1.72038, -2.40457, -2.2651, -2.13183, -2.33379, -3.84806, -4.93566
0.29, 0.0319375, -0.57735, -0.234982, -0.550033, -0.551549, -0.61423, -0.320283, -0.465107, -1.06667, -1.28608, -1.37635, -1.17647, -1.17505, -1.60002, -1.68451, -2.47395, -2.25503, -2.11098, -2.19608, -3.35862, -4.33705
0.3, 0.0319375, -0.345725, 0.0391216, -0.385017, -0.761467, -0.858093, -0.0865226, -0.225824, -1.3106, -1.2429, -0.717873, -1.03639, -1.19879, -1.60072, -1.85172, -2.47547, -2.24944, -2.2262, -2.2577, -3.29243, -4.19335
0.31, 0.0319375, -0.413644, -0.0675584, -0.90262, -0.733218, -0.991851, -0.580146, -0.447495, -1.06114, -1.4593, -1.071, -1.23064, -1.33315, -1.67908, -1.78071, -2.45229, -2.09744, -2.308, -2.23352, -3.1935, -4.36552
0.32, 0.0319375, -0.464398, 0.0721693, -0.462405, -0.7205, -0.666647, -0.291576, -0.242914, -0.988413, -1.35164, -1.25199, -1.399, -1.39466, -1.74199, -1.85624, -2.58508, -2.27856, -1.92769, -2.25748, -3.15209, -4.20885
0.33, 0.0319375, -0.353759, 0.178611, -0.525982, -0.958758, -0.736956, -0.316721, -0.172444, -0.981896, -1.30399, -1.39347, -1.35157, -1.47257, -1.63354, -1.87839, -2.33933, -2.11652, -1.85857, -2.28425, -3.06198, -4.0533
0.34, 0.0319375, -0.28114, 0.330366, -0.840714, -0.871818, -1.1715, -0.823949, -0.559403, -1.10764, -1.20073, -1.22105, -1.67635, -1.31484, -1.54431, -1.85813, -2.33054, -2.33276, -1.98347, -2.57909, -3.17167, -4.12208
0.35, 0.0319375, -0.4939, -0.0925584, -0.466166, -0.436096, -0.862233, -0.651356, -0.257331, -1.15345, -1.22363, -1.40765, -1.64257, -1.5575, -1.6145, -1.58046, -2.14862, -2.21275, -2.0889, -2.48926, -3.20294, -4.17273
0.36, 0.0319375, -0.432647, -0.234937, -0.702777, -1.1529, -0.962937, -0.487673, -0.669639, -1.04286, -1.02074, -1.25264, -1.74848, -1.50473, -1.43877, -1.45501, -2.02103, -2.29857, -2.10008, -2.28118, -3.22638, -4.34349
0.37, 0.0319375, -0.383205, -0.824294, -0.604697, -0.862256, -1.56011, -1.02858, -0.744153, -1.05688, -1.50416, -1.18104, -1.31718, -1.48528, -1.58065, -1.50685, -2.15396, -2.28592, -2.10962, -2.27164, -3.30729, -4.45796
