Time (seconds), x, y, z
2.463,-0.8391113, -0.8076172, 0.15332031
2.483,-0.66625977, -0.40039062, 0.47192383
2.503,-0.87475586, -0.1352539, 1.185791
2.523,-0.55493164, 0.9404297, 1.7915039
2.544,0.05810547, 1.7526855, 1.9838867
2.564,0.65478516, 1.3334961, 1.9208984
2.584,0.89208984, 1.3210449, 1.746582
2.604,0.5344238, 1.7768555, 1.4990234
2.624,0.1459961, 2.1010742, 1.1535645
2.644,-0.03149414, 1.8811035, 0.79785156
2.664,0.32495117, 1.5129395, 0.58496094
2.684,0.19628906, 1.0505371, 0.41235352
2.704,-0.10180664, 0.76831055, 0.42749023
2.725,0.03515625, 0.72631836, 0.43847656
2.745,-0.07397461, 0.056640625, 0.46875
2.765,-0.049316406, -0.091552734, 0.35498047
2.785,0.27319336, 0.5739746, 0.16503906
2.805,0.13208008, -0.39038086, -0.25805664
2.825,-0.74072266, -0.9794922, -0.5800781
2.845,-0.9758301, -0.69873047, -0.642334
2.865,-1.2871094, -0.3623047, -0.42773438
2.885,-1.2290039, -0.16894531, -0.18359375
2.905,-0.89941406, -0.23779297, -0.029785156
2.925,-0.953125, -0.23071289, 0.3359375
2.946,-0.82055664, -0.038330078, 0.6687012
2.966,-1.5021973, 0.3173828, 1.6933594
2.986,-1.6472168, 1.5927734, 2.4624023
3.006,-0.9748535, 2.2583008, 2.258789
3.026,-0.15136719, 1.4575195, 1.7741699
3.046,0.19042969, 0.76342773, 1.4382324
3.066,-0.16625977, 0.24780273, 1.2438965
3.086,-0.3984375, -0.34765625, 0.96875
3.106,-0.8874512, -0.54541016, 0.798584
3.127,-1.2587891, -0.9165039, 0.6911621
3.147,-0.41064453, -1.7590332, 0.88427734
3.167,-0.21508789, -1.7451172, 1.4904785
3.187,-0.94873047, -0.7077637, 2.2353516
3.207,-0.3527832, 0.18554688, 2.1972656
3.227,0.67456055, -0.20751953, 1.7363281
3.247,1.0183105, -0.4321289, 1.4362793
3.267,0.09790039, -0.043945312, 1.1574707
3.287,-0.4951172, 0.18969727, 1.1772461
3.307,-0.40942383, 0.32641602, 0.954834
3.327,0.038085938, 0.2121582, 0.5847168
3.348,0.31103516, 0.07763672, 0.48339844
3.368,0.47460938, 0.115234375, 0.6882324
3.388,0.7722168, 0.28076172, 0.6003418
3.408,0.6022949, 0.34179688, 0.74658203
3.428,0.36645508, 0.5751953, 0.83691406
3.448,0.30273438, 0.6369629, 1.142334
3.468,0.29858398, 0.44506836, 1.470459
3.488,0.4482422, 0.107421875, 1.6391602
3.508,0.45385742, -0.39282227, 1.876709
3.529,0.33862305, -0.859375, 2.2209473
3.549,0.2944336, -0.951416, 2.25708
3.569,0.28393555, -0.71875, 2.2104492
3.589,-0.14233398, -0.44677734, 2.4863281
3.609,-0.5349121, -0.1616211, 2.7434082
3.629,-0.5031738, -1.1210938, 2.366455
3.649,-0.27246094, -1.7387695, 1.3271484
3.669,-0.35986328, -2.1223145, 0.37402344
3.689,-0.46069336, -1.9890137, -0.34423828
3.709,-0.29711914, -1.7043457, -0.6828613
3.729,-0.5292969, -1.2819824, -0.47192383
3.750,-1.345459, -1.276123, 0.043701172
3.770,-1.2644043, -0.3388672, 0.748291
3.790,-1.1367188, -0.100097656, 1.1193848
3.810,-0.25097656, -0.020263672, 1.3842773
3.830,-0.30541992, 9.765625E-4, 1.5056152
3.850,0.08203125, -0.2763672, 1.3037109
3.870,0.3774414, -0.7241211, 1.1203613
3.890,0.18017578, -1.6689453, 1.2478027
3.910,0.08520508, -0.86694336, 0.7651367
3.931,-0.35498047, -0.515625, 0.6074219
3.951,-0.5185547, -0.73413086, 0.58203125
3.971,-0.7602539, -0.60595703, 0.55737305
3.991,-0.61816406, -0.47851562, 0.7216797
4.011,-0.4753418, -0.20385742, 1.0236816
4.031,-0.115234375, -0.36376953, 1.3364258
4.051,0.24194336, -0.43139648, 1.4660645
4.071,0.4807129, -0.6220703, 1.3884277
4.091,0.16967773, -0.8383789, 1.4257812
4.111,-0.3972168, -2.727539, 1.3950195
4.131,0.18652344, -2.7868652, 0.6862793
4.151,-0.095458984, -1.060791, 0.31860352
4.171,-0.86499023, -0.11206055, 0.118896484
4.191,-1.6992188, -0.41235352, -0.3305664
4.211,-1.7563477, -0.9140625, -0.7312012
4.231,-1.0222168, -0.7590332, -0.6923828
4.251,-0.6477051, 1.0725098, -0.04272461
4.271,-1.322998, 2.0454102, -0.16821289
4.291,-1.2834473, 0.2993164, -0.3996582
4.311,-0.93603516, -0.7824707, -0.23754883
4.332,-0.80688477, -0.7890625, 4.8828125E-4
4.352,-0.58935547, -0.2512207, 0.3557129
4.372,-0.6040039, -0.28808594, 0.63012695
4.392,-0.9567871, -0.41601562, 0.6569824
4.412,-1.7199707, -0.4741211, 0.63427734
4.432,-1.90625, 0.17163086, 1.0405273
4.452,-1.5187988, 0.08520508, 1.0131836
4.472,-1.0566406, 0.1940918, 1.1057129
4.492,-0.828125, 0.5251465, 0.8996582
4.512,-0.5529785, 0.65771484, 0.69555664
4.533,-0.2824707, 0.7844238, 0.642334
4.553,-0.123046875, 0.9782715, 0.46435547
4.573,-0.24707031, 1.1071777, 0.24243164
4.593,-0.5932617, 1.0341797, 0.20825195
4.613,-0.9211426, 0.7602539, 0.7072754
4.633,-0.9777832, 0.5852051, 0.9916992
4.653,-0.3984375, 0.93237305, 0.9970703
4.673,-0.4008789, 1.0, 1.142334
4.693,-0.51123047, 0.49023438, 0.9902344
4.713,-1.1586914, 0.16259766, 0.9152832
4.734,-1.6967773, 0.09057617, 0.5690918
4.754,-1.4916992, 0.22192383, 0.37036133
4.774,-1.2365723, 0.23168945, 0.56274414
4.794,-0.53759766, -0.32226562, 0.5625
4.814,-0.3010254, -0.6845703, 0.3630371
4.834,-0.6477051, -0.86328125, 0.24047852
4.854,-0.7741699, -1.0637207, 0.31982422
4.874,-0.66967773, -1.2028809, 0.13012695
4.894,-0.61694336, -0.91674805, 0.3269043
4.914,-0.670166, -0.6911621, 0.671875
4.934,-0.6845703, -0.54663086, 0.91748047
4.954,-0.6464844, -0.501709, 1.0991211
4.974,-0.8654785, -0.2409668, 0.8342285
4.994,-1.6889648, -0.09716797, 0.5925293
5.014,-2.7841797, -0.2602539, 1.5949707
5.034,-1.8735352, -0.42285156, 2.199463
5.054,-0.2133789, 0.2290039, 1.9116211
5.074,0.83154297, 1.015625, 1.2866211
5.094,0.38793945, 1.2609863, 0.6550293
5.114,0.0021972656, 1.1574707, 0.29760742
5.135,-0.15625, 0.97094727, 0.19506836
5.155,-0.12426758, 0.72680664, 0.1665039
5.175,-0.07104492, 0.8022461, 0.004638672
5.195,-0.19335938, 0.73583984, 0.16015625
5.215,-0.56152344, 0.89331055, 0.51123047
5.235,-0.88671875, 1.1037598, 1.0251465
5.255,-0.7211914, 1.0454102, 1.6105957
5.275,-1.4299316, 0.12866211, 2.5791016
5.295,-1.4995117, 0.018798828, 2.7363281
5.315,-0.626709, -0.23413086, 2.0563965
5.335,-1.267334, -1.1228027, 1.213623
5.355,-1.3620605, -1.375, 0.41625977
5.375,-0.96606445, -1.1533203, -0.068847656
5.395,-0.5073242, -0.8640137, -0.24584961
5.415,-0.088134766, -0.6904297, -0.25976562
5.435,0.12231445, -0.89086914, -0.31933594
5.455,-0.29858398, -0.93115234, -0.36987305
5.475,-0.857666, -0.7150879, -0.14624023
5.495,-0.85302734, -0.56396484, 0.092285156
5.515,-0.51220703, -0.7546387, 0.6777344
5.536,-0.52905273, -1.1523438, 1.5183105
5.556,-1.2883301, -0.6430664, 1.9106445
5.576,-2.208496, -0.02734375, 1.8286133
5.596,-1.800293, 0.06347656, 2.416504
5.616,-0.73876953, 0.075927734, 2.2033691
5.636,-0.61450195, 0.8881836, 1.0700684
5.656,-1.4260254, 1.6520996, 0.06591797
5.676,-1.0383301, 1.4970703, -0.48632812
5.696,0.02734375, 0.8815918, -0.4633789
5.716,0.953125, 0.9172363, -0.171875
5.737,0.8815918, 1.2490234, -0.0146484375
5.757,0.35205078, 1.260498, 0.73583984
5.777,-0.07299805, 1.355957, 1.2858887
5.797,-0.19067383, 1.3901367, 1.6506348
5.817,-0.97436523, 1.222168, 1.6540527
5.837,-2.725586, 0.9645996, 2.0339355
5.857,-2.274414, 0.74487305, 2.2434082
5.877,-1.0810547, -0.25073242, 1.7067871
5.897,-1.3283691, -1.1691895, 1.0170898
5.917,-1.4140625, -1.5310059, 0.27612305
5.938,-0.9367676, -1.5217285, -0.06201172
5.958,-0.5061035, -1.2753906, -0.025146484
5.978,-0.14501953, -1.2023926, -0.050048828
5.998,0.03930664, -1.0354004, -0.24633789
6.018,0.15917969, -0.9230957, -0.3293457
6.038,-0.6604004, -1.1889648, 0.921875
6.058,-0.19238281, -0.6188965, 1.1469727
6.078,-0.23828125, -0.8125, 1.1999512
6.098,-0.8955078, -1.036377, 1.1789551
6.118,-2.111084, -0.75390625, 1.4638672
6.138,-2.494873, -0.6015625, 3.3151855
6.158,-0.76586914, -0.79125977, 4.3449707
6.178,0.3857422, 0.15576172, 3.706787
6.198,0.3786621, 1.0024414, 2.1674805
6.218,-0.1352539, 1.503418, 0.7531738
6.238,-0.3618164, 1.5698242, 0.06201172
6.258,-0.38623047, 1.7788086, -0.32128906
6.278,-0.049316406, 1.7355957, -0.6262207
6.298,0.2631836, 1.5009766, -0.7133789
6.318,0.31469727, 1.2680664, -0.6257324
6.339,0.4736328, 1.0305176, -0.28735352
6.359,0.51782227, 1.0102539, 0.40600586
6.379,0.3544922, 1.1694336, 0.90185547
6.399,-0.25341797, 1.2592773, 1.3337402
6.419,-1.8129883, 1.1687012, 1.9206543
6.439,-2.1308594, 1.9355469, 2.178711
6.459,-0.56689453, 2.224121, 2.097168
