# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, 0.635605, -0.0363679, 0.378634, 0.323264, -0.309882, -0.209593, -1.00992, -0.555052, 0.301867, -0.0377842, -0.556317, -0.756264, -0.641519, -0.616879, -0.354063, -0.525702, -0.512894, -0.479727, -0.8044, -0.640014
0.24, 0.0319375, 0.863345, 0.406798, 0.708971, 0.412981, -0.0787112, -0.509603, -1.32133, -0.653832, 0.434129, 0.376421, -0.517854, -0.59395, -0.346608, -0.187189, -0.346146, -0.511291, -0.57033, -0.602778, -0.998073, -0.892664
0.25, 0.0319375, 0.713105, 0.880417, 1.21698, 0.623147, 0.0829384, -0.53475, -0.995801, -0.508333, 0.483239, 0.440123, -0.322197, -0.0188972, -0.387884, -0.486814, -0.569902, -0.580347, -0.742569, -0.871175, -1.12779, -0.920056
0.26, 0.0319375, 0.219335, 0.781618, 1.30229, 0.145419, -0.232241, -0.733073, -0.954525, -0.436566, 0.273863, 0.160688, -0.359539, 0.166937, -0.330421, -0.338997, -0.463427, -0.441577, -0.785229, -0.815184, -0.84778, -1.0454
0.27, 0.0319375, 0.631537, 0.406107, 0.816082, 0.207104, 0.312683, -0.410479, -0.693652, -0.485027, 0.214366, 0.49634, -0.155204, -0.382867, -0.463107, -0.385844, -0.591276, -0.680133, -0.482016, -0.670464, -0.86461, -1.18082
0.28, 0.0319375, 0.662824, 0.430995, 0.797167, 0.0241138, 0.284596, 0.0672846, -0.490134, -0.136529, 0.25646, 0.329422, -0.12988, -0.161559, -0.496753, -0.608461, -0.79353, -0.652769, -0.518988, -0.438749, -0.948383, -1.14864
0.29, 0.0319375, 1.01066, 0.978593, 0.894318, 0.208261, -0.0862015, -0.41305, -0.78586, -0.259126, 0.279425, 0.320778, -0.383076, -0.253825, -0.651984, -0.642307, -0.463422, -0.73449, -0.65513, -0.416305, -0.832053, -0.958811
0.3, 0.0319375, 1.45439, 1.05862, 0.457106, 0.201237, -0.176605, -0.581709, -0.69459, -0.224571, 0.286818, 0.322239, -0.240774, -0.471503, -0.559468, -0.536525, -0.546787, -0.615544, -0.43902, -0.691131, -0.970724, -0.994513
0.31, 0.0319375, 1.19639, 1.13228, 0.534546, -0.0212807, -0.169648, -0.577287, -0.987901, -0.660938, 0.01196, 0.738035, -0.14835, -0.611298, -0.522752, -0.335443, -0.529793, -0.797352, -0.604597, -0.587295, -0.531767, -0.637535
0.32, 0.0319375, 0.872324, 1.15603, 0.531472, -0.209936, -0.588519, -0.817109, -0.985861, -0.869869, -0.192468, 0.494538, -0.548574, -0.655301, -0.602647, -0.499978, -0.52316, -0.371523, -0.726078, -0.424798, -0.507309, -0.697262
