# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -4.64012, -5.11625, -4.37947, -3.42641, -2.65245, -2.88154, -3.41729, -3.78457, -3.48723, -3.12479, -3.29203, -2.31851, -1.75602, -2.62476, -4.04718, -3.97998, -4.70726, -4.81198, -4.79082, -4.83212
0.24, 0.0319375, -4.75243, -4.53444, -4.03012, -2.92953, -2.27066, -2.51336, -3.16956, -3.49726, -3.14187, -2.83284, -2.77952, -2.00204, -1.59532, -2.49775, -4.14853, -4.29056, -4.53382, -4.96636, -4.76877, -4.75447
0.25, 0.0319375, -4.07495, -4.41581, -3.8904, -2.71273, -1.83415, -2.19285, -2.94634, -3.24145, -2.74967, -2.35792, -2.4632, -1.58364, -1.45771, -2.67593, -4.29631, -4.19677, -4.32749, -4.85981, -4.8349, -5.04555
0.26, 0.0319375, -4.26516, -3.93261, -3.48231, -2.33513, -1.50874, -1.828, -2.26384, -2.90793, -2.58864, -2.03733, -2.30225, -1.30472, -1.32325, -2.83372, -4.29262, -3.82635, -4.13808, -4.81854, -4.91745, -4.96241
0.27, 0.0319375, -3.18452, -3.61686, -2.99262, -1.77465, -1.16361, -1.78051, -2.18755, -2.46217, -2.27016, -1.92421, -1.92761, -1.31036, -1.6367, -2.73801, -3.37394, -2.96812, -3.83167, -4.75757, -4.79114, -4.8254
0.28, 0.0319375, -2.1268, -2.90977, -3.16747, -0.979609, -0.948683, -1.56952, -1.75287, -2.35453, -2.37292, -1.73589, -1.94516, -1.16974, -1.26511, -2.17619, -2.8165, -2.70947, -3.81334, -4.76933, -4.84023, -4.91173
0.29, 0.0319375, -2.375, -2.48875, -3.84267, -1.13972, -1.24714, -1.33919, -1.1997, -2.58332, -2.82302, -2.13966, -2.28645, -1.65022, -1.71048, -2.51514, -3.2469, -3.26936, -4.08642, -4.89224, -4.91863, -4.89293
0.3, 0.0319375, -1.96965, -1.86897, -4.08743, -1.45641, -1.05056, -1.8427, -1.43031, -2.88944, -3.00348, -2.96522, -2.77863, -2.65985, -2.52832, -3.21951, -3.73406, -3.83138, -4.15418, -4.71271, -4.69888, -4.85289
0.31, 0.0319375, -2.10904, -1.61152, -4.30147, -1.96257, -1.21711, -2.30895, -2.25731, -2.79543, -2.85503, -3.38831, -3.21475, -2.8754, -2.65613, -3.23992, -4.08656, -3.90278, -4.14843, -4.53191, -4.81643, -5.00179
0.32, 0.0319375, -1.94018, -1.59844, -4.0884, -1.98299, -1.26078, -2.72484, -2.56848, -3.24176, -2.9552, -2.99441, -2.83872, -1.97859, -2.17962, -2.98248, -3.87642, -3.70567, -4.29476, -4.68742, -4.95897, -5.36091
