Time (seconds),x0,x1,x2
0.012252350000000009,0.1293945,-0.0739746,-1.001709
0.024504700000000004,0.1030273,-0.0720215,-0.9929199
0.03675705,0.1123047,-0.078125,-1.0219727
0.049009399999999995,0.1281738,-0.0944824,-1.0300293
0.061261750000000004,0.1125488,-0.0793457,-1.0297852
0.0735141,0.1271973,-0.0893555,-1.0241699
0.08576645,0.1230469,-0.0930176,-1.0454102
0.09801879999999999,0.109375,-0.0839844,-1.0310059
0.11027115,0.1003418,-0.0756836,-1.0109863
0.1225235,0.1152344,-0.0812988,-1.001709
0.14039937000000002,0.1293945,-0.0739746,-1.001709
0.15827524,0.1030273,-0.0720215,-0.9929199
0.17615111,0.1123047,-0.078125,-1.0219727
0.19402698000000002,0.1281738,-0.0944824,-1.0300293
0.21190285,0.098877,-0.0817871,-1.0300293
0.22977872,0.1071777,-0.083252,-1.0446777
0.24765459,0.1264648,-0.0979004,-1.0366211
0.26553046,0.109375,-0.0839844,-1.0310059
0.28340633,0.1003418,-0.0756836,-1.0109863
0.3012822,0.1152344,-0.0812988,-1.001709
0.3312229,0.1237793,-0.0847168,-1.0251465
0.36116360000000003,0.0961914,-0.0820312,-1.0314941
0.3911043,0.1123047,-0.078125,-1.0219727
0.421045,0.1281738,-0.0944824,-1.0300293
0.45098570000000004,0.098877,-0.0817871,-1.0300293
0.48092640000000003,0.1071777,-0.083252,-1.0446777
0.5108671,0.1264648,-0.0979004,-1.0366211
0.5408078000000001,0.0981445,-0.0737305,-1.0202637
0.5707485,0.1401367,-0.0700684,-0.9968262
0.6006892,0.1523438,-0.076416,-1.0043945
0.61269858,0.1237793,-0.0847168,-1.0251465
0.6247079600000001,0.0961914,-0.0820312,-1.0314941
0.63671734,0.0966797,-0.0786133,-1.036377
0.64872672,0.1003418,-0.0773926,-1.0185547
0.6607361,0.144043,-0.0932617,-1.0249023
0.67274548,0.1071777,-0.083252,-1.0446777
0.68475486,0.1264648,-0.0979004,-1.0366211
0.6967642399999999,0.0981445,-0.0737305,-1.0202637
0.70877362,0.1401367,-0.0700684,-0.9968262
0.720783,0.1523438,-0.076416,-1.0043945
0.74480441,0.1237793,-0.0847168,-1.0251465
0.76882582,0.0961914,-0.0820312,-1.0314941
0.79284723,0.0966797,-0.0786133,-1.036377
