Time (seconds),x0,x1,x2,x3,x4,x5
0.0,1175,1180,0,1201,1196,0
0.01,1177,1180,0,1193,1196,0
0.021,1173,1180,0,1197,1196,0
0.032,1175,1180,0,1202,1196,0
0.043,1175,1180,0,1194,1196,0
0.056,1177,1180,0,1198,1196,0
0.067,1173,1180,0,1196,1196,0
0.078,1174,1180,0,1217,1196,0
0.086,1175,1180,0,1245,1196,49
0.095,1175,1180,0,1343,1196,147
0.107,1175,1180,0,1368,1196,172
0.117,1173,1179,0,1375,1196,179
0.128,1172,1179,0,1389,1196,193
0.136,1173,1179,0,1403,1196,207
0.146,1175,1179,0,1409,1196,213
0.156,1174,1179,0,1407,1196,211
0.167,1174,1179,0,1413,1196,217
0.179,1170,1179,0,1415,1196,219
0.191,1172,1179,0,1414,1196,218
0.202,1172,1179,0,1408,1196,212
0.212,1169,1179,0,1407,1196,211
0.223,1170,1179,0,1397,1196,201
0.232,1172,1179,0,1398,1196,202
0.241,1168,1179,0,1388,1196,192
0.249,1175,1179,0,1386,1196,190
0.257,1174,1179,0,1373,1196,177
0.266,1170,1179,0,1358,1196,162
0.274,1173,1179,0,1329,1196,133
0.281,1171,1179,0,1314,1196,118
0.289,1174,1179,0,1261,1196,65
0.296,1171,1179,0,1232,1196,0
0.304,1177,1179,0,1211,1196,0
0.311,1175,1179,0,1210,1196,0
0.318,1170,1179,0,1203,1196,0
0.327,1169,1179,0,1204,1196,0
0.335,1175,1179,0,1201,1196,0
0.343,1175,1179,0,1205,1196,0
0.35,1175,1179,0,1201,1196,0
0.358,1169,1179,0,1201,1196,0
0.367,1169,1179,0,1197,1196,0
0.374,1172,1179,0,1200,1196,0
0.381,1177,1179,0,1197,1196,0
0.388,1173,1179,0,1197,1196,0
0.395,1175,1179,0,1205,1196,0
0.403,1173,1179,0,1202,1196,0
0.41,1173,1178,0,1196,1196,0
0.417,1175,1178,0,1192,1196,0
0.427,1171,1178,0,1192,1196,0
0.434,1175,1178,0,1193,1196,0
0.443,1174,1178,0,1194,1196,0
0.451,1174,1178,0,1203,1196,0
0.46,1181,1178,0,1204,1196,0
0.471,1177,1178,0,1194,1196,0
0.483,1175,1178,0,1198,1196,0
0.498,1172,1178,0,1211,1196,0
0.512,1175,1178,0,1248,1196,52
0.523,1175,1178,0,1281,1196,85
0.533,1171,1178,0,1290,1196,94
0.542,1185,1178,0,1298,1196,102
0.555,1172,1178,0,1313,1196,117
0.565,1173,1178,0,1316,1196,120
0.575,1182,1178,0,1319,1196,123
0.587,1171,1178,0,1307,1196,111
0.595,1175,1178,0,1320,1196,124
0.604,1177,1178,0,1314,1196,118
0.613,1172,1178,0,1302,1196,106
0.624,1172,1178,0,1297,1196,101
0.635,1169,1178,0,1286,1196,90
0.643,1175,1178,0,1268,1196,72
0.651,1175,1178,0,1252,1196,56
0.661,1180,1178,0,1240,1196,44
0.671,1174,1178,0,1225,1197,0
0.683,1168,1178,0,1212,1197,0
0.694,1176,1178,0,1198,1197,0
0.706,1174,1178,0,1192,1197,0
0.717,1174,1178,0,1195,1197,0
0.728,1171,1178,0,1190,1197,0
0.738,1175,1178,0,1197,1197,0
0.749,1173,1178,0,1196,1197,0
0.759,1169,1178,0,1195,1197,0
0.769,1173,1178,0,1198,1197,0
0.782,1170,1178,0,1209,1197,0
0.795,1172,1178,0,1224,1197,0
0.807,1172,1178,0,1398,1197,201
0.818,1172,1178,0,1460,1197,263
0.83,1180,1178,0,1472,1197,275
0.842,1184,1178,0,1472,1197,275
0.853,1177,1178,0,1470,1197,273
0.864,1178,1178,0,1468,1197,271
0.876,1173,1178,0,1466,1197,269
0.886,1180,1178,0,1476,1197,279
0.899,1171,1178,0,1472,1197,275
0.912,1172,1178,0,1478,1197,281
0.924,1174,1178,0,1470,1197,273
0.936,1176,1178,0,1473,1197,276
0.948,1176,1178,0,1476,1197,279
0.96,1173,1178,0,1489,1197,292
0.969,1174,1178,0,1479,1197,282
0.978,1174,1178,0,1481,1197,284
0.986,1173,1178,0,1474,1197,277
0.994,1172,1177,0,1471,1197,274
1.003,1175,1177,0,1471,1197,274
1.01,1171,1177,0,1472,1197,275
1.019,1171,1177,0,1472,1197,275
1.027,1171,1177,0,1481,1197,284
1.036,1173,1177,0,1469,1197,272
1.047,1170,1177,0,1468,1197,271
1.057,1174,1177,0,1467,1197,270
1.067,1173,1177,0,1478,1197,281
1.076,1181,1177,0,1463,1197,266
1.085,1172,1177,0,1464,1197,267
1.097,1174,1177,0,1457,1197,260
1.108,1169,1177,0,1422,1197,225
1.117,1176,1177,0,1263,1197,66
1.126,1174,1177,0,1217,1197,0
1.134,1174,1177,0,1204,1197,0
1.145,1181,1177,0,1200,1197,0
1.155,1174,1177,0,1198,1197,0
1.166,1172,1177,0,1197,1197,0
1.174,1170,1177,0,1195,1197,0
1.181,1180,1177,0,1201,1197,0
1.189,1174,1177,0,1199,1197,0
1.197,1176,1177,0,1202,1197,0
1.206,1175,1177,0,1208,1197,0
1.214,1175,1177,0,1224,1197,0
1.222,1172,1177,0,1266,1197,69
1.23,1173,1177,0,1399,1197,202
1.241,1178,1177,0,1426,1197,229
1.252,1173,1177,0,1426,1197,229
1.265,1180,1177,0,1435,1197,238
1.277,1173,1177,0,1437,1197,240
1.29,1174,1177,0,1448,1197,251
1.298,1180,1177,0,1449,1197,252
1.308,1172,1177,0,1439,1197,242
1.318,1174,1177,0,1451,1197,254
1.325,1175,1177,0,1446,1197,249
1.336,1174,1177,0,1444,1197,247
1.346,1174,1177,0,1441,1197,244
1.358,1174,1177,0,1436,1197,239
1.369,1181,1177,0,1445,1197,248
1.382,1172,1177,0,1413,1197,216
1.391,1175,1177,0,1386,1197,189
1.402,1174,1177,0,1310,1197,113
1.411,1182,1177,0,1233,1197,0
1.422,1175,1177,0,1212,1197,0
1.431,1171,1177,0,1201,1197,0
1.443,1173,1177,0,1197,1197,0
1.453,1179,1177,0,1197,1197,0
1.465,1179,1177,0,1199,1197,0
1.476,1176,1177,0,1195,1197,0
1.487,1173,1177,0,1197,1197,0
1.498,1175,1177,0,1200,1197,0
1.509,1176,1177,0,1199,1197,0
1.518,1174,1177,0,1196,1197,0
1.529,1180,1177,0,1205,1197,0
1.54,1173,1177,0,1205,1197,0
1.552,1181,1177,0,1220,1197,0
1.563,1177,1177,0,1271,1197,74
1.575,1176,1177,0,1296,1197,99
1.587,1179,1177,0,1305,1197,108
1.598,1178,1177,0,1317,1197,120
1.608,1173,1177,0,1315,1197,118
1.615,1182,1177,0,1327,1197,130
1.626,1179,1177,0,1320,1197,123
1.637,1174,1177,0,1319,1197,122
1.646,1180,1177,0,1328,1197,131
1.657,1175,1177,0,1322,1197,125
1.667,1179,1177,0,1329,1197,132
1.675,1177,1177,0,1323,1197,126
1.685,1183,1177,0,1332,1197,135
1.696,1178,1177,0,1325,1197,128
1.707,1182,1177,0,1326,1197,129
1.717,1177,1177,0,1333,1197,136
1.728,1182,1177,0,1323,1197,126
1.736,1177,1177,0,1328,1197,131
1.746,1176,1177,0,1328,1197,131
1.756,1181,1177,0,1332,1197,135
1.765,1177,1177,0,1330,1197,133
1.778,1179,1177,0,1326,1197,129
1.79,1181,1177,0,1319,1197,122
1.802,1176,1177,0,1320,1197,123
1.814,1176,1177,0,1312,1197,115
1.827,1174,1177,0,1302,1197,105
1.841,1184,1177,0,1286,1197,89
1.849,1173,1177,0,1238,1197,41
1.86,1177,1177,0,1219,1197,0
1.871,1175,1177,0,1212,1197,0
1.881,1180,1177,0,1202,1197,0
1.892,1172,1177,0,1198,1197,0
1.903,1176,1177,0,1196,1197,0
1.913,1174,1177,0,1197,1197,0
1.925,1175,1177,0,1193,1197,0
1.935,1175,1177,0,1195,1197,0
1.945,1176,1177,0,1196,1197,0
1.955,1178,1177,0,1191,1197,0
1.964,1172,1177,0,1197,1197,0
1.976,1176,1177,0,1196,1197,0
1.988,1175,1177,0,1196,1197,0
1.996,1172,1177,0,1209,1197,0
2.005,1174,1177,0,1194,1197,0
2.013,1176,1177,0,1197,1197,0
2.025,1177,1177,0,1201,1197,0
2.037,1182,1177,0,1208,1197,0
2.047,1178,1177,0,1259,1197,62
2.055,1178,1177,0,1313,1197,116
2.066,1177,1177,0,1308,1197,111
2.076,1176,1177,0,1316,1197,119
2.087,1176,1177,0,1320,1197,123
2.097,1178,1177,0,1325,1197,128
2.107,1180,1177,0,1332,1197,135
2.119,1174,1177,0,1330,1197,133
2.131,1177,1177,0,1333,1197,136
2.141,1176,1177,0,1344,1197,147
2.15,1175,1177,0,1342,1197,145
2.161,1177,1177,0,1330,1197,133
2.17,1177,1177,0,1328,1197,131
2.181,1177,1177,0,1312,1197,115
2.189,1177,1177,0,1297,1197,100
2.199,1176,1177,0,1290,1197,93
2.21,1176,1177,0,1263,1197,66
2.224,1176,1177,0,1224,1198,0
2.236,1174,1177,0,1208,1198,0
2.247,1174,1177,0,1210,1198,0
2.258,1173,1177,0,1194,1198,0
2.27,1175,1176,0,1200,1198,0
2.283,1175,1176,0,1196,1198,0
2.292,1179,1176,0,1197,1198,0
2.305,1176,1176,0,1203,1198,0
2.315,1178,1176,0,1201,1198,0
2.324,1175,1176,0,1201,1198,0
2.332,1174,1176,0,1202,1198,0
2.34,1178,1176,0,1210,1198,0
2.349,1170,1176,0,1213,1198,0
2.357,1175,1176,0,1206,1198,0
2.365,1176,1176,0,1216,1198,0
2.373,1175,1176,0,1235,1198,0
2.382,1176,1176,0,1322,1198,124
2.392,1177,1176,0,1457,1198,259
2.402,1182,1176,0,1470,1198,272
2.411,1171,1176,0,1471,1198,273
2.42,1175,1176,0,1468,1198,270
2.427,1176,1176,0,1472,1198,274
2.434,1177,1176,0,1484,1198,286
2.442,1172,1176,0,1483,1198,285
2.448,1183,1176,0,1476,1198,278
2.455,1173,1176,0,1480,1198,282
2.463,1176,1176,0,1479,1198,281
2.472,1171,1176,0,1474,1198,276
2.48,1177,1176,0,1477,1198,279
2.487,1174,1176,0,1480,1198,282
2.493,1180,1176,0,1477,1198,279
2.501,1172,1176,0,1473,1198,275
