# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
-0.524, 0, 0.00632583, -0.124775, -0.024906, 0.504233, 1.01419, 1.01801
-0.504, 0, 0.0127128, -0.123033, -0.0265868, 1.22047, 1.29878, 1.23766
-0.484, 0, 0.0181218, -0.119702, -0.0302234, 1.65404, 1.63303, 1.27968
-0.464, 0, 0.0159215, -0.118449, -0.0348073, 1.52989, 1.9157, 1.11542
-0.444, 0, 0.0108181, -0.119518, -0.0361519, 1.52034, 1.88705, 0.995095
-0.424, 0, 0.00421722, -0.120832, -0.0333405, 1.86031, 1.70751, 1.1498
-0.404, 0, 0.0011307, -0.12178, -0.0297039, 2.38746, 1.25867, 1.57955
-0.384, 0, 0.000825108, -0.120863, -0.0263423, 2.86496, 0.69523, 1.71324
-0.364, 0, 0.00116126, -0.118785, -0.0288482, 2.97574, 0.190997, 1.4745
-0.344, 0, 0.00345323, -0.111359, -0.0335544, 3.50671, -0.175717, 1.37709
-0.324, 0, 0.00427834, -0.103964, -0.0373438, 3.31571, -0.305595, 1.56427
-0.304, 0, 0.00736485, -0.110198, -0.0316902, 1.15553, -0.00763989, 1.54517
-0.284, 0, 0.000550072, -0.13379, -0.0323014, -0.496593, -0.853757, 1.05048
-0.264, 0, -0.00715093, -0.141919, -0.0268313, 1.28923, -2.37791, 0.884317
-0.244, 0, 0.00110014, -0.123155, -0.0381994, 3.69771, -2.92226, 0.397274
-0.224, 0, 0.00381994, -0.112704, -0.0390245, 3.75691, -2.90125, -0.387724
-0.204, 0, 9.16786e-05, -0.114018, -0.0255783, 2.78474, -3.36155, -1.49551
-0.184, 0, -0.00470617, -0.136387, -0.00864835, 0.741069, -4.20767, -3.58693
-0.174, 0, -0.0101458, -0.16114, -6.11191e-05, -0.760169, -4.93537, -5.85024
-0.154, 0, -0.0106958, -0.183174, -0.000733429, -0.133698, -4.89144, -7.53484
-0.134, 0, -0.00238364, -0.171133, 0.00244476, 4.5591, -3.80466, -5.89417
-0.114, 0, 0.00556184, -0.137976, 0.0138129, 6.36785, -4.58775, -1.39237
-0.094, 0, 0.00330043, -0.1267, 0.0170522, 3.63659, -6.14247, 2.37409
-0.074, 0, 0.00152798, -0.140116, 0.0106347, -0.064939, -6.71737, 3.16864
-0.054, 0, 0.00678422, -0.140635, 0.00797604, -0.69714, -6.47289, 3.64805
-0.034, 0, 0.0146686, -0.12505, 0.00171133, -0.164258, -5.51027, 4.31654
-0.014, 0, 0.0165633, -0.107447, -0.000458393, -0.190997, -4.74055, 4.19812
0.006, 0, 0.0120099, -0.102955, 0.00308651, -1.2644, -4.06442, 3.35964
0.026, 0, 0.0107875, -0.101702, 0.00259756, -1.4554, -2.4142, 2.17737
0.046, 0, 0.0135073, -0.109098, 0.000336155, -1.37518, -1.82975, 1.37327
0.066, 0, 0.0101458, -0.111328, -0.000122238, -0.540522, -1.46686, 0.958806
0.086, 0, 0.00281148, -0.109739, -0.00718149, -0.150888, -1.09823, 0.6895
0.106, 0, -0.00296428, -0.114384, -0.00449225, -0.317055, -1.33316, 0.171897
0.126, 0, -0.0038505, -0.122055, -0.00174189, -0.563442, -1.78582, -0.492773
0.146, 0, 0.00183357, -0.127342, -0.00479785, -0.601641, -1.88132, -0.916786
0.166, 0, 0.0055924, -0.130306, -0.00336155, -0.64366, -1.9157, -0.863307
0.186, 0, 0.00458393, -0.130336, -0.00103902, -0.542432, -2.16018, -0.565352
0.206, 0, 0.00171133, -0.127953, -0.00339211, -0.473673, -2.26714, -0.385814
0.226, 0, 0.00125294, -0.126639, -0.00748709, -0.827018, -2.07232, -0.414464
0.246, 0, 0.00216973, -0.127128, -0.0101458, -1.10205, -1.79537, -0.496593
0.266, 0, 0.00485897, -0.123002, -0.012835, -0.981725, -1.54517, -0.582541
0.286, 0, 0.00507288, -0.117196, -0.015677, -0.953076, -1.27013, -0.729609
0.306, 0, -0.000152798, -0.11304, -0.0177245, -1.20519, -1.14407, -0.870947
0.316, 0, -0.00204749, -0.110503, -0.0201082, -1.75717, -1.10396, -1.10969
0.336, 0, -0.00351435, -0.113315, -0.0214222, -2.56509, -1.18418, -1.33889
0.356, 0, -0.00504232, -0.119488, -0.0216362, -3.16482, -1.44203, -1.54899
0.376, 0, -0.00806772, -0.121596, -0.0265257, -3.15527, -1.73616, -1.63112
0.396, 0, -0.00840387, -0.127158, -0.0293677, -3.03876, -2.26332, -1.66359
0.416, 0, -0.00730373, -0.128839, -0.0316597, -2.56509, -3.06168, -1.8202
0.436, 0, -0.00403386, -0.131131, -0.032607, -2.23658, -3.53345, -1.70178
0.456, 0, 0.000519512, -0.130153, -0.0336155, -1.55854, -3.8314, -1.50315
0.476, 0, 0.00547016, -0.1267, -0.0331265, -0.807918, -3.87533, -1.38091
0.496, 0, 0.00880115, -0.124561, -0.0347462, -0.171897, -3.66906, -1.38664
0.516, 0, 0.0115209, -0.12288, -0.0340128, 0.458393, -3.15718, -1.3217
0.536, 0, 0.0126822, -0.119304, -0.0329737, 1.00465, -2.36836, -1.13452
0.556, 0, 0.0126517, -0.113345, -0.0342267, 1.13261, -1.64449, -1.05048
0.576, 0, 0.0112459, -0.107142, -0.0334321, 0.903417, -1.06003, -1.18609
0.596, 0, 0.00883171, -0.102374, -0.03441, 0.597821, -0.634111, -1.57955
0.616, 0, 0.00663142, -0.105125, -0.0366409, -0.0477493, -0.466033, -2.17928
0.636, 0, 0.00742597, -0.112184, -0.0378633, -0.0954986, -0.120328, -2.67014
0.656, 0, 0.011032, -0.127097, -0.0316291, 0.376264, 0.947346, -2.53453
0.676, 0, 0.0201387, -0.139474, -0.0301928, 1.43057, 1.99783, -1.56809
0.696, 0, 0.0147297, -0.123216, -0.0314152, 3.0273, 2.22703, -0.339975
0.716, 0, 0.00987073, -0.125966, -0.0271063, 1.52798, 2.25568, 0.278856
0.736, 0, 0.0127433, -0.13382, -0.0128044, 1.33316, 2.46959, 1.37327
0.756, 0, 0.0158604, -0.131559, -0.01256, 1.61584, 2.69306, 2.0112
0.776, 0, 0.0227974, -0.13217, -0.01256, 1.41911, 2.73508, 1.96536
0.796, 0, 0.0284204, -0.131253, -0.00843443, 1.24721, 2.84204, 1.57191
0.806, 0, 0.0249671, -0.129848, -0.00611191, 0.786908, 3.09033, 1.21092
0.826, 0, 0.0191303, -0.135959, -0.00281148, -0.240656, 3.44559, 1.1116
0.846, 0, 0.015891, -0.152798, 0.00889283, -1.28541, 3.49143, 1.78582
0.866, 0, 0.010268, -0.165663, 0.0116432, -1.21283, 2.84204, 2.57273
0.886, 0, 0.00718149, -0.157687, 0.00550072, 0.723879, 2.11625, 1.76099
0.906, 0, 0.0109403, -0.131773, 0.00168077, 2.31107, 1.73425, -0.0420194
0.926, 0, 0.0155548, -0.118816, -0.0054396, 1.93671, 1.80301, -1.85076
0.946, 0, 0.0183968, -0.115209, -0.00736485, 0.65512, 1.61011, -2.97192
0.966, 0, 0.0119182, -0.11634, -0.00204749, -0.347615, 1.17654, -2.89552
0.986, 0, 0.00562296, -0.115576, 0.00345323, -0.215827, 0.443113, -2.1831
1.006, 0, 0.00620359, -0.107631, 0.00553128, 0.351435, -0.422104, -1.39046
1.026, 0, 0.0117349, -0.107081, 0.00363659, 0.181447, -0.991275, -0.70287
1.046, 0, 0.0163494, -0.109984, 0.00247532, -0.341885, -1.07913, -0.246386
1.066, 0, 0.0197415, -0.116371, 0.00589799, -1.07913, -0.758259, 0.0171897
