# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
0.0202135, 0, 0.009333, -0.10309, 0.07198, -0.004375, 0.065625, -0.120312
0.040427, 0, 0.0094855, -0.102693, 0.0717665, 0.0284375, 0.0896875, -0.1225
0.0606405, 0, 0.0094245, -0.10248, 0.071675, 0.021875, 0.065625, -0.105
0.080854, 0, 0.009516, -0.102602, 0.071858, -0.00875, 0.048125, -0.07
0.101067, 0, 0.009333, -0.102602, 0.071919, 0.013125, 0.0240625, -0.0459375
0.121281, 0, 0.009394, -0.102449, 0.072163, 0.0875, 0.013125, -0.0590625
0.141494, 0, 0.010126, -0.102449, 0.0725595, 0.137812, 0.035, -0.0896875
0.161708, 0, 0.0101565, -0.102571, 0.0725595, 0.13125, 0.0503125, -0.107188
0.181921, 0, 0.0093635, -0.102541, 0.072773, 0.0853125, 0.0065625, -0.091875
0.202135, 0, 0.008967, -0.10306, 0.072895, 0.06125, -0.06125, -0.0721875
0.222348, 0, 0.0086925, -0.103395, 0.0726205, 0.0590625, -0.074375, -0.056875
0.242562, 0, 0.0089365, -0.103243, 0.072224, 0.0765625, -0.0765625, -0.083125
0.262775, 0, 0.008906, -0.102846, 0.072224, 0.07875, -0.0634375, -0.11375
0.282989, 0, 0.0091805, -0.102389, 0.072346, 0.07, -0.0328125, -0.126875
0.303202, 0, 0.009028, -0.102327, 0.0721325, 0.0765625, 0.004375, -0.1225
0.323416, 0, 0.0091195, -0.101839, 0.072407, 0.115938, 0.0371875, -0.111562
0.343629, 0, 0.009272, -0.102022, 0.072651, 0.135625, 0.0525, -0.11375
0.363843, 0, 0.009577, -0.102358, 0.0724985, 0.153125, 0.048125, -0.120312
0.384056, 0, 0.0097295, -0.102144, 0.072041, 0.1575, 0.02625, -0.118125
0.40427, 0, 0.009516, -0.102083, 0.072285, 0.126875, 0.0021875, -0.0940625
0.424483, 0, 0.0093025, -0.102663, 0.072834, 0.09625, -0.039375, -0.0809375
0.444697, 0, 0.009394, -0.10309, 0.0726815, 0.11375, -0.0809375, -0.0984375
0.46491, 0, 0.0093635, -0.102663, 0.072163, 0.1575, -0.102812, -0.105
0.485124, 0, 0.0097905, -0.102206, 0.072773, 0.168437, -0.0896875, -0.07875
0.505337, 0, 0.0102785, -0.101839, 0.0735355, 0.164062, -0.0525, -0.048125
0.525551, 0, 0.0105835, -0.101809, 0.0736575, 0.170625, -0.07, -0.0634375
0.545765, 0, 0.010431, -0.1019, 0.073261, 0.179375, -0.129063, -0.09625
0.565978, 0, 0.010248, -0.101992, 0.0726205, 0.175, -0.16625, -0.105
0.586191, 0, 0.010309, -0.10187, 0.072407, 0.137812, -0.11375, -0.107188
0.606405, 0, 0.010248, -0.101931, 0.0723155, 0.115938, -0.0940625, -0.118125
