x0,x1,x2,x3,x4,x5
1187,1180,0,1204,1198,0
1185,1180,0,1195,1198,0
1183,1180,0,1195,1198,0
1185,1180,0,1197,1198,0
1185,1180,0,1199,1198,0
1185,1180,0,1202,1198,0
1183,1180,0,1199,1198,0
1186,1180,0,1198,1198,0
1182,1180,0,1196,1198,0
1183,1180,0,1199,1198,0
1183,1180,0,1197,1198,0
1183,1180,0,1198,1198,0
1187,1180,0,1199,1198,0
1188,1180,0,1193,1198,0
1190,1180,0,1206,1198,0
1196,1180,0,1197,1198,0
1209,1180,0,1196,1198,0
1213,1181,0,1202,1198,0
1221,1181,0,1199,1198,0
1227,1181,46,1199,1198,0
1236,1181,55,1196,1198,0
1232,1181,51,1206,1198,0
1230,1181,49,1205,1198,0
1235,1181,54,1201,1198,0
1237,1181,56,1203,1198,0
1230,1181,49,1203,1198,0
1226,1181,45,1211,1198,0
1224,1181,43,1207,1198,0
1218,1181,0,1195,1198,0
1213,1181,0,1203,1198,0
1210,1181,0,1199,1198,0
1201,1181,0,1200,1198,0
1185,1181,0,1202,1198,0
1184,1181,0,1197,1198,0
1179,1181,0,1194,1198,0
1178,1181,0,1191,1198,0
1182,1181,0,1196,1198,0
1179,1181,0,1197,1198,0
1181,1181,0,1196,1198,0
1179,1181,0,1192,1198,0
1182,1181,0,1194,1198,0
1181,1181,0,1200,1198,0
1178,1181,0,1197,1198,0
1180,1181,0,1195,1198,0
1184,1181,0,1202,1198,0
1181,1181,0,1197,1198,0
1186,1181,0,1197,1198,0
1190,1181,0,1198,1198,0
1196,1181,0,1199,1198,0
1209,1181,0,1201,1198,0
1202,1181,0,1203,1198,0
1211,1181,0,1207,1198,0
1213,1182,0,1200,1198,0
1216,1182,0,1202,1198,0
1215,1182,0,1204,1198,0
1224,1182,42,1201,1198,0
1216,1182,0,1208,1198,0
1216,1182,0,1196,1198,0
1215,1182,0,1200,1198,0
1218,1182,0,1208,1198,0
1214,1182,0,1206,1198,0
1215,1183,0,1205,1198,0
1217,1183,0,1209,1198,0
1211,1183,0,1206,1198,0
1214,1183,0,1202,1198,0
1208,1183,0,1205,1199,0
1198,1183,0,1198,1199,0
1193,1183,0,1203,1199,0
1182,1183,0,1195,1199,0
1184,1183,0,1199,1199,0
1184,1183,0,1195,1198,0
1181,1183,0,1199,1198,0
1183,1183,0,1191,1198,0
1186,1183,0,1198,1198,0
1184,1183,0,1197,1198,0
1188,1183,0,1190,1198,0
1179,1183,0,1199,1198,0
1186,1183,0,1194,1198,0
1187,1183,0,1205,1198,0
1191,1183,0,1199,1198,0
1180,1183,0,1194,1198,0
1181,1183,0,1199,1198,0
1180,1183,0,1196,1198,0
1183,1183,0,1195,1198,0
1189,1183,0,1198,1198,0
1181,1183,0,1192,1198,0
1182,1183,0,1207,1198,0
1182,1183,0,1200,1198,0
1185,1183,0,1205,1198,0
1188,1183,0,1206,1198,0
1198,1183,0,1217,1198,0
1202,1183,0,1206,1199,0
1193,1183,0,1208,1199,0
1202,1183,0,1211,1199,0
1195,1183,0,1209,1199,0
1197,1183,0,1210,1199,0
1195,1184,0,1215,1199,0
1197,1184,0,1219,1199,0
1196,1184,0,1211,1199,0
1196,1184,0,1220,1199,0
1200,1184,0,1210,1199,0
1201,1184,0,1211,1199,0
1202,1184,0,1216,1199,0
1198,1184,0,1214,1199,0
1197,1184,0,1220,1199,0
1200,1184,0,1213,1199,0
1204,1184,0,1221,1199,0
1200,1184,0,1214,1199,0
1200,1184,0,1212,1199,0
1202,1184,0,1212,1199,0
1202,1184,0,1215,1200,0
1198,1184,0,1212,1200,0
1199,1184,0,1214,1200,0
1194,1184,0,1212,1200,0
1197,1184,0,1215,1200,0
1196,1185,0,1210,1200,0
1194,1185,0,1216,1200,0
1195,1185,0,1207,1200,0
1194,1185,0,1216,1200,0
1193,1185,0,1212,1200,0
1192,1185,0,1204,1200,0
1193,1185,0,1208,1200,0
1183,1185,0,1207,1200,0
1191,1185,0,1205,1200,0
1181,1185,0,1201,1200,0
1179,1185,0,1197,1200,0
1181,1185,0,1201,1200,0
1184,1185,0,1207,1200,0
1182,1185,0,1198,1200,0
1180,1185,0,1203,1200,0
1186,1185,0,1203,1200,0
1181,1185,0,1198,1200,0
1180,1185,0,1200,1200,0
1182,1185,0,1197,1200,0
1182,1185,0,1199,1200,0
1183,1185,0,1201,1200,0
1185,1185,0,1194,1200,0
1180,1184,0,1197,1200,0
1185,1184,0,1195,1200,0
1180,1184,0,1206,1200,0
1191,1184,0,1199,1200,0
1180,1184,0,1200,1200,0
1184,1184,0,1204,1200,0
1184,1184,0,1196,1200,0
1185,1184,0,1206,1200,0
1193,1185,0,1213,1200,0
1194,1185,0,1213,1200,0
1195,1185,0,1217,1200,0
1192,1185,0,1215,1200,0
1194,1185,0,1213,1200,0
1193,1185,0,1213,1200,0
1202,1185,0,1213,1200,0
1195,1185,0,1214,1200,0
1191,1185,0,1214,1200,0
1194,1185,0,1216,1200,0
1192,1185,0,1213,1201,0
1194,1185,0,1213,1201,0
1195,1185,0,1214,1201,0
1192,1185,0,1215,1201,0
1189,1185,0,1213,1201,0
1186,1185,0,1203,1201,0
1179,1185,0,1200,1201,0
1180,1185,0,1197,1201,0
1188,1185,0,1197,1201,0
1182,1185,0,1202,1201,0
1180,1185,0,1196,1201,0
1185,1185,0,1200,1201,0
1177,1185,0,1193,1201,0
1179,1185,0,1203,1201,0
1179,1185,0,1190,1201,0
1177,1185,0,1197,1201,0
1181,1185,0,1194,1200,0
1181,1185,0,1195,1200,0
1180,1185,0,1195,1200,0
1179,1185,0,1196,1200,0
1177,1185,0,1193,1200,0
1178,1185,0,1204,1200,0
1179,1185,0,1201,1200,0
1189,1185,0,1196,1200,0
1188,1185,0,1205,1200,0
1197,1185,0,1202,1200,0
1218,1185,0,1201,1200,0
1219,1185,0,1197,1200,0
1223,1185,0,1200,1200,0
1228,1185,43,1197,1200,0
1232,1185,47,1199,1200,0
1228,1185,43,1203,1200,0
1236,1185,51,1199,1200,0
1227,1185,42,1198,1200,0
1228,1185,43,1196,1200,0
1221,1185,0,1212,1200,0
1223,1185,0,1198,1200,0
1224,1185,0,1202,1200,0
1204,1185,0,1198,1200,0
1198,1186,0,1203,1200,0
1194,1186,0,1197,1200,0
1186,1186,0,1202,1200,0
1190,1186,0,1194,1200,0
1190,1186,0,1197,1200,0
1193,1186,0,1198,1200,0
1178,1186,0,1196,1200,0
1181,1186,0,1188,1200,0
1181,1186,0,1196,1200,0
1189,1186,0,1200,1200,0
1181,1186,0,1194,1200,0
1189,1186,0,1196,1200,0
1196,1186,0,1192,1200,0
1211,1186,0,1198,1200,0
1249,1186,63,1199,1200,0
1383,1186,197,1198,1200,0
1413,1186,227,1193,1200,0
1419,1186,233,1198,1200,0
1431,1186,245,1193,1200,0
1430,1186,244,1198,1200,0
1430,1186,244,1198,1200,0
1433,1186,247,1195,1200,0
1433,1186,247,1198,1200,0
1431,1186,245,1202,1200,0
1429,1186,243,1197,1200,0
1432,1186,246,1197,1200,0
1426,1186,240,1198,1200,0
1409,1186,223,1198,1200,0
1382,1186,196,1199,1200,0
1268,1186,82,1199,1200,0
1211,1186,0,1194,1200,0
1198,1186,0,1196,1200,0
1193,1186,0,1197,1200,0
1199,1186,0,1196,1200,0
1193,1186,0,1197,1200,0
1192,1186,0,1195,1200,0
1192,1186,0,1193,1200,0
1189,1186,0,1199,1200,0
1190,1186,0,1195,1200,0
1190,1186,0,1204,1200,0
1190,1186,0,1194,1200,0
1189,1186,0,1198,1200,0
1190,1186,0,1200,1200,0
1191,1186,0,1197,1200,0
1195,1186,0,1191,1200,0
1198,1186,0,1194,1200,0
1207,1186,0,1195,1200,0
1215,1186,0,1189,1200,0
1232,1186,46,1193,1199,0
1280,1186,94,1194,1199,0
1399,1186,213,1194,1199,0
1444,1186,258,1196,1199,0
1460,1186,274,1190,1199,0
1464,1186,278,1191,1199,0
1460,1186,274,1193,1199,0
1463,1186,277,1191,1199,0
1469,1186,283,1196,1199,0
1473,1186,287,1197,1199,0
1468,1186,282,1192,1199,0
1469,1186,283,1194,1199,0
1464,1186,278,1198,1199,0
1461,1186,275,1197,1199,0
1424,1186,238,1200,1199,0
1260,1186,74,1191,1199,0
1203,1186,0,1193,1199,0
1192,1186,0,1197,1199,0
