# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, 2.474, 2.53691, 2.61196, 2.42135, 1.74842, 1.06693, 1.20056, 1.69356, 1.49672, 0.719605, 1.10941, 0.651899, 0.900309, 1.64363, 1.2735, 0.848439, 0.105206, -0.405973, -0.211599, 0.0511962
0.24, 0.0319375, 1.42997, 1.8665, 3.04698, 2.70156, 1.61794, 1.55076, 1.22602, 1.81617, 1.85291, 0.694587, 0.962986, 0.68071, 0.681329, 1.55434, 1.16189, 0.988353, 0.392207, -0.195213, 0.0516086, 0.194346
0.25, 0.0319375, 2.04852, 2.35232, 2.68294, 2.39605, 1.07775, 1.07492, 1.23045, 1.77605, 1.82596, 0.948181, 0.830986, 0.854541, 0.863256, 1.45684, 0.987621, 0.944983, 0.261344, -0.165031, -0.0304184, 0.269801
0.26, 0.0319375, 2.16624, 2.41622, 2.64939, 2.13321, 1.48766, 1.13367, 1.29303, 1.79942, 1.8271, 1.07641, 0.94297, 0.814831, 0.645615, 1.46648, 1.0946, 0.843998, 0.154027, -0.380454, -0.00946192, 0.394387
0.27, 0.0319375, 2.47607, 2.46791, 2.62092, 2.17118, 1.62517, 1.42261, 0.74811, 1.48555, 1.65234, 1.27896, 0.980884, 0.630399, 0.654433, 1.55223, 1.03651, 0.812407, 0.0862336, -0.461293, -0.118818, 0.347421
0.28, 0.0319375, 2.77258, 2.52994, 2.55431, 2.05911, 1.72329, 1.35586, 0.890299, 1.23554, 1.3837, 1.0653, 0.933966, 0.419728, 0.564274, 1.34144, 1.06268, 0.457025, -0.21771, -0.450472, -0.191474, 0.287967
0.29, 0.0319375, 2.3409, 2.01098, 2.5447, 1.96421, 1.64518, 1.59778, 1.25132, 1.05791, 0.9345, 0.79042, 0.821276, 0.429231, 0.211225, 1.25822, 1.39607, 0.745955, 0.161332, -0.394628, -0.392449, 0.0156894
0.3, 0.0319375, 2.45526, 2.35726, 2.0146, 1.63806, 1.52507, 1.78128, 1.71213, 1.50681, 1.67983, 0.719099, 0.779107, 0.635073, 0.37312, 0.986639, 1.1887, 0.806818, 0.277413, -0.252009, -0.517846, -0.095812
0.31, 0.0319375, 2.97431, 3.03072, 2.23989, 2.09489, 1.83555, 1.3993, 1.72183, 1.78206, 1.55378, 1.04846, 0.489777, 0.732243, 0.416727, 1.22659, 1.52896, 0.861906, 0.106812, -0.134309, -0.451882, -0.0726621
0.32, 0.0319375, 2.69963, 2.76919, 2.62373, 2.42445, 1.78097, 1.38459, 1.79117, 1.73995, 1.73706, 1.38169, 0.76705, 0.565827, 0.169734, 0.773829, 1.13522, 0.878964, 0.243712, 0.00215774, 0.0845724, 0.00913063
0.33, 0.0319375, 2.28159, 2.21105, 2.79903, 2.30939, 2.24001, 1.71713, 1.68785, 2.10415, 1.58239, 1.04405, 0.930477, 0.774274, 0.607538, 1.16126, 1.09923, 0.803732, 0.271622, -0.212083, -0.138491, -0.105355
0.34, 0.0319375, 2.73885, 2.32146, 1.98395, 2.38995, 2.27937, 1.33751, 1.532, 2.04303, 1.33319, 1.56723, 1.26196, 0.539851, 0.732368, 1.02638, 1.05469, 1.03894, 0.355246, -0.360188, -0.31487, -0.0576452
