# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0, 0.0319375, 0.0494004, -0.201773, -1.21835, -1.17078, -1.35148, -1.68869, -1.30493, -1.40807, -2.24389, -2.6163, -3.22158, -3.75362, -3.92497, -4.12284, -4.13415, -4.17773, -4.17725, -4.34121, -4.08237, -4.15506
0.01, 0.0319375, -0.147994, -0.688134, -1.39565, -1.35118, -1.65398, -1.86684, -1.38087, -1.42819, -2.04025, -2.68393, -2.775, -3.43966, -4.075, -4.26867, -3.8513, -4.0805, -3.9558, -3.94558, -4.05305, -4.30148
0.02, 0.0319375, 0.444782, -0.511383, -1.55216, -1.64889, -1.84258, -1.7521, -1.44853, -1.53381, -2.11862, -2.38598, -2.95732, -3.55635, -3.8598, -4.33308, -4.04969, -4.11087, -4.32691, -4.09086, -4.02609, -4.07135
0.03, 0.0319375, -0.28246, -1.026, -1.42559, -1.43919, -1.39877, -1.56254, -1.5484, -1.35424, -2.09208, -2.81783, -3.00655, -3.74903, -3.78569, -4.51999, -4.34408, -4.23972, -4.21467, -4.36741, -3.94595, -4.09364
0.04, 0.0319375, -0.361439, -0.519308, -1.04955, -1.35916, -1.11145, -1.5446, -1.96515, -1.63842, -1.89371, -2.35986, -2.89646, -3.20626, -3.77951, -4.56435, -4.18642, -4.28133, -4.241, -4.22312, -3.82737, -3.5095
0.05, 0.0319375, 0.375875, -0.237531, -1.18496, -1.64472, -2.12488, -1.81142, -1.5528, -1.1071, -1.74338, -2.22927, -2.8744, -3.36706, -3.98426, -4.31285, -4.06731, -4.464, -4.25047, -3.70249, -3.61291, -3.04677
0.06, 0.0319375, 0.292928, -0.580085, -1.36356, -1.35648, -1.48659, -1.54598, -1.60546, -1.50756, -2.28365, -2.37366, -2.97138, -3.66765, -4.16948, -4.31312, -3.92528, -4.22106, -4.18121, -3.65632, -3.09314, -2.83589
0.07, 0.0319375, 0.236075, -0.975825, -1.55406, -1.4264, -1.38596, -1.68023, -1.60187, -1.66497, -2.14196, -2.66311, -2.95765, -3.44849, -3.95116, -4.31026, -3.80799, -4.19486, -4.12469, -3.57495, -3.01419, -2.71132
0.08, 0.0319375, -0.156276, -1.32834, -1.62184, -1.22044, -1.05569, -1.48334, -1.60254, -1.55765, -2.06075, -2.59519, -3.04784, -3.50481, -3.67509, -4.24027, -4.11666, -4.1255, -3.83626, -3.56999, -2.92526, -2.53481
0.09, 0.0319375, -0.25329, -1.01431, -1.40943, -0.960196, -1.2613, -1.66394, -1.26008, -1.55303, -1.91434, -2.54321, -3.09935, -3.68123, -3.86706, -4.1463, -4.01008, -4.0233, -3.67587, -2.992, -2.92048, -2.79286
0.1, 0.0319375, -0.0102882, -0.723634, -0.951331, -1.08881, -1.03561, -2.02493, -2.1602, -1.93671, -2.29998, -2.81402, -3.26575, -3.76473, -3.90404, -4.13481, -4.1256, -3.96722, -3.42618, -3.0903, -2.63694, -2.66242
0.11, 0.0319375, -0.0246739, -0.885129, -1.08215, -1.00237, -1.08021, -2.0059, -1.82974, -1.47829, -2.31518, -2.70953, -3.47971, -3.77671, -4.17424, -4.21415, -4.07393, -4.01105, -3.40742, -3.03067, -2.57279, -2.53701
0.12, 0.0319375, -0.194285, -0.779569, -1.7913, -1.59169, -1.57075, -2.43252, -1.63965, -1.51273, -1.98834, -2.95184, -3.16155, -3.61312, -4.5534, -4.40267, -3.82876, -4.09978, -3.49717, -3.05932, -2.63969, -2.73349
0.13, 0.0319375, 0.062301, -0.598972, -1.64663, -1.49729, -1.34441, -1.95787, -1.98286, -1.49432, -2.06287, -2.5488, -3.06985, -3.73591, -4.33601, -4.13166, -3.92135, -4.07782, -3.62756, -3.09482, -2.78634, -2.7371
0.14, 0.0319375, -0.148345, -0.836736, -1.8142, -2.18475, -1.39393, -1.96907, -1.90101, -1.63666, -2.26745, -2.57127, -2.85037, -3.65556, -4.16084, -4.13691, -3.93894, -4.22907, -3.90313, -3.39874, -3.15585, -3.20604
0.15, 0.0319375, -0.914516, -0.993977, -1.11103, -2.34662, -1.37661, -1.82231, -1.90882, -2.00239, -2.2923, -2.58962, -3.08561, -3.39024, -3.92605, -4.35322, -4.17909, -4.35916, -3.85114, -3.35883, -3.31403, -3.22501
0.16, 0.0319375, -0.416004, -0.752792, -1.42869, -2.1747, -1.67835, -1.80713, -2.34337, -1.93016, -2.34219, -2.71181, -3.36791, -3.51954, -4.11891, -4.40246, -4.29944, -4.31982, -3.93557, -3.67138, -3.49142, -3.40745
0.17, 0.0319375, -0.66891, -1.07166, -1.25439, -1.41248, -1.41325, -1.6555, -1.93526, -1.63082, -1.99838, -3.07299, -3.81408, -3.93191, -4.1918, -4.27051, -3.95043, -4.25174, -3.90528, -3.59918, -3.57472, -3.54643
0.18, 0.0319375, -0.556664, -0.989639, -0.944944, -1.13559, -1.47891, -1.90187, -2.04866, -1.71275, -1.88531, -2.96716, -3.58348, -3.92238, -3.98666, -3.70544, -3.58924, -3.71382, -3.64083, -3.43054, -3.52738, -3.40882
0.19, 0.0319375, -0.616975, -1.21703, -1.56312, -1.42838, -1.51216, -1.68347, -2.13073, -1.11114, -1.68015, -2.58359, -3.15388, -3.76282, -4.41963, -4.0824, -3.47462, -3.80004, -3.63412, -3.64547, -3.72302, -3.66725
0.2, 0.0319375, -0.185611, -0.510135, -1.57732, -1.67062, -1.81987, -1.75934, -1.76943, -0.795642, -1.85191, -2.61873, -2.97595, -3.56709, -4.25596, -4.05028, -3.75741, -3.8409, -3.83563, -3.93426, -3.87336, -3.73666
0.21, 0.0319375, 0.356928, -0.383551, -1.87946, -1.89638, -1.65885, -1.64202, -1.62007, -0.936416, -1.78984, -2.3833, -3.17563, -3.67732, -4.21117, -4.23772, -3.7509, -3.84367, -3.98185, -3.84057, -3.90846, -4.07421
0.22, 0.0319375, -0.0868372, -0.536221, -1.83723, -1.86943, -1.84561, -1.70894, -2.04286, -1.28171, -1.8251, -2.57193, -3.37212, -3.49697, -4.01975, -4.32419, -4.08578, -3.94749, -3.83628, -3.68439, -3.75985, -3.76239
0.23, 0.0319375, -0.140832, -0.339574, -1.20854, -1.73726, -1.60124, -1.80852, -1.92529, -1.08117, -1.7439, -2.65077, -3.34397, -3.49408, -4.18204, -4.34538, -3.97725, -3.93038, -3.9862, -3.79047, -3.73685, -3.70755
0.24, 0.0319375, 0.0784205, -0.369706, -0.935729, -1.17553, -1.62454, -2.10925, -1.86206, -1.91664, -2.09676, -2.68931, -3.18035, -3.74277, -4.46154, -4.39101, -4.05102, -3.85436, -3.62694, -3.12353, -3.26186, -3.54263
0.25, 0.0319375, -0.0706423, -0.271861, -0.941233, -1.50255, -1.29968, -1.51076, -2.08439, -1.79065, -1.91592, -2.55892, -3.37444, -3.40704, -4.07889, -4.12402, -4.15646, -4.09829, -3.96388, -3.57604, -3.48471, -3.69022
