Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.1939999999,0.4126760959,-0.9356110095,-0.023958683,0.5500718355,-0.9626256823,0.0916786342
-0.1739999999,0.415854305,-0.9319438934,-0.0205360148,0.0,-1.0848639011,0.1527977287
-0.154,0.4212327599,-0.9338997006,-0.0178467743,-0.2750359177,-1.0695841312,0.0611190907
-0.134,0.4185435175,-0.9343886375,-0.0217583961,-0.0152797726,-0.6875897645,-0.0763988643
-0.114,0.4136539995,-0.9356110095,-0.0200470611,-0.244476363,-0.4889527261,-0.1986370384
-0.0939999999,0.4148764014,-0.9392781853,-0.0227363016,-0.4278336465,-0.626470685,0.0
-0.074,0.4165877103,-0.9363444447,-0.0193136334,-0.5806313753,-0.4889527261,0.0
-0.054,0.415854305,-0.9375668764,-0.0244476366,-0.2139168232,-0.3514347672,0.0763988643
-0.034,0.4148764014,-0.936588943,-0.0224918257,-0.1527977287,-0.3972740769,0.1375179588
-0.014,0.4163432419,-0.9368334412,-0.0254255421,0.0,-0.4125538468,0.3361549973
0.006,0.413898468,-0.9361000061,-0.0210249666,-0.0916786342,-0.2750359177,0.1833572685
0.026,0.4119426608,-0.9336552023,-0.0215139202,-0.5195122957,-0.6111909151,0.2139168232
0.0459999999,0.4141429662,-0.9368334412,-0.022002872,-0.8862268328,-0.7945481538,0.1375179588
0.066,0.4151208698,-0.9336552023,-0.0173578225,-0.626470685,-0.8862268328,0.1527977287
0.0859999999,0.4153653383,-0.9331662654,-0.0264034476,-0.6723099946,-0.8251076936,0.1222381815
0.106,0.4146319031,-0.9356110095,-0.0237142071,-0.7487088441,-0.7181493043,0.0916786342
0.126,0.4163432419,-0.9358555078,-0.023958683,-0.626470685,-0.8251076936,0.0611190907
0.1459999999,0.4160987734,-0.9363444447,-0.0229807775,-0.3361549973,-0.8403875231,0.0916786342
0.166,0.4148764014,-0.9351220726,-0.0195581093,-0.2750359177,-0.7792683839,0.1069584116
0.1859999999,0.4163432419,-0.9353665709,-0.0227363016,-0.3667145371,-0.6723099946,0.1986370384
0.206,0.4146319031,-0.9336552023,-0.0217583961,-0.3055954575,-0.8251076936,0.1833572685
0.226,0.415854305,-0.9361000061,-0.0237142071,-0.3514347672,-0.855667293,0.1680774986
0.2359999999,0.4175656139,-0.9363444447,-0.0246921125,-0.2291965931,-0.763988614,0.0916786342
0.26,0.4185435175,-0.934877634,-0.0244476366,-0.2291965931,-0.5653516054,0.0458393171
0.28,0.4173211455,-0.934877634,-0.0222473498,-0.2903156876,-0.4889527261,0.0
0.3,0.4151208698,-0.9346331357,-0.0229807775,-0.5347920656,-0.4736729562,0.0305595453
0.32,0.4116981923,-0.9358555078,-0.0229807775,-0.7181493043,-0.2750359177,-0.0152797726
0.34,0.4099868535,-0.937811315,-0.0271368753,-0.5347920656,-0.4583931863,0.0611190907
0.3599999999,0.4136539995,-0.9395226836,-0.0234697312,-0.5347920656,-0.8251076936,0.0611190907
0.3799999999,0.4156098067,-0.937811315,-0.0212694443,-0.2597561478,-0.8403875231,0.0
0.4,0.4124316275,-0.9321883916,-0.0254255421,-0.1069584116,-1.1307032108,-0.0152797726
0.42,0.4146319031,-0.9358555078,-0.027381353,-0.5347920656,-1.1459829807,-0.0916786342
0.44,0.4129205644,-0.9387892484,-0.0242031607,-0.7945481538,-1.1459829807,-0.0763988643
0.46,0.4131650626,-0.9397671222,-0.0268923994,-0.1527977287,-1.4515783786,0.0458393171
0.4799999999,0.4141429662,-0.9326773285,-0.0246921125,-0.3361549973,-1.4821379184,0.0611190907
0.5,0.4190324842,-0.9351220726,-0.0251810643,-0.5500718355,-1.4668581485,0.2139168232
0.52,0.4180545806,-0.9329218268,-0.0242031607,-0.5806313753,-1.2682211399,0.0763988643
