# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29
0.32, 0.0319375, -3.96156, -4.76373, -4.49268, -5.41067, -5.12572, -5.57859, -4.95873, -5.14328, -4.99753, -4.42223, -4.45139, -4.62094, -4.9442, -5.00796, -5.13919, -4.6322, -4.52731, -5.09819, -4.9235, -4.71486, -5.06147, -4.81126, -5.18371, -5.02595, -5.148, -5.00678, -4.8265, -4.77682, -4.67806, -4.78022
0.34, 0.0319375, -3.52886, -4.94517, -6.53912, -5.10242, -4.38405, -4.46719, -4.56008, -4.64271, -4.62566, -5.27348, -5.31454, -4.46285, -4.0183, -4.40645, -4.5702, -5.0543, -4.37498, -3.84548, -4.41065, -4.10564, -4.29389, -4.15342, -3.94285, -4.06197, -4.34193, -4.11651, -4.30112, -3.99411, -4.06525, -4.17415
0.36, 0.0319375, -4.16621, -4.96563, -5.29188, -5.34921, -4.85499, -4.82146, -4.61125, -4.29762, -4.71943, -3.97001, -4.46338, -4.65866, -4.35809, -4.41309, -4.52192, -4.33122, -4.59201, -4.02979, -4.13201, -4.48478, -4.20481, -4.37618, -4.42318, -4.49671, -4.17567, -4.66534, -4.78567, -4.48213, -4.39732, -4.35591
0.38, 0.0319375, -3.66474, -5.12006, -4.85368, -4.99932, -4.52358, -4.99524, -4.95061, -4.4053, -4.32156, -4.62554, -4.70687, -4.67382, -4.64159, -4.83068, -4.21302, -4.64356, -4.56783, -4.51381, -4.571, -4.3474, -4.72201, -4.65354, -4.51611, -4.70627, -4.21971, -5.04461, -5.1589, -4.76397, -4.65003, -4.4586
0.4, 0.0319375, -4.23645, -3.99059, -4.69436, -5.56526, -4.77319, -4.38398, -4.5112, -4.3459, -4.13768, -4.72021, -4.24641, -4.42579, -4.45555, -4.36786, -4.65006, -4.88067, -4.783, -4.59658, -4.72849, -4.10449, -4.52436, -4.4643, -4.90603, -4.91166, -4.59105, -4.64234, -4.63587, -4.50917, -4.41312, -4.56967
0.42, 0.0319375, -3.40606, -3.61662, -4.42696, -4.5572, -4.37106, -4.25368, -4.26689, -4.53293, -4.63276, -4.74725, -4.40275, -4.20588, -4.52966, -4.32932, -4.17842, -4.22565, -4.38867, -4.46847, -4.05572, -4.37174, -4.29866, -4.5757, -4.53698, -4.30076, -4.49794, -4.78513, -4.81071, -4.64267, -4.76188, -4.82809
0.44, 0.0319375, -3.89128, -4.70982, -4.23234, -4.72869, -4.77983, -4.57469, -4.65659, -3.96732, -4.26639, -4.41239, -5.31975, -4.1409, -4.30202, -4.07087, -3.53517, -3.70468, -4.30877, -4.4289, -4.02339, -4.26774, -4.32967, -3.97889, -4.1771, -3.87457, -4.35354, -4.61891, -4.68589, -4.9756, -4.32051, -4.30697
0.46, 0.0319375, -4.77574, -4.5924, -4.68042, -4.78376, -4.5329, -4.62657, -4.66541, -4.54601, -4.50679, -5.06298, -4.546, -4.42756, -4.5625, -4.27676, -4.37481, -4.5992, -4.28277, -4.1012, -4.19612, -4.50374, -4.30267, -4.53488, -4.41626, -4.00716, -4.25026, -4.66794, -4.50808, -4.8066, -4.65036, -4.61241
0.48, 0.0319375, -4.08774, -3.82688, -4.1684, -4.56447, -4.37661, -4.46115, -4.19089, -4.44338, -4.2921, -4.54003, -4.58504, -3.80776, -4.02918, -3.8936, -3.99468, -4.13519, -4.57808, -4.42099, -3.89888, -4.36779, -4.0488, -4.21341, -4.10946, -4.32247, -4.4385, -3.87958, -4.11694, -4.17805, -3.65041, -3.59798
0.5, 0.0319375, -3.97609, -4.12507, -5.04564, -4.44239, -3.92154, -5.46577, -4.77792, -4.34801, -4.23852, -4.48899, -4.18373, -4.21901, -4.34835, -3.97605, -4.54934, -4.53769, -4.41664, -4.08742, -4.54781, -4.52691, -4.38573, -4.03304, -4.22347, -4.06674, -3.80972, -4.08195, -4.61171, -4.33654, -4.15596, -4.08998
0.52, 0.0319375, -3.56595, -3.99535, -4.35144, -4.42474, -4.4612, -4.24507, -4.26759, -4.14067, -3.95164, -4.20129, -4.55995, -4.44844, -4.16648, -3.86816, -4.51496, -4.30268, -3.91998, -4.27778, -4.18617, -4.47954, -4.36732, -3.96263, -4.21585, -4.35821, -4.2618, -4.06237, -4.39848, -4.23466, -4.04202, -4.56634
0.54, 0.0319375, -3.64758, -3.77405, -4.17218, -4.09888, -4.39804, -4.79572, -4.43978, -3.7824, -4.20035, -3.74566, -4.13735, -3.88707, -3.68766, -4.1148, -4.14529, -3.89412, -4.1053, -4.2496, -4.24347, -4.17763, -4.13627, -4.33724, -4.45077, -4.35914, -4.02099, -4.39561, -4.46694, -4.11178, -4.17127, -3.98554
0.56, 0.0319375, -4.24158, -4.72696, -4.48797, -4.4442, -3.88237, -4.22145, -4.00091, -3.4477, -3.96513, -4.20242, -4.17962, -3.59086, -3.74051, -4.00904, -4.53401, -4.09744, -3.81147, -4.07058, -4.29357, -4.29552, -3.86278, -3.97488, -4.41085, -4.39958, -4.40369, -4.055, -4.37286, -4.57137, -4.16029, -4.24758
0.58, 0.0319375, -3.61019, -3.56521, -4.33589, -4.57759, -4.5198, -4.12374, -4.02153, -4.17351, -4.38668, -5.45266, -4.30357, -3.75605, -3.75743, -4.08838, -4.23458, -4.05945, -3.73693, -4.0349, -3.93619, -4.15656, -4.22508, -4.1034, -3.79073, -3.89189, -4.32393, -4.79809, -4.69285, -4.55302, -4.55266, -4.54541
0.6, 0.0319375, -3.74062, -4.07591, -4.42556, -4.10067, -4.37918, -4.54606, -4.45771, -4.44466, -3.86877, -4.615, -5.28161, -4.15543, -3.70231, -3.99257, -4.49196, -3.79638, -3.92241, -4.14774, -3.95659, -3.99162, -3.89336, -3.71123, -3.69857, -3.97958, -4.14685, -4.58739, -4.3795, -4.33548, -4.28436, -4.02703
0.62, 0.0319375, -4.00161, -4.22026, -4.61489, -4.63406, -4.65924, -4.2687, -4.14031, -3.365, -3.76134, -3.80836, -4.39573, -4.8994, -3.66996, -3.38106, -3.75579, -3.78345, -3.77143, -3.24622, -3.49122, -3.92843, -3.78628, -3.41566, -3.10375, -3.41609, -3.67669, -3.87774, -3.87543, -3.71842, -4.06195, -4.17146
