# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
-0.644, 0, -0.00403386, -0.125844, -0.00571463, -0.366715, -0.483223, -0.0572991
-0.624, 0, -0.00281148, -0.125019, -0.00681478, -0.328515, -0.456483, -0.070669
-0.604, 0, -0.00299484, -0.12453, -0.00733429, -0.364805, -0.416374, 0.00381994
-0.584, 0, -0.00391162, -0.124805, -0.00690646, -0.443113, -0.425924, 0.101228
-0.564, 0, -0.00323931, -0.124989, -0.0068759, -0.403004, -0.548162, 0.171897
-0.544, 0, -0.00250588, -0.125569, -0.00739541, -0.359075, -0.630291, 0.215827
-0.524, 0, -0.00189469, -0.126333, -0.00782324, -0.355255, -0.555802, 0.227287
-0.504, 0, -0.00155854, -0.12615, -0.00791492, -0.338065, -0.422104, 0.229197
-0.484, 0, -0.00161966, -0.125875, -0.00806772, -0.408734, -0.336155, 0.169987
-0.464, 0, -0.000855667, -0.126639, -0.00849555, -0.467943, -0.221557, 0.108868
-0.444, 0, -0.000916786, -0.126455, -0.00932066, -0.464123, -0.0515692, 0.0954986
-0.424, 0, -0.0015891, -0.124744, -0.00962626, -0.324695, 0.0725789, 0.0362895
-0.404, 0, -0.00284204, -0.125783, -0.00919842, -0.355255, 0.158528, 0.0553892
-0.384, 0, -0.00418666, -0.127464, -0.0097485, -0.368625, 0.204367, 0.150888
-0.364, 0, -0.00470617, -0.127433, -0.0104514, -0.185267, 0.154708, 0.105048
-0.344, 0, -0.00492009, -0.126303, -0.0094429, 0.00954986, 0.106958, 0.0229197
-0.324, 0, -0.00498121, -0.126241, -0.00812884, 0.0458393, 0.00572991, -0.0439293
-0.304, 0, -0.00507288, -0.125875, -0.00910674, 0.162348, -0.118418, -0.0935886
-0.284, 0, -0.00681478, -0.127219, -0.00965682, 0.0878587, -0.229197, -0.0993185
-0.264, 0, -0.00669254, -0.128289, -0.00901507, 0.0592091, -0.282676, -0.0802188
-0.244, 0, -0.00485897, -0.125844, -0.00849555, 0.311325, -0.322785, -0.070669
-0.224, 0, -0.00452281, -0.124255, -0.0095957, 0.381994, -0.473673, -0.0229197
-0.204, 0, -0.00394218, -0.126303, -0.0100235, 0.288406, -0.569172, 0.0324695
-0.184, 0, -0.00308651, -0.127036, -0.0102069, 0.383904, -0.632201, 0.00190997
-0.174, 0, -0.00152798, -0.126058, -0.0102986, 0.527152, -0.66276, -0.064939
-0.154, 0, -0.000855667, -0.124989, -0.00941234, 0.607371, -0.595911, -0.0974085
-0.134, 0, -0.00106958, -0.124255, -0.00904563, 0.576811, -0.532882, -0.0171897
-0.114, 0, -0.000825108, -0.124683, -0.00965682, 0.546252, -0.574901, 0.101228
-0.094, 0, -0.00131406, -0.126578, -0.0106958, 0.487043, -0.616921, 0.194817
-0.074, 0, -0.00180301, -0.127831, -0.0104514, 0.487043, -0.595911, 0.148978
-0.054, 0, -0.0015891, -0.126028, -0.00990129, 0.572991, -0.490863, 0.0611191
-0.034, 0, -0.00183357, -0.123888, -0.00962626, 0.601641, -0.425924, -0.00190997
