# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, -5.53239, -5.49073, -5.97445, -5.67123, -5.67647, -6.02888, -6.4666, -6.36763, -6.49991, -6.35816, -6.2622, -6.05141, -6.31151, -6.57742, -6.60991, -6.2765, -6.42501, -6.21248, -6.0562, -5.98895
0.24, 0.0319375, -5.7154, -5.81545, -5.70667, -5.76888, -5.94512, -6.04718, -6.27059, -6.27392, -6.35676, -6.20774, -6.25525, -6.36306, -6.4808, -6.55669, -6.51885, -6.46242, -6.67173, -6.15545, -6.22488, -6.15793
0.25, 0.0319375, -5.80514, -5.35982, -5.30122, -5.55161, -5.76443, -5.685, -5.99395, -6.05451, -5.96994, -6.14515, -6.30044, -6.6209, -6.48176, -6.27976, -6.14893, -6.1317, -6.05111, -6.15261, -6.03918, -6.09672
0.26, 0.0319375, -5.29212, -5.26039, -5.2549, -5.64328, -5.35694, -5.39748, -6.08132, -5.70207, -5.72146, -5.9403, -6.64899, -6.2379, -6.30118, -6.22385, -6.25453, -6.07371, -6.12543, -6.05163, -5.75163, -5.75724
0.27, 0.0319375, -5.50749, -5.38175, -5.0178, -5.53974, -5.53039, -5.22005, -6.21099, -6.04232, -5.87087, -6.4894, -6.41852, -6.27406, -6.34544, -6.33385, -6.26295, -6.12493, -6.18854, -5.90924, -5.93511, -5.92789
0.28, 0.0319375, -5.35541, -5.12667, -5.08084, -5.60727, -5.62717, -5.29032, -6.03684, -6.11977, -5.87925, -6.22086, -6.04958, -6.08306, -6.26033, -6.21101, -5.9061, -5.99537, -5.98958, -5.87025, -5.78252, -5.71441
0.29, 0.0319375, -5.1142, -5.28093, -5.00108, -5.43328, -5.74844, -5.61195, -6.48533, -6.4935, -6.44051, -6.27848, -6.2498, -6.36595, -6.20992, -6.27583, -6.04482, -6.20299, -6.24935, -6.04304, -5.86014, -5.71416
0.3, 0.0319375, -5.1326, -5.15635, -5.02778, -5.38118, -5.44139, -5.28228, -5.84837, -6.14924, -5.98793, -6.13057, -6.52255, -6.34867, -5.94866, -5.92289, -6.18575, -6.14177, -6.05263, -6.0481, -5.8246, -5.7364
0.31, 0.0319375, -5.08723, -5.33734, -5.12098, -5.63201, -5.4887, -5.28865, -5.25616, -5.69498, -6.21819, -5.86504, -6.07035, -5.9975, -5.64479, -6.28612, -6.3841, -6.11673, -6.02329, -5.98145, -5.70938, -5.79769
0.32, 0.0319375, -5.24258, -5.20626, -5.21183, -5.62432, -5.70948, -5.56581, -5.33141, -5.77952, -6.20672, -5.98885, -5.92809, -5.90885, -5.83174, -6.06802, -6.13488, -6.18047, -6.26174, -5.9963, -5.80454, -5.77284
0.33, 0.0319375, -5.0424, -5.38019, -5.14002, -5.84978, -5.69244, -5.45601, -5.82534, -5.83304, -5.95024, -5.92591, -5.93582, -5.81969, -6.15401, -6.14802, -5.98034, -6.10797, -6.07408, -5.96128, -5.90775, -5.81282
0.34, 0.0319375, -5.50269, -5.01297, -4.97658, -5.97067, -5.80998, -5.5084, -6.00728, -6.00633, -5.96968, -6.03752, -6.34126, -5.95989, -5.93336, -6.02564, -5.91254, -6.03404, -5.97516, -5.91215, -5.74861, -5.68709
0.35, 0.0319375, -5.35293, -5.16062, -4.91184, -5.36533, -5.39796, -5.05144, -5.69461, -5.79834, -5.79956, -6.04757, -6.09603, -5.77487, -5.72295, -5.87211, -5.80481, -5.83521, -5.58275, -5.89283, -5.512, -5.45794
0.36, 0.0319375, -5.1906, -4.7803, -4.82273, -5.31876, -5.18818, -4.91671, -5.52929, -5.77134, -5.8344, -6.1635, -6.06415, -5.73001, -5.64191, -5.75781, -5.38826, -5.40088, -5.50038, -5.54039, -5.54038, -5.40323
0.37, 0.0319375, -5.33386, -4.42539, -4.40825, -4.89178, -5.596, -5.31128, -5.69762, -5.89338, -5.73254, -6.02772, -6.37483, -5.92786, -5.58849, -5.7592, -5.49697, -5.58882, -5.8266, -5.62823, -5.68371, -5.64612
0.38, 0.0319375, -5.48054, -5.55763, -4.67698, -5.12251, -5.56619, -5.49081, -5.63649, -5.77214, -5.6307, -5.72411, -6.20064, -6.34169, -5.99106, -5.74643, -5.74755, -5.7506, -5.81568, -5.83158, -5.63166, -5.50086
0.39, 0.0319375, -4.54413, -4.84339, -5.19729, -5.03331, -5.27206, -5.58298, -5.33208, -5.51462, -5.9552, -5.9163, -6.00839, -5.97437, -5.86836, -5.78949, -5.73592, -5.77754, -5.79894, -5.9197, -5.62484, -5.48186
0.4, 0.0319375, -4.95862, -5.24114, -5.21228, -5.07483, -5.06732, -5.46063, -5.61666, -5.48296, -5.96736, -5.68004, -6.03798, -5.56553, -5.60975, -5.70497, -5.4671, -5.81731, -5.72697, -5.67567, -5.62386, -5.49288
0.41, 0.0319375, -4.83723, -4.50628, -5.00449, -5.1602, -5.36266, -5.74034, -5.75578, -5.77217, -5.78419, -5.62145, -5.89506, -5.77139, -5.87206, -5.69104, -5.68395, -5.87299, -6.03519, -6.00196, -5.66029, -5.4549
0.42, 0.0319375, -4.77845, -4.73185, -4.87104, -5.18925, -5.55802, -5.54503, -5.9566, -5.57322, -5.7032, -6.12635, -6.26619, -5.83275, -6.02739, -6.03477, -5.72224, -5.57325, -5.89742, -5.76437, -5.57085, -5.69853
0.43, 0.0319375, -5.12235, -4.79764, -4.80956, -5.45401, -5.49676, -5.38995, -5.28388, -5.51171, -5.77312, -5.77482, -5.89731, -5.78667, -6.07211, -6.26153, -5.76551, -5.67202, -5.89762, -5.72606, -5.62627, -5.55341
0.44, 0.0319375, -5.12899, -4.77887, -5.02838, -5.38558, -5.22422, -4.93383, -5.17071, -5.37925, -5.46664, -5.59406, -5.6398, -5.5149, -5.54847, -5.05277, -5.0004, -5.60974, -5.79756, -5.70528, -5.59644, -5.66889
0.45, 0.0319375, -4.83736, -4.90563, -4.47899, -4.91584, -5.16243, -4.95674, -4.88373, -4.08098, -3.79606, -4.41947, -4.80236, -4.81054, -4.47995, -3.47441, -3.42745, -4.44317, -5.34853, -5.42013, -5.39227, -4.84791
0.46, 0.0319375, -4.85707, -4.5491, -4.45015, -4.93414, -5.30614, -5.40121, -5.75784, -4.61669, -4.46975, -5.08454, -5.59126, -5.71888, -5.31006, -4.23642, -4.19186, -5.24317, -5.77205, -5.8189, -5.88722, -5.35032
0.47, 0.0319375, -5.00424, -4.78924, -4.65192, -4.78834, -4.988, -5.10312, -5.77961, -5.66798, -5.77066, -5.51969, -5.90652, -5.9869, -5.63399, -5.51703, -5.69163, -5.90887, -6.11964, -5.89149, -5.93827, -5.71524
0.48, 0.0319375, -4.87926, -5.19876, -4.94515, -5.24467, -5.06641, -4.88919, -5.90135, -5.63441, -5.52447, -5.95019, -5.96242, -5.55948, -5.46325, -5.67763, -5.7353, -6.14185, -5.9448, -6.0317, -5.87499, -5.69762
0.49, 0.0319375, -4.74965, -5.06553, -5.21785, -4.85759, -5.14037, -5.61306, -5.61224, -5.64924, -5.54215, -5.8148, -6.28689, -5.63962, -5.76858, -5.62558, -5.76791, -6.03559, -6.03461, -5.89869, -5.57898, -5.68414
0.5, 0.0319375, -4.76945, -4.83603, -4.71218, -4.8635, -4.85892, -5.4257, -5.27938, -5.67181, -5.95561, -6.04216, -6.05072, -5.74135, -5.95941, -5.81922, -5.85132, -6.01374, -6.02648, -5.81312, -5.63564, -5.53379
0.51, 0.0319375, -4.99126, -4.51536, -4.78826, -5.56627, -4.93292, -4.74923, -5.61297, -6.08483, -6.0083, -5.71851, -6.00063, -5.5987, -5.67815, -6.25387, -5.6759, -5.9388, -5.99312, -5.8356, -5.7823, -5.84839
0.52, 0.0319375, -5.05895, -4.69337, -5.23953, -5.77633, -4.89105, -4.64037, -5.60905, -5.58358, -5.5167, -5.64558, -6.05721, -6.00475, -5.80442, -6.13295, -5.95833, -6.04166, -5.9516, -5.75486, -5.90703, -5.96351
0.53, 0.0319375, -5.26882, -5.44238, -5.18198, -5.83031, -5.57145, -4.87544, -5.55811, -5.76023, -5.38092, -5.41194, -6.04039, -6.06864, -5.7126, -5.70297, -5.68593, -5.90259, -5.9867, -5.68611, -5.7137, -5.75562
0.54, 0.0319375, -4.88976, -5.3107, -5.33411, -5.59302, -5.25869, -4.89929, -5.41517, -5.55001, -5.47672, -5.48043, -5.71001, -5.67968, -5.65192, -5.57352, -5.82025, -5.9666, -6.17765, -5.91602, -5.61757, -5.66547
0.55, 0.0319375, -5.28481, -5.26178, -5.01016, -5.41169, -4.96831, -4.88665, -4.71421, -5.23767, -4.61789, -4.51183, -4.51632, -4.33031, -4.49552, -4.47229, -4.78846, -5.21915, -5.94494, -5.79314, -5.74463, -5.67843
0.56, 0.0319375, -5.37251, -5.20489, -4.79527, -4.97653, -5.11324, -5.16401, -5.17223, -5.33771, -5.12979, -5.16699, -5.15333, -5.01912, -5.09531, -5.22963, -5.47417, -5.57613, -5.95228, -5.84824, -5.86605, -5.88713
0.57, 0.0319375, -4.90256, -4.46317, -4.81643, -4.98028, -5.3263, -5.22647, -5.47038, -5.60127, -5.5847, -5.75335, -5.81739, -5.80484, -5.70921, -5.93003, -5.95447, -5.96354, -6.08412, -5.75111, -5.8357, -5.69477
0.58, 0.0319375, -3.24416, -3.32985, -3.42297, -2.53789, -2.27738, -2.56744, -1.80167, -1.87577, -1.03075, -0.265442, -1.22717, -1.65336, -2.15627, -1.85889, -1.66539, -1.10285, -2.11278, -2.93074, -2.78929, -3.12934
0.59, 0.0319375, -1.04293, -1.94401, -2.03414, -0.48586, -0.725003, -0.425854, -0.606575, -0.569394, 0.793901, 1.28096, 0.721, 0.292876, -0.00318868, -0.106205, 0.281509, 0.380323, -0.271905, -1.59274, -1.39485, -1.29654
0.6, 0.0319375, -0.53691, -1.83923, -1.15533, -0.337958, -0.119314, 0.0557331, -0.455639, -0.275303, 1.48966, 1.60697, 1.00708, 0.423384, 0.430615, 0.0285655, 0.668539, 0.729843, -0.135899, -1.45958, -1.33551, -1.23834
0.61, 0.0319375, -0.832352, -1.54285, -1.05084, -0.964456, -0.577162, -0.672912, -0.890772, -0.51037, 0.812353, 0.774998, 0.249361, 0.00229286, -0.209136, -0.643745, 0.0985712, 0.107916, -1.01578, -2.11113, -1.67571, -1.5943
0.62, 0.0319375, -1.53854, -1.95347, -1.66257, -1.83768, -1.56429, -1.80993, -1.82617, -1.05845, -0.382137, -0.782173, -0.849099, -0.816279, -0.830602, -0.857444, -0.294206, -0.238191, -1.18926, -1.95068, -1.9836, -1.98742
0.63, 0.0319375, -2.10141, -2.25499, -2.44267, -2.64148, -2.26953, -1.86303, -1.65179, -0.761899, -0.748396, -1.01322, -1.43978, -1.24458, -1.03126, -0.965483, -0.344326, -0.448042, -1.27843, -2.10117, -2.05646, -1.89605
0.64, 0.0319375, -2.93814, -2.8191, -2.34038, -2.59674, -1.96747, -1.62686, -1.48854, -1.18436, -0.947423, -1.13643, -1.89705, -1.61933, -1.09775, -1.24467, -0.335528, -0.395391, -1.32513, -2.24443, -2.04188, -1.91458
0.65, 0.0319375, -2.03287, -3.28891, -1.5677, -2.43865, -1.50019, -1.87771, -1.78013, -1.44609, -1.4089, -1.3711, -2.27491, -1.83598, -1.54562, -1.35757, -0.575139, -0.327197, -1.53637, -2.34101, -2.38693, -2.10602
0.66, 0.0319375, -1.85563, -3.36585, -1.55406, -2.57048, -1.96019, -2.32107, -2.49712, -2.07256, -1.78604, -1.49083, -2.0367, -2.02107, -1.85513, -1.41228, -0.808636, -0.863467, -1.97165, -2.74558, -2.68866, -2.45792
0.67, 0.0319375, -1.07999, -3.86854, -1.70171, -1.79995, -2.18723, -1.94058, -2.7579, -2.37505, -1.54656, -1.70557, -1.89716, -2.26967, -2.14752, -1.81075, -1.1684, -1.24749, -2.42762, -2.99412, -2.86428, -2.79304
0.68, 0.0319375, -0.618554, -3.79424, -1.94057, -0.953058, -1.96924, -1.05786, -2.49204, -2.08988, -1.85565, -1.82392, -1.83768, -1.9437, -2.39088, -1.91992, -1.31519, -1.18681, -2.44528, -3.23449, -2.86838, -2.96842
0.69, 0.0319375, -0.48061, -2.73614, -1.93842, -0.505692, -1.31404, -0.407965, -1.81644, -1.57183, -1.77895, -1.55495, -1.53545, -2.1113, -2.07312, -1.80779, -1.65496, -1.379, -2.38487, -3.12888, -2.82353, -3.09248
0.7, 0.0319375, -0.608723, -1.69988, -1.28255, -0.517645, -0.482345, -0.457404, -1.3526, -1.88016, -1.52289, -1.44569, -1.69648, -2.34974, -2.10111, -2.2287, -1.82979, -1.97481, -2.57721, -3.30984, -3.18022, -3.24763
0.71, 0.0319375, -0.731218, -1.66456, -1.1824, -0.61689, -0.356098, -0.82697, -1.6755, -2.2569, -1.80241, -1.4402, -1.71293, -2.62979, -2.94349, -2.44102, -1.83472, -2.45215, -3.17452, -3.8118, -3.41919, -3.5161
0.72, 0.0319375, -0.719168, -1.9983, -1.91901, -1.01589, -0.832222, -1.05681, -2.39696, -2.66754, -1.88078, -1.71708, -2.17358, -3.03506, -3.16242, -2.92737, -2.57615, -2.63949, -3.61121, -4.14854, -4.00516, -3.82871
0.73, 0.0319375, -0.985723, -2.73028, -2.12805, -1.68548, -1.45358, -1.24968, -2.84808, -3.3105, -2.20688, -1.96976, -2.29735, -3.12344, -3.31478, -3.04472, -2.72144, -2.45679, -3.56505, -4.24672, -4.17554, -4.13766
0.74, 0.0319375, -1.32284, -3.50644, -2.34626, -2.46537, -1.8847, -2.16204, -3.34456, -4.04117, -2.5406, -2.36407, -2.4718, -3.10979, -3.26416, -3.3731, -3.16937, -2.95057, -3.8938, -4.48833, -4.36382, -4.40827
0.75, 0.0319375, -1.78136, -3.66333, -3.04975, -2.89045, -2.50948, -2.56548, -3.52134, -4.22158, -2.73931, -2.60111, -3.10304, -3.29146, -3.52606, -3.70085, -3.4457, -3.02139, -4.00832, -5.02265, -4.64602, -4.64031
