Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
-0.644,-0.2117165327,-0.9456345438,0.1127036064,-5.607676506,-43.0431213378,-3.606026411
-0.624,-0.2285853922,-0.9527243971,0.1190599873,-6.050789833,-43.7918281555,-7.3801302909
-0.604,-0.2307856827,-0.9686153531,0.1283500939,-4.9048070907,-42.9820022583,-10.2985668182
-0.5839999999,-0.2056046277,-0.9783943891,0.1647770702,-0.381994307,-41.0414695739,-12.1932582855
-0.5639999999,-0.1975369006,-0.9654371738,0.1801790744,5.3632001876,-38.7342224121,-13.858754158
-0.544,-0.2070714831,-0.9522354602,0.1792011708,9.2442626953,-36.2436218261,-14.9588975906
-0.524,-0.2082938551,-0.9451456069,0.2012040466,8.9233875274,-33.7835769653,-16.639673233
-0.504,-0.1875133663,-0.9573694467,0.2312746345,9.6109771728,-30.1164321899,-18.4885253906
-0.4839999999,-0.1853130757,-0.9461235404,0.2366531193,12.7280502319,-26.02145195,-19.5733890533
-0.464,-0.2097607254,-0.9189866185,0.2386089265,14.1185102462,-22.9196586608,-20.5512943267
-0.444,-0.2567001879,-0.936588943,0.1950921416,12.1015796661,-22.0181522369,-21.9111938476
-0.424,-0.2821257114,-1.0290009975,0.1237050369,7.7926840782,-20.4748954772,-21.5750389099
-0.404,-0.2586559951,-1.104788661,0.1525532454,5.5465574264,-16.1507205963,-15.6006479263
-0.3839999999,-0.2271185368,-1.1390153169,0.1371512413,7.4718089103,-12.8961277008,-4.7672891616
-0.3639999999,-0.1840907037,-1.199401021,0.1371512413,5.1798429489,-9.0150661468,10.7416801452
-0.3439999999,-0.19533661,-1.2270268201,0.0951013043,0.7181493043,-11.6584663391,30.849861145
-0.324,-0.2620786726,-1.1282584667,0.0234697312,5.0881643295,-19.4969902038,47.3978538513
-0.304,-0.293616116,-0.94465667,-0.0168688688,7.0286955833,-29.6274795532,49.3078269958
-0.2839999999,-0.2677016258,-0.8065274953,-0.0224918257,5.1187238693,-39.4829330444,39.1314964294
-0.264,-0.1897136569,-0.7634996771,-0.0002444763,-5.0576047897,-45.5948410034,24.0350818634
-0.2439999999,-0.1447300016,-0.8079943656,0.0004889527,-14.7144212722,-50.9733200073,9.4734592437
-0.224,-0.1215047538,-0.9727714657,0.0107569601,-21.8653545379,-61.2260475158,-0.8709470629
-0.204,-0.11368151,-1.1654188632,0.0628304257,-22.1098308563,-73.1595535278,-5.1187238693
-0.1839999999,-0.0836109146,-1.294013381,0.1183265596,-5.5771169662,-83.8401107788,-1.6349356174
-0.1739999999,-0.0674754753,-1.2778779268,0.1119701713,16.4257564544,-89.8908996582,3.239311695
-0.152,-0.0545182302,-1.1461051702,0.0730984359,32.6528739929,-95.131866455,6.3411054611
-0.132,-0.0283592585,-1.0167771577,0.0210249666,34.119731903,-101.0298538208,6.1577482223
-0.112,-0.0097790546,-0.9752162098,-0.0017113345,20.2915382385,-102.4661560058,1.7724536657
-0.0919999999,0.0070898146,-0.9950187802,0.0141796292,7.4259696006,-102.5731124877,-4.2477769851
-0.0719999999,0.0452281273,-1.0148214101,0.0369159318,2.8114781379,-104.4066848754,-7.2731719017
-0.052,0.0713870972,-1.0189775228,0.0562295615,2.9184365272,-105.476272583,-6.9522967338
-0.032,0.0579408966,-0.978883326,0.0931454971,6.7842192649,-104.5289230346,-3.606026411
-0.0119999999,0.0325153544,-0.9568805098,0.1222381815,10.5583229064,-102.7259140014,0.1986370384
0.008,0.0139351524,-0.936588943,0.1293279975,12.6974906921,-100.8770599365,3.4685084819
0.028,0.0007334291,-0.9417229294,0.1303059011,10.3138465881,-99.5324401855,4.706170082
0.0479999999,-0.0154020106,-0.9656816124,0.1552424877,7.6857256889,-99.2115631103,5.4701585769
0.068,-0.0325153544,-0.991351664,0.1809125095,6.050789833,-98.15725708,7.0898146629
0.0879999999,-0.0435167923,-1.0187330245,0.1855575591,4.2936162948,-96.1708908081,8.4344348907
0.108,-0.0466949865,-1.0390245914,0.1733337342,3.6213061809,-94.6123504638,9.6262569427
0.128,-0.0234697312,-1.0426917076,0.1924028992,4.9812059402,-94.8109893798,9.8248939514
0.1479999999,-0.0061119091,-1.0280231237,0.2278519719,6.6008615493,-96.2472915649,8.3733158111
0.168,-0.0019558109,-1.0155547857,0.257433623,7.4259696006,-95.437461853,6.2647066116
0.1879999999,0.0046450509,-0.9923295378,0.2691684663,10.8180789947,-92.4120635986,5.6535158157
0.208,0.0202915389,-0.9654371738,0.2730801105,13.9198732376,-87.2475051879,7.4565291404
0.228,0.0488952733,-0.9248540997,0.2725911438,12.5905323028,-79.6687316894,9.6720962524
0.2479999999,0.0645417571,-0.8935611248,0.2853039205,5.5618371963,-72.4413986206,10.7416801452
0.268,0.0672309994,-0.8598233461,0.2980166971,-1.9405311346,-67.3379592895,10.6805610656
0.2879999999,0.0723650008,-0.8356202244,0.3026617467,-8.6789112091,-62.3414726257,10.0540904998
0.308,0.0828774869,-0.8397762775,0.3073067963,-13.9045934677,-53.7542419433,9.9318523406
0.318,0.0801882445,-0.8612902164,0.3244201242,-16.6855125427,-47.4742546081,10.1152095794
0.338,0.0711426213,-0.8803593516,0.3302875757,-17.678697586,-42.7528038024,11.3987102508
0.358,0.0410720296,-0.9165418744,0.3390887081,-17.3272628784,-37.5424003601,13.2017230987
0.378,0.0102680074,-0.9566360116,0.3408000469,-14.6074628829,-34.9448394775,14.3171472549
0.398,-0.0068453382,-0.9747272729,0.3222198486,-9.5040187835,-32.3625602722,15.8145647048
0.4179999999,-0.0080677196,-0.9779054522,0.3195306062,-6.49390316,-29.4594020843,16.334077835
0.4379999999,0.0048895273,-0.9485682845,0.3202640414,-5.4395990371,-26.4187259674,15.0811357498
0.458,0.0112459128,-0.9483237862,0.305839926,-8.3427562713,-24.3559570312,13.00308609
0.4779999999,-0.0129572469,-0.9370778799,0.3165968954,-10.1304893493,-24.2795581817,10.4513645172
0.498,-0.0484063215,-0.9407450556,0.3371329009,-16.2423992156,-26.2048091888,7.5023684501
0.5179999999,-0.0779879614,-0.9761941432,0.3432448208,-21.4375209808,-30.8957004547,4.110259056
0.538,-0.0892338752,-1.0118876695,0.3408000469,-22.9654979705,-37.2215270996,2.3072457313
0.558,-0.0601411834,-1.0397579669,0.3187971711,-20.4290561676,-41.5151405334,2.9795556068
0.5779999999,-0.0083121964,-1.0715398788,0.2655013203,-18.1676502227,-43.012561798,4.5075330734
0.5979999999,0.0009779054,-1.1407266855,0.2344528287,-18.2898883819,-47.8409690856,4.6297712326
0.6179999999,-0.014668582,-1.2211594581,0.2166060507,-16.2882385253,-53.8764801025,0.8709470629
0.6379999999,0.0154020106,-1.3113712072,0.2078049033,-12.2085380554,-55.6183738708,-7.4870886802
0.658,0.0706536695,-1.3030589818,0.1745561212,-5.3326406478,-49.9801368713,-15.4172906875
0.678,0.0902117788,-1.2025792598,0.1366622895,1.7877334356,-40.3080406188,-15.340891838
0.6979999999,0.0875225365,-1.0505149364,0.1354399025,5.2256822586,-36.9770507812,-6.9522967338
0.7179999999,0.0735873878,-0.9275433421,0.1557314395,7.0134158134,-36.0755424499,4.3852949142
0.7379999999,0.0481618419,-0.8764477372,0.1207713261,5.7757539749,-33.4932632446,15.05057621
0.758,-0.0193136334,-0.8463771939,0.0405830778,7.51764822,-26.4340057373,24.4476356506
0.778,-0.0298261158,-0.8551782965,0.0136906765,4.5075330734,-19.3441925048,29.352443695
0.798,-0.007334291,-0.8828041553,0.0031781927,3.2698712348,-13.0336456298,28.7106933593
0.808,-0.0107569601,-0.904073596,-0.0041560982,0.9167863726,-12.3002166748,22.4612655639
0.8279999999,-0.0342266894,-0.9255875349,-0.0017113345,-3.1323533058,-13.5378789901,13.9198732376
0.848,-0.0554961338,-0.9747272729,0.0088011492,-6.1883077621,-18.1523704528,4.0033006668
0.8679999999,-0.0300705917,-1.0312012434,0.0623414739,-8.7553100585,-20.1081809997,1.0543043613
0.888,0.0039116218,-1.0886532068,0.1092809364,-9.290102005,-16.2882385253,3.4226691722
0.908,0.0251810643,-1.1514836549,0.1435076296,-6.921737194,-4.1713781356,7.3495707511
0.928,0.0405830778,-1.1395043134,0.1593985855,-1.6196558475,5.2868013381,11.8723831176
0.948,-0.00537848,-1.1089447736,0.147419244,2.1697278022,10.7111206054,16.9452686309
0.9679999999,-0.0792103409,-1.0439140796,0.1378846615,7.9149222373,13.4309206008,22.2320690155
0.9879999999,-0.1278611421,-0.9422119259,0.1034134998,10.7264003753,13.4767599105,23.8211650848
1.008,-0.1325061917,-0.8771811723,0.0708981454,6.8606181144,16.0590419769,21.7889556884
1.028,-0.1100143641,-0.8571341037,0.0547627061,-2.4447636604,18.3815670013,18.6107635498
1.048,-0.0926565378,-0.8764477372,0.0735873878,-13.0794849395,21.0096874237,15.1116952896
1.068,-0.0953457802,-0.9143415689,0.1273721903,-20.367937088,24.1725997924,11.077835083
1.088,-0.0823885351,-0.9642148017,0.153531149,-21.9570331573,27.3049545288,7.0898146629
1.108,-0.0530513711,-0.998685956,0.1679552644,-20.6276931762,31.1554565429,3.7893836498
1.1279999999,-0.0503621287,-1.0016196966,0.167710781,-15.3867311477,35.3268356323,1.2835009098
1.1479999999,-0.1058582663,-0.9661706089,0.142529726,-12.9572467803,37.6493606567,-0.9473459124
1.1679999999,-0.1554869711,-0.9373223781,0.1212602779,-12.5905323028,40.1552429199,-4.263056755
1.1879999999,-0.1782232671,-0.9402561187,0.1268832385,-14.0421113967,42.1110534667,-7.1509337425
1.2079999999,-0.1686886847,-0.9490572214,0.1557314395,-16.4715957641,44.8308525085,-10.6805610656
