# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36, f37, f38, f39
0.12, 0.0319375, 0.389417, -0.128808, -0.796971, -2.78623, -2.79429, -3.23483, -3.64486, -3.96519, -3.93805, -3.83466, -4.30733, -4.06284, -4.15801, -4.30031, -4.4175, -4.33083, -4.40683, -4.2581, -4.32579, -4.50755, -4.51414, -4.21255, -4.25607, -4.44398, -4.53553, -4.59269, -4.40949, -4.46976, -4.47144, -4.55392, -4.35462, -4.48286, -4.40722, -4.39779, -4.2866, -4.3632, -4.41117, -4.49821, -4.42559, -4.41555
0.13, 0.0319375, 0.92088, -0.826757, -1.76327, -2.62441, -2.8626, -4.10504, -3.74294, -4.04476, -4.17806, -3.87434, -4.47379, -4.70998, -4.29707, -5.05886, -4.91791, -4.18139, -4.52713, -4.44869, -4.56591, -4.68694, -5.00351, -4.36542, -4.83943, -5.21015, -5.19548, -4.99296, -4.78228, -4.76741, -5.15686, -4.89281, -4.75631, -5.10054, -4.87906, -4.77672, -4.6092, -4.78756, -4.33185, -5.00169, -4.74788, -4.95407
0.14, 0.0319375, 0.557783, -1.99396, -1.7189, -2.69029, -3.71062, -3.21346, -3.29841, -3.98836, -3.89046, -4.36728, -4.20216, -4.22612, -3.99771, -4.46375, -4.546, -4.38263, -4.28734, -4.49832, -4.37871, -4.45835, -4.61034, -4.45046, -4.79949, -4.96838, -4.81207, -4.7599, -4.83496, -4.81758, -4.85547, -4.79428, -4.55012, -4.71991, -4.65797, -4.58707, -4.52294, -4.69194, -4.43987, -4.55212, -4.50165, -4.55903
0.15, 0.0319375, 0.465802, -1.24396, -1.81713, -2.39543, -3.19635, -3.47309, -3.29876, -3.59495, -3.72092, -4.15154, -3.99132, -4.20293, -4.48604, -4.62144, -4.93962, -4.07363, -4.17887, -4.46045, -4.75954, -4.94045, -4.74628, -4.71951, -4.69989, -5.11486, -5.27209, -5.29716, -5.0353, -5.05572, -4.86367, -4.95326, -4.71916, -5.18201, -4.7532, -4.45247, -4.88886, -4.98847, -4.6665, -4.83884, -4.801, -4.91285
0.16, 0.0319375, 0.393088, -2.31045, -2.43347, -2.94889, -4.27427, -3.8399, -3.36492, -3.76499, -4.20496, -3.97399, -4.15066, -4.09741, -4.84358, -4.77837, -4.80851, -4.45391, -4.38428, -4.13997, -4.6824, -4.86392, -5.05816, -4.90718, -4.51418, -4.66181, -5.04851, -4.91039, -4.59605, -4.95639, -4.97973, -5.11069, -4.88519, -4.9735, -4.76337, -4.71635, -5.01268, -4.90147, -4.71273, -4.88434, -4.64382, -4.90024
0.17, 0.0319375, 0.419558, -2.34232, -2.68198, -3.61118, -4.01009, -3.54834, -3.64365, -3.43599, -4.13479, -4.36717, -4.6137, -4.33817, -3.94048, -4.36634, -4.37338, -4.79604, -4.6928, -4.28869, -4.57467, -4.73306, -4.83035, -5.04537, -4.55523, -4.7999, -4.79262, -4.72353, -4.90131, -4.30727, -4.32079, -4.63832, -4.6167, -4.52686, -4.57463, -4.53234, -4.59629, -4.56778, -4.32703, -4.61437, -4.45346, -4.57214
0.18, 0.0319375, 0.377811, -1.28669, -1.78065, -2.98924, -3.52802, -4.52666, -3.63341, -3.41772, -4.47385, -4.56548, -4.61744, -4.71467, -4.1289, -4.27704, -4.59938, -5.0306, -5.0621, -4.88486, -4.92406, -4.95008, -5.026, -5.04238, -4.83924, -4.81308, -4.54759, -4.63115, -4.78709, -4.41174, -4.28467, -4.77885, -4.54922, -4.61379, -4.58382, -4.54945, -4.43971, -4.38672, -4.41184, -4.69555, -4.49783, -4.58136
0.19, 0.0319375, -0.0504206, -0.576888, -1.90604, -2.90338, -2.95388, -3.42092, -3.17606, -3.35175, -3.60533, -3.68489, -4.05203, -3.70913, -3.89918, -3.89866, -3.97864, -4.07625, -4.08555, -4.06905, -4.12028, -4.25418, -4.20437, -4.13106, -4.10184, -4.07528, -4.29642, -4.23893, -4.1263, -4.1245, -4.17863, -4.17326, -4.09212, -4.16099, -4.07625, -4.0285, -4.12393, -4.0724, -3.98133, -4.01779, -3.93305, -3.97797
0.2, 0.0319375, 0.367188, -0.920803, -1.62538, -3.43517, -3.41107, -3.88012, -3.40104, -4.05207, -4.2695, -3.77264, -3.86335, -4.00692, -4.74623, -4.60865, -5.03837, -4.40316, -4.7132, -4.68058, -4.92027, -4.83903, -4.7468, -4.71757, -4.5419, -4.70313, -4.8589, -4.90847, -4.74895, -4.68772, -4.78199, -4.47554, -4.21363, -4.58791, -4.26823, -4.21509, -4.73335, -4.44352, -4.10009, -4.31812, -4.28289, -4.62372
0.21, 0.0319375, 0.147513, -0.0193691, -1.75532, -3.29741, -3.5877, -3.42972, -3.88391, -4.31638, -4.34192, -4.1854, -4.52859, -4.59162, -4.85009, -4.78273, -4.55537, -4.74334, -4.53018, -4.8873, -4.89203, -4.9506, -4.7258, -4.63586, -4.65131, -5.01689, -4.98701, -5.04955, -4.94653, -4.56938, -4.81607, -4.44735, -4.46651, -4.48284, -4.35492, -4.28115, -4.31115, -4.27887, -4.36799, -4.49362, -4.38787, -4.68021
0.22, 0.0319375, 0.35201, 0.445186, -0.716046, -2.22544, -3.17168, -2.95396, -3.08477, -3.69705, -3.37839, -3.74056, -3.73919, -3.78728, -3.8267, -3.64236, -3.79737, -4.04885, -3.94975, -3.91594, -4.0485, -4.10505, -4.01682, -3.9462, -4.06791, -4.08263, -4.12755, -4.13796, -4.09631, -4.01618, -4.03751, -4.00443, -3.98551, -3.97039, -3.94313, -4.02952, -3.88592, -3.87694, -3.80045, -3.9679, -3.88435, -3.90613
0.23, 0.0319375, 1.79374, 1.13079, -0.27584, -1.9732, -2.48646, -3.05208, -2.72089, -3.10315, -3.18955, -3.34861, -3.45651, -3.40169, -3.45973, -3.48631, -3.54083, -3.64713, -3.62482, -3.53593, -3.66154, -3.75871, -3.71006, -3.70246, -3.66674, -3.70846, -3.79683, -3.81507, -3.73739, -3.69053, -3.77412, -3.70582, -3.73028, -3.75904, -3.69444, -3.72079, -3.69461, -3.63344, -3.59025, -3.61335, -3.57295, -3.543
0.24, 0.0319375, 1.94008, 0.661431, -0.602707, -2.00062, -3.20634, -2.93714, -3.47755, -3.69659, -3.39436, -3.78304, -4.09485, -3.81092, -3.89061, -3.96277, -4.14026, -4.25602, -4.03461, -4.10736, -4.11954, -4.18028, -4.21654, -4.21897, -4.0882, -3.95729, -4.40269, -4.35601, -4.33381, -4.15047, -4.15977, -4.22764, -4.2189, -4.25306, -4.18307, -4.17889, -4.21096, -4.16355, -3.99677, -3.9652, -3.86732, -3.99552
0.25, 0.0319375, 1.53412, -0.285456, -0.378738, -0.810217, -1.81302, -2.07314, -3.02018, -4.03719, -3.54805, -3.75657, -3.85676, -4.22633, -4.24211, -4.29611, -4.42544, -4.60843, -4.161, -4.4191, -4.51715, -4.5588, -4.55149, -4.39677, -4.26525, -4.39796, -4.60124, -4.64712, -4.50836, -4.47225, -4.43385, -4.22843, -4.40001, -4.30705, -4.00306, -4.0719, -4.31196, -4.23769, -4.26179, -4.21165, -4.12872, -4.16337
0.26, 0.0319375, 1.64468, 0.29181, -0.334137, -1.19777, -1.9754, -2.29699, -2.74017, -3.30498, -3.08433, -3.1704, -3.50718, -3.31613, -3.39147, -3.40072, -3.52193, -3.60285, -3.49218, -3.54194, -3.63097, -3.70156, -3.66416, -3.66297, -3.60271, -3.72465, -3.76929, -3.75121, -3.68059, -3.70917, -3.76801, -3.64966, -3.66114, -3.63268, -3.61076, -3.60044, -3.6717, -3.58447, -3.58044, -3.58647, -3.52504, -3.50183
0.27, 0.0319375, 0.986453, -0.300686, -1.07993, -1.9492, -2.91796, -2.90306, -3.25465, -4.04152, -3.89642, -3.92614, -3.83629, -4.19664, -4.14701, -4.09133, -4.34737, -4.32886, -4.06603, -4.27417, -4.4059, -4.24647, -4.35273, -4.23275, -4.07768, -4.43686, -4.32283, -4.25605, -3.85618, -4.18339, -4.03717, -4.04741, -4.15477, -4.25751, -4.14574, -3.93895, -4.23381, -3.96364, -4.10465, -4.2472, -4.10484, -4.08211
0.28, 0.0319375, 1.47572, -0.0190388, -0.958464, -3.19481, -3.12635, -3.09542, -3.11003, -3.66847, -3.52484, -3.65576, -3.82518, -3.69718, -3.76812, -3.76479, -3.97099, -3.91842, -3.96442, -3.92887, -4.02616, -4.19799, -4.06303, -4.00789, -3.94783, -4.03772, -3.99219, -3.98641, -3.90237, -3.95988, -4.07327, -3.97563, -3.89054, -3.95573, -3.92203, -3.81524, -3.85938, -3.61978, -3.68024, -3.81378, -3.77054, -3.82624
0.29, 0.0319375, 1.18065, -0.414118, -1.00709, -1.80398, -2.37992, -2.9586, -2.8246, -3.95862, -3.83812, -3.92537, -4.23975, -3.65347, -4.08216, -3.98619, -4.21104, -4.35286, -4.0447, -4.27777, -4.42887, -4.32927, -4.23299, -4.1306, -4.20136, -4.44038, -4.37258, -4.15489, -4.31555, -4.26869, -4.25737, -4.33943, -4.29644, -4.28813, -4.32865, -4.19038, -4.03253, -3.98659, -4.09061, -4.11552, -3.94265, -4.02319
0.3, 0.0319375, 0.584415, 0.0916902, -0.606523, -1.21233, -2.02312, -2.64866, -3.03356, -3.43678, -4.19756, -4.13151, -3.96595, -3.57865, -4.05259, -4.13948, -4.39351, -4.42037, -4.27753, -4.20988, -4.43053, -4.54523, -4.15819, -4.225, -4.3201, -4.44999, -4.49206, -4.30891, -4.41413, -4.32498, -4.33308, -4.425, -4.18558, -4.23187, -4.37927, -4.2689, -4.13998, -4.2567, -4.35635, -4.41593, -4.11971, -4.17962
0.31, 0.0319375, 1.45555, -0.185984, -1.79968, -2.02181, -2.66158, -2.97027, -3.17425, -3.07984, -3.10572, -3.5678, -3.66351, -3.45015, -3.73792, -3.60075, -3.81565, -3.93742, -3.92696, -3.82814, -3.97353, -4.06798, -4.04371, -3.98932, -3.99059, -4.0594, -4.14447, -4.14525, -4.09039, -3.87072, -3.93816, -3.9873, -3.81711, -3.91307, -4.01108, -4.03339, -4.00206, -3.98376, -3.90517, -3.88126, -3.8564, -3.88688
0.32, 0.0319375, 1.15578, -0.243614, -1.42921, -1.68263, -3.32054, -2.79541, -3.22145, -3.52231, -3.11888, -3.95746, -4.26726, -4.19561, -4.44943, -3.87955, -4.64235, -4.73236, -4.87558, -4.81228, -4.94494, -4.61467, -4.64657, -4.42708, -4.50084, -4.7263, -4.56387, -4.88791, -4.49689, -4.63218, -4.7346, -4.5571, -4.24518, -4.50901, -4.42974, -4.57503, -4.40524, -4.35099, -4.03851, -4.34329, -4.56404, -4.7606
0.33, 0.0319375, 1.39666, -0.673567, -1.22339, -2.61642, -3.85474, -2.23606, -2.41334, -3.47149, -3.43256, -3.76592, -4.33828, -4.25823, -4.48384, -4.26056, -4.8812, -4.68596, -4.74877, -4.70786, -4.69608, -4.65828, -4.77492, -4.77278, -4.60703, -4.79006, -4.98157, -4.95857, -4.46605, -4.5588, -4.38312, -4.79116, -4.65708, -4.39178, -4.69833, -4.49275, -4.33744, -4.26592, -4.40565, -4.73653, -4.52495, -4.68852
0.34, 0.0319375, 1.06389, -0.402813, -1.25541, -2.47327, -2.84548, -2.90778, -2.93108, -3.62813, -3.47357, -3.84881, -4.10091, -4.41272, -4.751, -4.85097, -4.88711, -5.0012, -4.66493, -4.68149, -4.87046, -4.79893, -5.14464, -4.78632, -4.56994, -4.74936, -4.72797, -4.95581, -4.91075, -4.5783, -4.10283, -4.60565, -4.77929, -4.24912, -5.00948, -4.69274, -4.4747, -4.49889, -4.546, -4.63724, -4.46131, -4.72192
0.35, 0.0319375, 1.05143, -0.0506016, -1.27016, -2.47811, -2.91745, -3.74345, -3.62774, -3.80237, -4.38945, -4.08351, -3.86123, -4.12777, -4.79664, -4.40957, -4.37876, -4.395, -4.38838, -4.54204, -4.81569, -4.65158, -4.55809, -4.37937, -4.48083, -4.6466, -4.49948, -4.6943, -4.73609, -4.57642, -4.1597, -4.27112, -4.61941, -4.6988, -4.6446, -4.49527, -4.56792, -4.42207, -4.45768, -4.24184, -4.20118, -4.43309
