# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19
0.23, 0.0319375, 1.27181, 0.777829, 0.80058, 1.15231, 0.355393, -0.0467337, 0.777288, 0.309754, -0.288171, -0.404295, 0.0421666, -0.0338885, 0.0177617, -0.452118, -0.356903, -0.400772, -0.387791, -0.576211, -0.556749, -0.59292
0.24, 0.0319375, 1.55512, 1.27431, 1.35239, 1.30153, 0.235517, 0.117642, 0.713029, 0.233052, -0.0341338, -0.3151, -0.115719, -0.115393, -0.054267, -0.326373, -0.344222, -0.442638, -0.455917, -0.297804, -0.391723, -0.612132
0.25, 0.0319375, 1.75881, 1.36201, 1.27128, 1.34894, 0.274403, 0.209094, 0.550849, 0.0704231, -0.52592, 0.150215, -0.413135, -0.270432, -0.180308, -0.24967, -0.429094, -0.614703, -0.4466, 0.0400044, -0.0570277, -0.260439
0.26, 0.0319375, 1.78153, 1.61935, 1.4953, 1.50611, 0.0486195, -0.00604336, -0.0463123, 0.0617588, -0.0257015, 0.198725, -0.763019, -0.805297, -0.0821381, -0.216391, -0.528659, -0.526165, -0.157063, 0.0687576, 0.284305, 0.294291
0.27, 0.0319375, 1.4056, 1.43965, 1.07727, 1.15217, 0.269641, 0.101806, 0.089207, -0.265696, -0.202761, 0.190846, -0.434537, -0.419502, 0.143508, -0.346906, -0.622702, -0.0380781, 0.029475, 0.0866775, 0.253707, 0.551974
0.28, 0.0319375, 1.53701, 1.9203, 1.25686, 1.02872, 0.383936, 0.254636, 0.60894, 0.0359645, -0.130707, 0.0909851, 0.109498, -0.370539, -0.0404406, -0.185061, -0.385721, -0.0604511, 0.146795, 0.16572, 0.359382, 0.620011
0.29, 0.0319375, 1.67384, 1.8631, 0.619593, 0.61216, 0.0257382, -0.238335, 0.321519, 0.164862, -0.237661, 0.0717752, 0.0131224, -0.379946, 0.0317218, 0.0199447, -0.103792, -0.317048, 0.357318, 0.234879, 0.132509, 0.800359
0.3, 0.0319375, 1.47507, 1.69123, 1.05008, 0.0649775, 0.0368084, 0.213905, 0.456452, 0.119126, -0.368248, 0.104, -0.14648, -0.10905, -0.0169029, -0.0370018, -0.246107, -0.122229, 0.0911418, 0.225687, 0.329333, 0.553314
0.31, 0.0319375, 1.98585, 1.69515, 1.08379, 0.459411, -0.127945, 0.36973, 0.684316, 0.0155448, 0.0141785, 0.0465107, 0.138663, -0.0941702, 0.205118, 0.0882416, -0.257884, -0.022287, -0.0018568, 0.286912, 0.544353, 0.529205
0.32, 0.0319375, 1.9441, 1.58465, 0.931447, 0.544607, 0.265502, 0.0921381, 0.155369, -0.110493, -0.117957, 0.0216072, -0.020214, -0.0757135, 0.0548395, -0.257131, -0.216433, 0.0116053, 0.187528, 0.13288, 0.458772, 0.356241
0.33, 0.0319375, 2.0161, 1.80485, 0.619888, 1.05028, 0.57203, 0.0600489, 0.447097, -0.0876395, -0.209193, -0.22401, -0.214581, -0.211884, -0.0589263, -0.237569, -0.00579831, 0.086771, 0.18477, 0.244288, 0.345183, 0.359685
0.34, 0.0319375, 2.43908, 2.30063, 0.804762, 0.549882, 0.464797, 0.172721, -0.279891, -0.169909, -0.17389, 0.0755162, -0.167916, -0.297792, 0.143643, -0.0753362, 0.201577, 0.390708, 0.117372, -0.0806851, 0.294053, 0.247545
0.35, 0.0319375, 2.32339, 2.52418, 1.02355, 0.898211, 0.196786, 0.192795, -0.109291, 0.189908, -0.0643055, 0.0421624, -0.281977, -0.41706, -0.0855384, -0.0258003, 0.451733, 0.287473, 0.145725, 0.122128, 0.164742, 0.158149
0.36, 0.0319375, 2.73912, 2.21538, 1.30491, 0.710617, 0.672937, 0.100702, 0.167046, -0.300265, -0.110542, -0.221877, -0.270093, -0.679576, -0.299897, -0.104371, 0.376006, 0.358865, 0.365723, 0.22488, -0.0425754, 0.0507096
0.37, 0.0319375, 2.8176, 2.28642, 1.48012, 1.27089, 1.06062, 0.124493, 0.219687, 0.0751818, -0.0864748, -0.0895221, -0.0402203, -0.278188, -0.361906, -0.0966162, 0.42659, 0.128089, 0.0537614, 0.128962, 0.179873, -0.0525835
0.38, 0.0319375, 2.44386, 1.52753, 1.34079, 1.52443, 1.25335, 0.70077, 0.346066, 0.046898, -0.357153, -0.135821, 0.23757, -0.233361, -0.318969, 0.137846, 0.100771, 0.323779, 0.140292, -0.0554683, 0.00403744, -0.240891
0.39, 0.0319375, 2.15048, 1.68588, 0.897828, 1.61067, 1.12442, 0.430417, 0.144014, -0.499421, 0.013916, 0.242245, -0.0858599, -0.17147, -0.127529, 0.224482, 0.0117895, 0.126091, 0.179914, -0.403069, -0.361772, -0.214261
0.4, 0.0319375, 1.90346, 1.95314, 1.3073, 1.376, 0.783443, 0.0153495, 0.063582, 0.151147, 0.0241035, 0.206494, 0.08412, -0.17345, 0.164353, -0.112168, 0.0637884, 0.0404488, -0.0474288, -0.309953, -0.267919, -0.462135
0.41, 0.0319375, 2.20267, 1.99855, 1.22051, 1.03944, 0.940416, 0.445579, 0.226775, 0.260337, 0.0439208, 0.309877, -0.0867815, -0.148477, -0.109382, -0.135013, -0.315408, -0.321518, -0.148868, -0.156464, -0.183773, -0.308369
0.42, 0.0319375, 2.585, 1.98482, 1.37384, 1.12884, 0.458854, 0.445499, 0.346606, -0.133461, -0.174731, 0.0877088, -0.148371, -0.0872071, 0.0749849, -0.0473356, -0.21448, -0.272153, -0.506952, -0.433747, -0.252454, -0.272162
0.43, 0.0319375, 2.44087, 1.29238, 1.14226, 1.35137, 0.471535, -0.0530947, -0.289274, -0.123257, 0.237939, 0.434317, -0.00743632, -0.0304349, 0.30933, 0.0554849, -0.186617, -0.188142, -0.294247, -0.515845, -0.369918, -0.237227
0.44, 0.0319375, 2.17937, 1.24221, 1.23664, 1.01093, 0.370124, 0.131643, 0.0138095, -0.0337457, 0.146301, 0.0821527, -0.00487489, 0.0417818, 0.159431, 0.12368, -0.115878, -0.203735, -0.352903, -0.338376, -0.135961, -0.160246
0.45, 0.0319375, 1.97426, 1.5564, 0.714178, 1.30946, 0.891235, 0.258478, -0.00316949, -0.391518, 0.0467096, 0.179788, 0.0478579, 0.098835, -0.199717, 0.201735, -0.0306521, -0.398652, -0.225661, -0.345261, -0.293105, -0.36481
0.46, 0.0319375, 1.94433, 2.04738, 1.11092, 0.87716, 0.703986, 0.490011, 0.200779, -0.205262, -0.212972, 0.367151, 0.300422, -0.0868857, -0.18188, 0.0588203, -0.0995496, -0.484487, -0.1506, -0.437838, -0.403521, -0.15964
0.47, 0.0319375, 2.20017, 2.07579, 1.33186, 0.652018, 0.599149, 0.554009, 0.127737, -0.276809, -0.0764183, 0.458467, 0.141204, -0.307937, -0.0443508, 0.0262829, -0.302074, -0.58601, -0.31477, -0.652342, -0.551304, -0.221047
0.48, 0.0319375, 2.29884, 1.40385, 1.50176, 1.25679, 0.637074, 0.344132, 0.304758, 0.27935, 0.3652, 0.602992, 0.0639706, -0.289808, 0.139288, -0.228005, -0.317206, -0.289325, -0.339645, -0.764511, -0.672698, -0.436235
0.49, 0.0319375, 2.3636, 1.66369, 1.43815, 1.58998, 0.476113, 0.321056, 0.527455, 0.453771, 0.371068, 0.565763, 0.227509, -0.20512, 0.206018, -0.0484525, -0.366066, -0.349271, -0.808154, -0.741652, -0.751368, -0.465154
0.5, 0.0319375, 1.78549, 1.74403, 1.29288, 1.22396, 0.387695, 0.520345, 0.2621, 0.0787029, 0.13118, 0.382705, 0.0183931, -0.152156, 0.0352739, 0.0160112, -0.355245, -0.248174, -0.559874, -0.88433, -0.806351, -0.689615
0.51, 0.0319375, 1.54095, 1.87977, 1.04468, 1.29198, 0.339545, 0.407345, -0.000816321, 0.497222, 0.513585, 0.590093, 0.124882, 0.0424209, 0.00917221, -0.122592, 0.0868082, -0.320644, -0.571641, -0.743687, -0.660682, -0.55897
0.52, 0.0319375, 1.27471, 1.42853, 1.33878, 1.23725, 0.442403, 0.418834, 0.181148, 0.263049, 0.443161, 0.150387, -0.126337, 0.109843, -0.0684088, -0.0733415, 0.100684, -0.0859706, -0.595525, -0.574093, -0.606406, -0.751048
0.53, 0.0319375, 1.28921, 1.7073, 1.51387, 0.991259, 0.0377511, 0.353295, 0.0711443, 0.135351, 0.216943, 0.058795, 0.0592979, 0.0286072, -0.118936, -0.442813, -0.35649, -0.0104663, -0.431833, -0.617502, -0.754152, -0.700397
0.54, 0.0319375, 1.75279, 1.54183, 1.44252, 0.778595, 0.125263, 0.0466618, -0.0355705, -0.063357, 0.163411, 0.213655, -0.0301616, -0.276581, -0.194211, -0.180849, -0.223936, -0.0227535, -0.0752453, -0.87072, -0.831524, -0.758072
0.55, 0.0319375, 1.2349, 1.3777, 1.4997, 1.16889, 0.982772, 0.492417, 0.115558, 0.261264, 0.0994594, -0.124165, -0.185577, -0.0884897, 0.00824654, -0.143906, 0.00116257, -0.0379912, 0.0731055, -0.143524, -0.630473, -0.35736
0.56, 0.0319375, 1.08311, 1.7366, 1.21133, 0.781909, 0.971145, 0.769819, 0.372998, 0.0148758, -0.19607, -0.175335, -0.147177, 0.161871, 0.0294242, -0.303079, -0.233891, -0.21492, -0.0224638, -0.147817, -0.430181, -0.0337261
0.57, 0.0319375, 1.42734, 1.9169, 0.945755, 0.777188, 0.319264, 0.602676, 0.52492, 0.06136, 0.224925, 0.209874, 0.00487971, 0.113303, -0.0201854, -0.416937, -0.311671, -0.295384, -0.313903, -0.336611, -0.528638, -0.499601
0.58, 0.0319375, 1.56528, 1.65428, 0.803812, 1.11978, 0.524574, 0.488226, 0.0913741, 0.119536, -0.0366366, -0.112828, -0.0374265, -0.0823825, -0.199157, -0.373725, -0.262357, -0.291196, -0.397128, -0.492489, -0.637062, -0.63899
0.59, 0.0319375, 1.55592, 2.30853, 0.887053, 1.25404, 0.741173, 0.416213, 0.207106, 0.173995, -0.115817, -0.0130651, -0.194507, 0.0268624, -0.0677134, -0.415312, -0.419128, -0.389566, -0.365804, -0.51038, -0.541498, -0.564041
0.6, 0.0319375, 1.56813, 2.98603, 1.80342, 0.881267, 0.925391, 0.676699, -0.158419, -0.0546662, -0.0551819, 0.226067, -0.296792, -0.15086, -0.246813, -0.54097, -0.629472, -0.280085, -0.402137, -0.530455, -0.446607, -0.604138
0.61, 0.0319375, 1.96155, 3.01874, 2.07088, 1.09279, 0.627548, 0.50189, 0.210049, -0.165045, -0.180399, 0.180042, -0.0945531, -0.32475, -0.318016, -0.388791, -0.329872, -0.0291582, -0.208403, -0.513403, -0.59115, -0.773333
0.62, 0.0319375, 1.58648, 2.86245, 2.03171, 1.3891, 0.320853, 0.669311, 0.461114, -0.107847, -0.550965, -0.440358, -0.364628, -0.867393, -0.103369, -0.197464, -0.338649, -0.347784, -0.38972, -0.353633, -0.542077, -0.595799
0.63, 0.0319375, 1.42658, 2.82231, 1.85376, 1.53991, 0.272074, 0.62563, 0.201015, 0.270276, -0.122774, -0.277553, -0.253917, -0.603924, -0.367444, -0.239415, -0.351818, -0.259418, -0.605849, -0.663557, -0.560767, -0.595129
0.64, 0.0319375, 1.3982, 2.62113, 1.61545, 1.36958, 0.583996, 0.28811, 0.348631, 0.247766, 0.0621174, -0.183235, -0.482744, -0.714186, -0.471886, -0.0897305, -0.415415, -0.34797, -0.590023, -0.553541, -0.557599, -0.268428
